land_a,land_b,gedeelde_moleculen,a_eerst,b_eerst,gelijke_dag,aandeel_a_eerst,mediaan_dagen,spreiding_dagen,kwartiel_25,kwartiel_75
FR,RO,27,14,13,0,0.519,5,243.4,-70.0,168.0
AT,US,27,14,13,0,0.519,10,174.0,-201.0,137.0
GR,SE,60,29,31,0,0.483,-13.5,185.9,-178.0,60.8
FI,IE,93,45,45,3,0.484,0,190.4,-125.5,71.0
HU,SE,66,34,30,2,0.515,2.5,244.3,-120.0,179.5
EE,FI,35,17,18,0,0.486,-13,243.2,-175.0,129.0
IT,RO,80,39,41,0,0.487,-3.5,242.9,-143.8,173.8
AU,SK,39,20,19,0,0.513,11,247.8,-257.0,131.0
ES,SI,43,22,21,0,0.512,3,191.3,-120.0,90.0
DK,SE,43,21,21,1,0.488,0,199.4,-99.0,80.0
NO,RO,90,46,44,0,0.511,10.0,202.7,-105.0,149.5
HU,JP,49,25,24,0,0.51,7,264.2,-297.0,159.5
AT,FI,104,51,52,1,0.49,-1.0,219.8,-109.8,143.2
GB,IT,12,6,6,0,0.5,30.0,301.1,-304.8,157.8
CZ,JP,36,18,18,0,0.5,6.5,262.7,-241.8,180.2
IT,SI,22,11,11,0,0.5,46.0,269.4,-86.2,312.0
NO,US,52,26,26,0,0.5,7.5,154.7,-60.0,166.5
JP,SK,26,13,13,0,0.5,-4.5,242.9,-195.0,209.0
AU,DK,40,20,20,0,0.5,4.0,239.0,-126.2,213.2
IT,US,40,20,20,0,0.5,6.5,194.5,-94.8,153.5
CZ,IE,26,13,13,0,0.5,6.5,190.3,-81.2,184.0
CZ,FI,46,23,22,1,0.5,2.5,177.7,-57.8,91.0
MY,RO,12,6,6,0,0.5,3.5,111.4,-132.8,42.0
GR,MY,12,6,6,0,0.5,-9.5,253.9,-190.8,204.2
EE,FR,14,7,7,0,0.5,-2.0,150.8,-85.5,101.0
