country_code,country_name,source,medicine_name,active_substance,strength,dosage_form,package_size,product_no,shortage_start,estimated_end,status,scraped_at,atc_code,prk
BG,Bulgaria,SESPA,Jardiance,Empagliflozin,10 mg,Film-coated tablet,30,4043,,,shortage,2026-09-23T20:51:18.567812,A10BK03,119407
BG,Bulgaria,SESPA,Forxiga,Dapagliflozin,10 mg,Film-coated tablet,30,3444,,,shortage,2026-09-23T20:51:18.567839,A10BK01,104779
BG,Bulgaria,SESPA,Alprolix,Coagulation factor IX,500 IU,Powder and solvent for solution for injection,1,15905,,,shortage,2026-09-23T20:51:18.567856,B02BD01,
BG,Bulgaria,SESPA,BeneFIX,Coagulation factor IX (nonacog alfa),500 IU (100 mg/ml - 5 ml),Powder and solvent for solution for injection,1,1849,,,shortage,2026-09-23T20:51:18.567871,B02BD01,
BG,Bulgaria,SESPA,Olicard,Isosorbide mononitrate,40 mg,"Prolonged-release capsule, hard",20,2137,,,shortage,2026-09-23T20:51:18.567885,C01DA14,
BG,Bulgaria,SESPA,Neotri MR,Trimetazidine,35 mg,Modified-release tablet,60,2086,,,shortage,2026-09-23T20:51:18.567898,C01EB15,
BG,Bulgaria,SESPA,Atorvistat K,Atorvastatin,10 mg,Film-coated tablet,30,1768,,,shortage,2026-09-23T20:51:18.567912,C10AA05,98604
BG,Bulgaria,SESPA,Cimzia,Certolizumab pegol,200 mg,Solution for injection,2,3583,,,shortage,2026-09-23T20:51:18.567926,L04AB05,92584
BG,Bulgaria,SESPA,Depakine Chrono,Valproic acid,500 mg,Prolonged-release tablet,30,2477,,,shortage,2026-09-23T20:51:18.567939,N03AG01,26905
BG,Bulgaria,SESPA,Staloral,Allergen extract,300-300-300 IR/ml  or  IC/ml,"Sublingual spray, solution",3,2281,,,shortage,2026-09-23T20:51:18.567952,,
BG,Bulgaria,SESPA,Albiomin 20%,Albumin,200g/l - 100 ml,Solution for infusion,1,1569,,,shortage,2026-09-23T20:51:18.567965,B05AA01,24082
BG,Bulgaria,SESPA,Human Albumin 50 g/l Baxalta,Albumin,50 g/l - 250 ml,Solution for infusion,1,1664,,,shortage,2026-09-23T20:51:18.567978,B05AA01,69663
BG,Bulgaria,SESPA,Meriofert,Human menopausal gonadotrophin,75 IU,Powder and solvent for solution for injection,10,15329,,,shortage,2026-09-23T20:51:18.567991,G03GA02,
BG,Bulgaria,SESPA,Dexketoprofen-Tchaikapharma,Dexketoprofen,50 mg/2 ml,Solution for injection/infusion,100,4134,,,shortage,2026-09-23T20:51:18.568004,M01AE17,
BG,Bulgaria,SESPA,Keytruda,Pembrolizumab,25 mg/ml - 4 ml,Concentrate for solution for infusion,1,15839,,,shortage,2026-09-23T20:51:18.568017,L01FF02,136328
BG,Bulgaria,SESPA,Bortezomib Actavis,Bortezomib,3.5 mg,Powder for solution for injection,1,4075,,,shortage,2026-09-23T20:51:18.568030,L01XG01,75299
BG,Bulgaria,SESPA,Zytiga,Abiraterone,500 mg,Film-coated tablet,60,16148,,,shortage,2026-09-23T20:51:18.568043,L02BX03,136913
BG,Bulgaria,SESPA,Profol,Propofol,10 mg/ml - 50 ml,Emulsion for infusion,1,385,,,shortage,2026-09-23T20:51:18.568056,N01AX10,80322
BG,Bulgaria,SESPA,Omnipaque,Iohexol,300 mg I/ml - 50 ml,Solution for injection,10,3673,,,shortage,2026-09-23T20:51:18.568069,V08AB02,18481
BG,Bulgaria,SESPA,Omnipaque,Iohexol,300 mg I/ml - 100 ml,Solution for injection,10,3674,,,shortage,2026-09-23T20:51:18.568082,V08AB02,18503
BG,Bulgaria,SESPA,Sotagamma,Sotalol,80 mg,Tablet,50,16650,,,shortage,2026-09-23T20:51:18.568095,C07AA07,2879
BG,Bulgaria,SESPA,Ozempic,Semaglutide,1 mg/dose - 4 doses (1.34 mg/ml - 3 ml),Solution for injection,1,16701,,,shortage,2026-09-23T20:51:18.568107,A10BJ06,201693
BG,Bulgaria,SESPA,Vimizim,elosulfase alfa,1 mg/ml - 5 ml,Concentrate for solution for infusion,1,15871,,,shortage,2026-09-23T20:51:18.568120,A16AB12,124265
BG,Bulgaria,SESPA,Kisqali,Ribociclib,200 mg,Film-coated tablet,21,16147,,,shortage,2026-09-23T20:51:18.568133,L01EF02,147516
BG,Bulgaria,SESPA,Kopaq,Iohexol,300 mg I/ml - 100 ml,Solution for injection,1,16810,,,shortage,2026-09-23T20:51:18.568146,V08AB02,18503
BG,Bulgaria,SESPA,Cisplatin Ebewe,Cisplatin,1 mg/ml - 50 ml,Concentrate for solution for infusion,1,17026,,,shortage,2026-09-23T20:51:18.568158,L01XA01,36331
BG,Bulgaria,SESPA,Fulvestrant Teva,Fulvestrant,250 mg/5 ml,Solution for injection in pre-filled syringe,2,17225,,,shortage,2026-09-23T20:51:18.568171,L02BA03,74934
BG,Bulgaria,SESPA,Cefuroxime Tenamyd,Cefuroxime,1500 mg,Powder for solution for injection,10,17456,,,shortage,2026-09-23T20:51:18.568184,J01DC02,8206
BG,Bulgaria,SESPA,Strensiq,Asfotase alfa,40 mg/ml – 0.45 ml,Solution for injection,12,18055,,,shortage,2026-09-23T20:51:18.568197,A16AB13,201855
BG,Bulgaria,SESPA,Adempas,Riociguat,2 mg,Film-coated tablet,42,8971,,,shortage,2026-09-23T20:51:18.568210,C02KX05,124680
BG,Bulgaria,SESPA,Pazopanib Pharmascience,Pazopanib,200 mg,Film-coated tablet,30,58353,,,shortage,2026-09-23T20:51:18.568223,L01EX03,95265
BG,Bulgaria,SESPA,Kalydeco,Ivacaftor,50 mg,Granules,56,49997,,,shortage,2026-09-23T20:51:18.568236,R07AX02,129747
