country_code,country_name,source,medicine_name,active_substance,strength,package_size,product_no,shortage_start,estimated_end,status,notes,scraped_at,atc_code,prk
SA,Saudi Arabia,SFDA,,"AMLODIPINE BESILATE, ATORVASTATIN CALCIUM",,,,,,shortage,غير متوفر,2026-09-23T21:00:20.761183,,
SA,Saudi Arabia,SFDA,,"AMLODIPINE BESILATE,ATORVASTATIN CALCIUM",,,,,,shortage,غير متوفر,2026-09-23T21:00:20.761197,,
SA,Saudi Arabia,SFDA,,"AMLODIPINE BESILATE,PERINDOPRIL ARGININE",,,,,,shortage,غير متوفر,2026-09-23T21:00:20.761207,,
SA,Saudi Arabia,SFDA,,AMOXICILLIN,,,,,,shortage,غير متوفر,2026-09-23T21:00:20.761217,J01CA04,
SA,Saudi Arabia,SFDA,,"AMOXICILLIN,CLAVULANIC ACID",,,,,,shortage,غير متوفر,2026-09-23T21:00:20.761226,,
SA,Saudi Arabia,SFDA,,AMPHOTERICIN B,,,,,,shortage,غير متوفر,2026-09-23T21:00:20.761235,A01AB04,
SA,Saudi Arabia,SFDA,,AMPICILLIN,,,,,,shortage,غير متوفر,2026-09-23T21:00:20.761244,J01CA01,
SA,Saudi Arabia,SFDA,,"AMPICILLIN,SULBACTAM",,,,,,shortage,غير متوفر,2026-09-23T21:00:20.761253,,
SA,Saudi Arabia,SFDA,,ANIDULAFUNGIN,,,,,,shortage,غير متوفر,2026-09-23T21:00:20.761262,J02AX06,
SA,Saudi Arabia,SFDA,,ANTI-D (RH0) IMMUNOGLOBULIN,,,,,,shortage,غير متوفر,2026-09-23T21:00:21.444527,J06BB01,
SA,Saudi Arabia,SFDA,,"ANTIHEMOPHILIC FACTOR, HUMAN RECOMBINANT",,,,,,shortage,غير متوفر,2026-09-23T21:00:21.444553,,
SA,Saudi Arabia,SFDA,,APIXABAN,,,,,,shortage,غير متوفر,2026-09-23T21:00:21.444564,B01AF02,
SA,Saudi Arabia,SFDA,,APREMILAST,,,,,,shortage,غير متوفر,2026-09-23T21:00:21.444575,L04AA32,
SA,Saudi Arabia,SFDA,,"ARGININE,LYSINE,ALANINE,ASPARTIC ACID,CYSTEINE,ISOLEUCINE5,GLUTAMIC ACID,THREONINE,GLYCINE,GLUCOSE,LEUCINE,SODIUM GLYCEROPHOSPHATE HYDRATED,CALCIUM CHLORIDE DIHYDRATE,SERINE,TAURINE,HISTIDINE,TRYPTOPHAN,TYROSINE,SODIUM CHLORIDE,ORNITHINE,PHENYLALANINE,METHIONINE,VALINE,REFINED OLIVE OIL (~80%) + REFINED SOYA OIL (~20%),POTASSIUM ACETATE,PROLINE,MAGNESIUM ACETATE TETRAHYDRATE",,,,,,shortage,غير متوفر,2026-09-23T21:00:21.444585,,
SA,Saudi Arabia,SFDA,,ARIPIPRAZOLE,,,,,,shortage,غير متوفر,2026-09-23T21:00:21.444595,N05AX12,
SA,Saudi Arabia,SFDA,,ARSENIC TRIOXIDE,,,,,,shortage,غير متوفر,2026-09-23T21:00:21.444605,L01XX27,
SA,Saudi Arabia,SFDA,,"ARTICAINE HYDROCHLORIDE,ADRENALINE TARTRATE",,,,,,shortage,غير متوفر,2026-09-23T21:00:21.444614,,
SA,Saudi Arabia,SFDA,,"ARTICAINE,NOREPINEPHRINE BITARTRATE",,,,,,shortage,غير متوفر,2026-09-23T21:00:21.444624,,
SA,Saudi Arabia,SFDA,,ASCIMINIB,,,,,,shortage,غير متوفر,2026-09-23T21:00:21.444633,L01EA06,
SA,Saudi Arabia,SFDA,,ATALUREN,,,,,,shortage,غير متوفر,2026-09-23T21:00:22.141949,M09AX03,
SA,Saudi Arabia,SFDA,,ATAZANAVIR,,,,,,shortage,غير متوفر,2026-09-23T21:00:22.141977,J05AE08,
SA,Saudi Arabia,SFDA,,ATENOLOL,,,,,,shortage,غير متوفر,2026-09-23T21:00:22.141990,C07AB03,
SA,Saudi Arabia,SFDA,,ATOMOXETINE HYDROCHLORIDE,,,,,,shortage,غير متوفر,2026-09-23T21:00:22.142000,N06BA09,
SA,Saudi Arabia,SFDA,,ATORVASTATIN CALCIUM,,,,,,shortage,غير متوفر,2026-09-23T21:00:22.142010,C10AA05,
SA,Saudi Arabia,SFDA,,"ATORVASTATIN CALCIUM,AMLODIPINE BESILATE",,,,,,shortage,غير متوفر,2026-09-23T21:00:22.142021,,
SA,Saudi Arabia,SFDA,,"ATOVAQUONE,PROGUANIL HYDROCHLORIDE",,,,,,shortage,غير متوفر,2026-09-23T21:00:22.142030,,
SA,Saudi Arabia,SFDA,,ATRACURIUM BESILATE,,,,,,shortage,غير متوفر,2026-09-23T21:00:22.142043,M03AC04,
SA,Saudi Arabia,SFDA,,ATROPINE SULFATE,,,,,,shortage,غير متوفر,2026-09-23T21:00:22.142053,A03BA01,
SA,Saudi Arabia,SFDA,,AZACITIDINE,,,,,,shortage,غير متوفر,2026-09-23T21:00:22.142067,L01BC07,
SA,Saudi Arabia,SFDA,,AZELAIC ACID,,,,,,shortage,غير متوفر,2026-09-23T21:00:22.821206,D10AX03,
SA,Saudi Arabia,SFDA,,AZELASTINE,,,,,,shortage,غير متوفر,2026-09-23T21:00:22.821243,R01AC03,
SA,Saudi Arabia,SFDA,,AZILSARTAN MEDOXOMIL,,,,,,shortage,غير متوفر,2026-09-23T21:00:22.821255,C09CA09,
SA,Saudi Arabia,SFDA,,"AZILSARTAN MEDOXOMIL,CHLORTHALIDONE",,,,,,shortage,غير متوفر,2026-09-23T21:00:22.821265,,
SA,Saudi Arabia,SFDA,,AZITHROMYCIN,,,,,,shortage,غير متوفر,2026-09-23T21:00:22.821275,J01FA10,
SA,Saudi Arabia,SFDA,,Bempedoic acid,,,,,,shortage,غير متوفر,2026-09-23T21:00:22.821284,C10AX15,
SA,Saudi Arabia,SFDA,,BENDAMUSTINE HYDROCHLORIDE,,,,,,shortage,غير متوفر,2026-09-23T21:00:22.821293,L01AA09,
SA,Saudi Arabia,SFDA,,BENZATHINE PENICILLIN,,,,,,shortage,غير متوفر,2026-09-23T21:00:22.821305,J01CE01,
SA,Saudi Arabia,SFDA,,BENZOCAINE,,,,,,shortage,غير متوفر,2026-09-23T21:00:22.821314,C05AD03,
SA,Saudi Arabia,SFDA,,"BENZOYL PEROXIDE,ADAPALENE",,,,,,shortage,غير متوفر,2026-09-23T21:00:22.821324,,
SA,Saudi Arabia,SFDA,,BENZYDAMINE HYDROCHLORIDE,,,,,,shortage,غير متوفر,2026-09-23T21:00:23.509847,A01AD02,
SA,Saudi Arabia,SFDA,,BERACTANT,,,,,,shortage,غير متوفر,2026-09-23T21:00:23.509875,R07AB01,
SA,Saudi Arabia,SFDA,,Berotralstat,,,,,,shortage,غير متوفر,2026-09-23T21:00:23.509886,B06AC06,
SA,Saudi Arabia,SFDA,,BETAHISTINE DIHYDROCHLORIDE,,,,,,shortage,غير متوفر,2026-09-23T21:00:23.509896,N07CA01,
SA,Saudi Arabia,SFDA,,BETAMETHASONE DIPROPIONATE,,,,,,shortage,غير متوفر,2026-09-23T21:00:23.509906,D07AC01,
SA,Saudi Arabia,SFDA,,BETAMETHASONE SODIUM PHOSPHATE,,,,,,shortage,غير متوفر,2026-09-23T21:00:23.509916,A07EA04,
SA,Saudi Arabia,SFDA,,BETAMETHASONE VALERATE,,,,,,shortage,غير متوفر,2026-09-23T21:00:23.509925,D07AC01,
SA,Saudi Arabia,SFDA,,BETAXOLOL HYDROCHLORIDE,,,,,,shortage,غير متوفر,2026-09-23T21:00:23.509935,C07AB05,
SA,Saudi Arabia,SFDA,,Bicalutamide,,,,,,shortage,غير متوفر,2026-09-23T21:00:23.509944,L02BB03,
SA,Saudi Arabia,SFDA,,BIMATOPROST,,,,,,shortage,غير متوفر,2026-09-23T21:00:23.509953,S01EE03,
SA,Saudi Arabia,SFDA,,BINIMETINIB,,,,,,shortage,غير متوفر,2026-09-23T21:00:25.254271,L01EE03,
SA,Saudi Arabia,SFDA,,BISOPROLOL FUMARATE,,,,,,shortage,غير متوفر,2026-09-23T21:00:25.254301,C07AB07,
SA,Saudi Arabia,SFDA,,BORTEZOMIB,,,,,,shortage,غير متوفر,2026-09-23T21:00:25.254311,L01XG01,
SA,Saudi Arabia,SFDA,,BORTEZOMIB,,,,,,shortage,غير متوفر,2026-09-23T21:00:25.254335,L01XG01,
SA,Saudi Arabia,SFDA,,BOSENTAN,,,,,,shortage,غير متوفر,2026-09-23T21:00:25.254345,C02KX01,
SA,Saudi Arabia,SFDA,,BREXPIPRAZOLE,,,,,,shortage,غير متوفر,2026-09-23T21:00:25.254354,N05AX16,
