country_code,country_name,source,medicine_name,active_substance,strength,package_size,atc_code,shortage_start,estimated_end,status,alert_title,alert_url,summary,scraped_at,prk
GB,United Kingdom,MHRA,National Patient Safety Alert,,,,,2026-09-16,,alert,National Patient Safety Alert: Patient hoists and slings (all types): risk of death and serious harm from falls (NatPSA/2026/005/MHRA),https://www.gov.uk/drug-device-alerts/national-patient-safety-alert-patient-hoists-and-slings-all-types-risk-of-death-and-serious-harm-from-falls-natpsa-slash-2026-slash-005-slash-mhra,Fatal and serious harm continues to occur when patients fall from hoists or slings during transfers and repositioning. A review of recent incidents with a fatal outcome and wider surveillance data shows an average of two dea…,2026-09-21T13:19:20.366033,
GB,United Kingdom,MHRA,National Patient Safety Alert,,,,,2026-08-17,,alert,National Patient Safety Alert: ResMed Astral 100 and 150 Ventilators: Potential for Patient Harm due to Unexpected Interruption of Ventilation Therapy (NatPSA/2026/004/MHRA),https://www.gov.uk/drug-device-alerts/national-patient-safety-alert-resmed-astral-100-and-150-ventilators-potential-for-patient-harm-due-to-unexpected-interruption-of-ventilation-therapy-natpsa-slash-2026-slash-004-slash-mhra,ResMed has issued a Field Safety Notice regarding Astral 100 and 150 ventilators and associated Printed Circuit Board Assembly spare parts manufactured prior to October 2024. A fault in the device can cause unexpected interr…,2026-09-21T13:19:20.366059,
