country_code,country_name,source,medicine_name,active_substance,strength,package_size,atc_code,product_no,cnpem,chnm,marketing_auth_holder,shortage_start,estimated_end,actual_end,status,reason,mitigation,scraped_at
PT,Portugal,INFARMED,"Nebido, 1000 mg/4 ml, Solução injetável (1 unidade(s))",Testosterona,,,G03BA03,5490057,50107615,10037449,"Grünenthal, S.A.",2026-04-13,2026-04-20,,shortage,Fabrico,O prescritor pode considerar a utilização de uma alternativa terapêutica,2026-03-13T22:17:45.116577
PT,Portugal,INFARMED,"Clemastinum WZF IP, 2 mg/2 ml, Solução injetável (5 unidade(s))",Clemastina,,,,5832977,50086774,10035188,"Inovemed - Produtos Farmacêuticos, Lda.",2025-04-02,2026-03-31,,shortage,Preço,Este medicamento está a ser distribuído ao abrigo de uma autorização excecional de distribuidor por grosso,2026-03-13T22:17:45.117576
PT,Portugal,INFARMED,"Ultraproct, 1 mg + 40 mg, Supositório (10 unidade(s))",Fluocortolona + Lidocaína,,,,8668400,50087967,10007300,Karo Pharma AB,2026-03-15,2026-04-30,,shortage,Aumento da procura,O prescritor pode considerar a utilização de uma alternativa terapêutica,2026-03-13T22:17:45.117576
PT,Portugal,INFARMED,"Lecigon, 20 mg/ml + 5 mg/ml + 20 mg/ml, Gel intestinal (7 unidade(s))",Levodopa + Carbidopa + Entacapona,,,N04BA02,5817606,50189077,10136319,Lobsor Pharmaceuticals AB,2025-07-31,2026-07-31,,shortage,Comercial,O prescritor pode considerar a utilização de uma alternativa terapêutica,2026-03-13T22:17:45.117576
PT,Portugal,INFARMED,"Lergonix, 6 mg/ml, Colírio, solução (1 unidade(s))",Bilastina,,,,5843750,50195344,10139781,"Menarini International Operations Luxembourg, S.A.",2026-02-21,2027-09-01,,shortage,Fabrico,O prescritor pode considerar a utilização de uma alternativa terapêutica,2026-03-13T22:17:45.117576
PT,Portugal,INFARMED,"Vitamina C Pascoe, 150 mg/ml, Concentrado para solução injetável ou para perfusão (1 unidade(s))",Ácido ascórbico,,,,5804752,,10134970,Pascoe pharmazeutische Präparate GmbH,2025-07-15,2026-05-01,,shortage,Comercial,Os hospitais e farmácias devem solicitar uma autorização de utilização excecional,2026-03-13T22:17:45.117576
PT,Portugal,INFARMED,"Actiq, 200 µg, Comprimido para chupar (15 unidade(s))",Fentanilo,,,,3667185,50051849,10116470,Phoenix Labs,2025-11-26,2026-02-25,,shortage,Fabrico,O prescritor pode considerar a utilização de uma alternativa terapêutica,2026-03-13T22:17:45.117576
PT,Portugal,INFARMED,"Actiq, 400 µg, Comprimido para chupar (15 unidade(s))",Fentanilo,,,,3667581,50051857,10116487,Phoenix Labs,2025-11-02,2026-02-25,,shortage,Fabrico,O prescritor pode considerar a utilização de uma alternativa terapêutica,2026-03-13T22:17:45.117576
PT,Portugal,INFARMED,"Ácido Ascórbico PLS IP, 500 mg/5 ml, Solução injetável (5 unidade(s))",Ácido ascórbico,,,,5827159,50191110,10030515,"PLS Pharma - Produtos Farmacêuticos, Lda.",2025-03-03,2026-12-31,,shortage,Comercial,Os hospitais e farmácias devem solicitar uma autorização de utilização excecional,2026-03-13T22:17:45.117576
PT,Portugal,INFARMED,"Eligard, 7.5 mg, Pó e solvente para solução injetável (1 unidade(s))",Leuprorrelina,,,,5469481,50108387,10042211,"Recordati Industria Chimica e Farmaceutica, S.p.A.",2025-10-04,2026-04-20,,shortage,Fabrico,O prescritor pode considerar a utilização de uma alternativa terapêutica,2026-03-13T22:17:45.117576
PT,Portugal,INFARMED,"Fortacin, 150 mg/ml + 50 mg/ml, Solução para pulverização cutânea (1 unidade(s))",Lidocaína + Prilocaína,,,,5688676,50160141,10122159,Recordati Ireland Ltd.,2026-03-05,2026-03-30,,shortage,Fabrico,O prescritor pode considerar a utilização de uma alternativa terapêutica,2026-03-13T22:17:45.117576
PT,Portugal,INFARMED,"Lemtrada, 10 mg/ml, Concentrado para solução para perfusão (1 unidade(s))",Alemtuzumab,,,L04AG06,5581962,,10112624,Sanofi Belgium,2026-03-09,2026-04-20,,shortage,Aumento da procura,Este medicamento está a ser distribuído ao abrigo de uma autorização excecional,2026-03-13T22:17:45.117576
PT,Portugal,INFARMED,"Beyfortus, 50 mg/0.5 ml, Solução injetável em seringa pré-cheia (1 unidade(s))",Nirsevimab,,,J06BD08,5851357,50197681,10140641,Sanofi Winthrop Industrie,2026-03-04,,2026-03-16,resolved,Aumento da procura,Este medicamento está a ser distribuído ao abrigo de uma autorização excecional,2026-03-13T22:17:45.117576
PT,Portugal,INFARMED,"MenQuadfi, Associação, Solução injetável (1 unidade(s))",Vacina contra o meningococo,,,,5827951,50191250,10134670,Sanofi Winthrop Industrie,2025-02-20,2026-04-30,,shortage,Fabrico,O prescritor pode considerar a utilização de uma alternativa terapêutica,2026-03-13T22:17:45.117576
PT,Portugal,INFARMED,"Catiolanze, 50 mcg/ml, Colírio, emulsão (30 unidade(s))",Latanoprost,,,S01EE01,5876214,50205650,10145001,Santen Oy,2026-02-06,2026-03-24,,shortage,Aumento da procura,O prescritor pode considerar a utilização de uma alternativa terapêutica,2026-03-13T22:17:45.118577
PT,Portugal,INFARMED,"Catiolanze, 50 mcg/ml, Colírio, emulsão (90 unidade(s))",Latanoprost,,,S01EE01,5876222,50205668,10145001,Santen Oy,2025-12-15,2026-03-24,,shortage,Aumento da procura,O prescritor pode considerar a utilização de uma alternativa terapêutica,2026-03-13T22:17:45.118577
PT,Portugal,INFARMED,"Q 10 Forte, 30 mg, Cápsula (60 unidade(s))",Ubidecarenona,,,,9587097,50083910,10103664,"Sidefarma - Sociedade Industrial de Expansão Farmacêutica, S.A.",2026-03-24,2026-08-01,,shortage,Comercial,O prescritor pode considerar a utilização de uma alternativa terapêutica,2026-03-13T22:17:45.118577
PT,Portugal,INFARMED,"Q 10 Forte, 30 mg, Cápsula (90 unidade(s))",Ubidecarenona,,,,4656195,50083937,10103664,"Sidefarma - Sociedade Industrial de Expansão Farmacêutica, S.A.",2026-03-24,2026-08-01,,shortage,Comercial,O prescritor pode considerar a utilização de uma alternativa terapêutica,2026-03-13T22:17:45.118577
PT,Portugal,INFARMED,"Dagravit 8, Associação, Solução oral (1 unidade(s))",Vitaminas do complexo B + Ácido ascórbico + Colecalciferol + Retinol,,,,9936906,50069403,10057793,"Sidefarma - Sociedade Industrial de Expansão Farmacêutica, S.A.",2025-11-08,2026-04-30,,shortage,Logístico,O prescritor pode considerar a utilização de uma alternativa terapêutica,2026-03-13T22:17:45.118577
PT,Portugal,INFARMED,"Ulcerase, 0.6 U/g, Pomada (1 unidade(s))",Colagenase,,,,8415802,50087916,10030262,"Smith & Nephew, Lda.",2026-12-31,2027-03-31,,shortage,Fabrico,O prescritor pode considerar a utilização de uma alternativa terapêutica,2026-03-13T22:17:45.118577
PT,Portugal,INFARMED,"Scintimun, 1 mg, Conjunto para preparações radiofarmacêuticas (2 unidade(s))",Besilesomab,,,,5264577,,10099842,Telix Innovations SA,2025-09-17,2026-06-26,,shortage,Fabrico da substância ativa,O prescritor pode considerar a utilização de uma alternativa terapêutica,2026-03-13T22:17:45.118577
