country_code,country_name,source,medicine_name,active_substance,strength,package_size,dosage_form,registration_number,atc_code,company_name,manufacturer,disruption_type,status,reason,shortage_start,estimated_end,mitigation_prh,mitigation_npra,alternatives,scraped_at,prk
MY,Malaysia,NPRA,OxyContin Controlled-Release Tablets 10mg,Oxycodone Hydrochloride,10mg,,Controlled- Release Tablets,MAL14125150ACRZ,N02AA05,DKSH MALAYSIA SDN. BHD.,"Purdue Pharmaceuticals L.P., United States",Shortage,Current,"Administrative and Regulatory Compliance Updates due to legal name change of product manufacturer from Purdue to Knoa, effective 01 May 2026",2026-01-22,2026-11-30,"i) Proactively monitor backlog orders and review in scheduled meetings. 

ii) Campaign batch

iii) Applied for additional OxyNorm capsules series quota (same PRH) on 9 March 2026",Registered alternative products are available,Oxycodone HCl shortage_1st 260102.pdf,2026-07-10T10:59:44.203445,57614
MY,Malaysia,NPRA,OxyContin Controlled-Release Tablets 20mg,Oxycodone Hydrochloride,20mg,,Controlled- Release Tablets,MAL14125148ACRZ,N02AA05,DKSH MALAYSIA SDN. BHD.,"Purdue Pharmaceuticals L.P., United States",Shortage,Current,"Administrative and Regulatory Compliance Updates due to legal name change of product manufacturer from Purdue to Knoa, effective 01 May 2026",2026-01-31,2026-11-30,"i) Proactively monitor backlog orders and review in scheduled meetings. 

ii) Campaign batch

iii) Applied for additional OxyNorm capsules series quota (same PRH) on 9 March 2026",Registered alternative products are available,Oxycodone HCl shortage_1st 260102.pdf,2026-07-10T10:59:44.203524,57622
MY,Malaysia,NPRA,ONGLYZA TABLET 5MG,SAXAGLIPTIN HYDROCHLORIDE,5mg,,Tablet,MAL20102020ARZ,A10BH03,ASTRAZENECA SDN. BHD. (69730X),AstraZeneca Pharmaceuticals LP.,Discontinuation,Current,Voluntary withdrawal- commercial reasons  ,2026-01-22,,"PRH only mentions other products containing combination saxagliptin, namely Kombiglyze XR Tablet 5/1000 mg containing (saxagliptin/ metformin;MAL11115004AZ) and Qtern 5 mg/10 mg Film-Coated Tablets containing (saxagliptin/ dapagliflozin; MAL19016095ARZ), remain available in Malaysia.",No registered alternative product is available for this productâs single active ingredient. Doctors are advised to ensure patients receive suitable alternative treatment based on their clinical judgement.,,2026-07-10T10:59:44.203597,91812
MY,Malaysia,NPRA,Genessa 250mg Film Coated Tablets,Gefitinib,250mg,,Tablet,MAL23086018AZ,L01EB01,Novugen Oncology Sdn Bhd,Novugen Oncology Sdn Bhd,Shortage,Current,Batch intended for delivery was rejected due to quality,2025-12-01,2026-03-15,"PRH mentions immediate corrective actions have been taken. Production of a new batch is commenced & will be started in Mar-2026 to make supply from Mar-2026 on-wards, with all necessary precautions taken to maintain stable and uninterrupted supplies in the future.",Registered alternative products are available,Gefitinib Alternatives,2026-07-10T10:59:44.203676,90778
MY,Malaysia,NPRA,Panadol Cold+Flu-D Caplet,"1) Chlorpheniramine Maleate 
  
2) Paracetamol 

3) Phenylephrine HCl 
","1) 2mg

2) 500mg 

3) 5mg",,Tablet,MAL11080002ARZ,N02BE51,Haleon Malaysia Sdn Bhd,Sterling Drug (Malaya) Sdn. Bhd.,Discontinuation,Current,Voluntary withdrawal - no longer in Malaysian market,2025-11-12,,PRH has not proposed any mitigation plan.,"Registered alternative products are available 

NPRA notes: The registration of this product has been terminated.","CPM, PCM, PE_1st 3 Feb 2026.pdf",2026-07-10T10:59:44.203748,
MY,Malaysia,NPRA,Velsone 800mg Film Coated Tablets,Sevelamer carbonate,800mg ,,Tablet,MAL23046030AZ,V03AE02,Novugen Pharma Sdn Bhd,Novugen Pharma Sdn Bhd,Shortage,Current,Increased Demand,2026-01-12,2026-04-01,"1. Expedite production to clear backorders 

2. To build buffer stock at the warehouses",Registered alternative products are available,Sevelamer carbonate shortage_1st 260212.pdf,2026-07-10T10:59:44.203835,90131
MY,Malaysia,NPRA,MINIRIN NASAL SPRAY 0.1MG/ML (RTS),Desmopressin Acetate,0.1mg/ml,,Spray,MAL19984346ARZ,,Ferring Sdn. Bhd,FERRING GMBH,Discontinuation,Current,Voluntary withdrawal ,2026-02-05,,"Alternative medicines are available proposed by PRH: 
1. Minirin Oral Lyophilisate for sublingual 60mcg [MAL17107075ACRZ]
2. Minirin Oral Lyophilisate for sublingual 120mcg [MAL17107076ACRZ]
3. Minirin Injection 4mcg/ml [MAL19890565ARZ]
4. Minirin Tablet 0.1mg [MAL19950096ARZ]",Registered alternative products are available,Desmopressin Alternatives,2026-07-10T10:59:44.203913,
MY,Malaysia,NPRA,Urispas 200 Tablet,Flavoxate Hydrochloride,200 mg,,Tablet,MAL20033669AZ,G04BD02,DCH AURIGA (MALAYSIA) SDN BHD,Recordati,Discontinuation,Current,Voluntary withdrawal ,2026-02-20,,,Registered alternative products are available,Flavoxate Alternatives,2026-07-10T10:59:44.203981,15032
MY,Malaysia,NPRA,Praluent 75 mg solution for injection in pre-filled pen,Alirocumab,75mg,,Pre Filled Pen,MAL17065009AZ,C10AX14,Sanofi-Aventis (Malaysia) Sdn. Bhd.,Sanofi Winthrop Industrie,Discontinuation,Current,Voluntary withdrawal ,2026-02-23,,PRH proposed other LDL lowering treatments such as statins and ezetimibe and other PCSK9 inhibitors,No registered alternative product is available for this productâs active ingredient. Doctors are advised to ensure patients receive suitable alternative treatment based on their clinical judgement.,,2026-07-10T10:59:44.204051,131326
MY,Malaysia,NPRA,TULIP 40 MG FILM-COATED TABLET,ATORVASTATIN CALCIUM,40MG,,TABLET,MAL09072769ACZ,C10AA05,SANDOZ PRODUCTS MALAYSIA SDN BHD,NOVARTIS PHARMACEUTICAL MANUFACTURING LLC,Discontinuation,Current,Business decision,2026-02-20,,Alternative is available proposed by PRH [i.e. Rotaqor Film Coated Tablet 40mg (MAL24096053AZ)],Registered alternative products are available,Atorvastatin Alternatives,2026-07-10T10:59:44.204120,98620
