country_code,country_name,source,medicine_name,active_substance,strength,package_size,product_no,atc_code,marketing_auth_holder,shortage_start,estimated_end,status,reason,alternative,scraped_at,prk
HU,Hungary,OGYEI,ATORVASTATIN-TEVA 40 mg filmtabletta,atorvastatin,,30 X   - buborékcsomagolásban,OGYI-T-22355/03,C10AA05,Teva Gyógyszergyár Zrt.,2025-10-01,,shortage,Forgalmazói piaci megfontolások,Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista),2026-09-21T13:18:30.638640,98620
HU,Hungary,OGYEI,ATORVASTATIN-TEVA 80 mg filmtabletta,atorvastatin,,30 X   - buborékcsomagolásban,OGYI-T-22355/04,C10AA05,Teva Gyógyszergyár Zrt.,2025-10-28,,shortage,Forgalmazói piaci megfontolások,Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista),2026-09-21T13:18:30.638671,98639
HU,Hungary,OGYEI,ATROCELA 1 mg filmtabletta,anastrozole,,28 X   - HDPE tartályban,OGYI-T-22075/01,L02BG03,Vipharm S.A.,2026-03-11,,shortage,Gyártási gond,"Azonos hatóanyag, azonos gyógyszerformában elérhetõ",2026-09-21T13:18:30.638700,45020
HU,Hungary,OGYEI,ATROFORT pezsgõtabletta,glucosamine,,20 X   - PP tartályban,OGYI-T-20761/01,M01AX05,BÉRES Gyógyszergyár Zrt.,2014-12-31,,shortage,Forgalmazói piaci megfontolások,Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ,2026-09-21T13:18:30.638727,78964
HU,Hungary,OGYEI,AZZALURE 125 Speywood egység por oldatos injekcióhoz,botulinum toxin type A for injection,,2 X   - injekciós üvegben,OGYI-T-21618/02,M03AX01,Ipsen Pharma,2021-03-18,,shortage,Forgalmazói piaci megfontolások,"Azonos hatóanyag, azonos gyógyszerformában elérhetõ",2026-09-21T13:18:30.638754,92592
HU,Hungary,OGYEI,Abasaglar 100 egység/ml oldatos injekció patronban,insulin glargine,,10 X 3 ml patronban,EU/1/14/944/009,A10AE04,Eli Lilly Nederland B.V.,2026-01-01,,shortage,Forgalmazói piaci megfontolások,Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ,2026-09-21T13:18:30.638780,85375
HU,Hungary,OGYEI,Actos 30 mg tabletta,pioglitazone,,28 X   - buborékcsomagolásban,EU/1/00/150/004,A10BG03,Cheplapharm Arzneimittel GmbH,2019-06-07,,shortage,Forgalmazói piaci megfontolások,Egyedi import,2026-09-21T13:18:30.638807,84247
HU,Hungary,OGYEI,"Adempas 1,5 mg filmtabletta",Riociguat,,42 X   - buborékcsomagolásban,EU/1/13/907/007,C02KX05,Bayer AG,2026-09-14,2026-10-20,shortage,Gyártási gond kapacitás,Ugyanaz a gyógyszer más hatáserõsségben elérhetõ,2026-09-21T13:18:30.638839,124664
HU,Hungary,OGYEI,Adempas 2 mg filmtabletta,Riociguat,,42 X   - buborékcsomagolásban,EU/1/13/907/010,C02KX05,Bayer AG,2026-09-14,2026-10-20,shortage,Gyártási gond kapacitás,Ugyanaz a gyógyszer más hatáserõsségben elérhetõ,2026-09-21T13:18:30.638869,124680
HU,Hungary,OGYEI,"Adempas 2,5 mg filmtabletta",Riociguat,,42 X   - buborékcsomagolásban,EU/1/13/907/013,C02KX05,Bayer AG,2026-07-03,2026-11-03,shortage,Gyártási gond kapacitás,Ugyanaz a gyógyszer más hatáserõsségben elérhetõ,2026-09-21T13:18:30.638898,124699
