country_code,country_name,source,medicine_name,active_substance,strength,package_size,product_no,shortage_start,estimated_end,expected_period,status,reason,detail_url,published_date,scraped_at,atc_code,prk
DK,Denmark,LMST,"Bexsero injektionsvæske, suspension, fyldt injektionssprøjte","Meningokokprotein B (Meningococcus B, multikomponent vaccine) ATC-kode: J07AH09 Forventet periode: Start april - midt juni 2026 Årsag: Øget salg/efterspørgsel Virksomhed: GlaxoSmithKline Pharma A/S",,,,2026-07-09,2026-10-15,Slut juni - midt oktober 2026,shortage,Øget salg/efterspørgsel,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/human-2026/bexsero-forsyningsvanskelighed/,2026-07-09T09:25:00Z,2026-09-23T20:54:00.192206,J07AH09,153575
DK,Denmark,LMST,"Euthasol vet. 400 mg/ml injektionsvæske, opløsning",Pentobarbital (Pentobarbitalnatrium) ATC-kode: QN51AA01 Forventet periode: Slut september 2026 - ukendt Årsag: Produktionsproblemer Virksomhed: Dechra Veterinary Products A/S Spørgsmål om aktuel status skal stilles til virksomheden,,,,2026-07-09,,Slut september 2026 - ukendt,shortage,Produktionsproblemer,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/veterinaer-2026/euthasol-vet-injektionsvaeske-forsyningsvanskelighed/,2026-07-09T08:07:00Z,2026-09-23T20:54:00.192208,QN51AA01,
DK,Denmark,LMST,"Metomotyl 5 mg/ml injektionsvæske, opløsning",Metoclopramid (metoclopramidhydrochlorid) ATC-kode: QA03FA01 Forventet periode: Midt maj 2026 - ukendt Årsag: Produktionsproblemer Virksomhed: Dechra Veterinary Products A/S Spørgsmål om aktuel status skal stilles til virksomheden,,,,2026-07-08,,Midt maj 2026 - ukendt,shortage,Produktionsproblemer,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/veterinaer-2026/metomotyl-forsyningsvanskelighed/,2026-07-08T13:58:00Z,2026-09-23T20:54:00.192209,QA03FA01,
DK,Denmark,LMST,"Minirin 2,5 mikrogram/dosis næsespray, opløsning",Desmopressin (desmopressinacetattrihydrat) ATC-kode: H01BA02 Forventet periode: Fra slut august 2026 Årsag: Leveringsvanskeligheder Virksomhed: Ferring Lægemidler A/S Yderligere information: Permanent markedsophør Spørgsmål om aktuel status skal stilles til virksomheden,,,,2026-07-08,,Fra slut august 2026,shortage,Leveringsvanskeligheder,"https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/human-2026/minirin-2,5-mikrogramdosis-naesespray,-oploesning-forsyningsvanskelighed/",2026-07-08T13:26:00Z,2026-09-23T20:54:00.192210,H01BA02,
DK,Denmark,LMST,"Zeldox 80 mg kapsler, hårde",Ziprasidon ATC-kode: N05AE04 Forventet periode: Slut december 2025 - slut september 2026 Årsag: Kvalitetsproblemer Virksomhed: Viatris ApS Spørgsmål om aktuel status skal stilles til virksomheden,,,,2026-07-07,2026-09-25,Slut december 2025 - slut september 2026,shortage,Kvalitetsproblemer,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/human-2026/zeldox-80-mg-forsyningsvanskelighed/,2026-07-07T12:22:00Z,2026-09-23T20:54:00.192212,N05AE04,
DK,Denmark,LMST,Vivelle Dot 100 mikrog./24 timer depotplastre,Estradiol (Estradiolhemihydrat) ATC-kode: G03CA03 Forventet periode: Midt maj - slut september 2026 Årsag: Øget salg/efterspørgsel Virksomhed: Sandoz A/S Spørgsmål om aktuel status skal stilles til virksomheden,,,,2026-07-07,2026-09-25,Midt maj - slut september 2026,shortage,Øget salg/efterspørgsel,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/human-2026/vivelle-dot-100-mikrogram24-timer-forsyningsvanskelighed/,2026-07-07T10:34:00Z,2026-09-23T20:54:00.192215,G03CA03,
DK,Denmark,LMST,Vivelle Dot 50 mikrog./24 timer depotplastre,Estradiol (Estradiolhemihydrat) ATC-kode: G03CA03 Forventet periode: Midt maj - slut oktober 2026 Årsag: Øget salg/efterspørgsel Virksomhed: Sandoz A/S Spørgsmål om aktuel status skal stilles til virksomheden,,,,2026-07-07,2026-10-25,Midt maj - slut oktober 2026,shortage,Øget salg/efterspørgsel,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/human-2026/vivelle-dot-50-mikrogram24-timer-forsyningsvanskelighed/,2026-07-07T10:33:00Z,2026-09-23T20:54:00.192217,G03CA03,
DK,Denmark,LMST,"Methylphenidate ""Consilient Health"" 2 mg/ml oral opløsning",Methylphenidat (methylphenidathydrochlorid) ATC-kode: N06BA04 Forventet periode: Slut august 2026 - ukendt Årsag: Kommercielle årsager Virksomhed: Consilient Health Limited Spørgsmål om aktuel status skal stilles til virksomheden,,,,2026-07-03,,Slut august 2026 - ukendt,shortage,Kommercielle årsager,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/human-2026/methylphenidate-consilient-health-2-mgml-oral-oploesning-forsyningsvanskelighed/,2026-07-03T14:20:00Z,2026-09-23T20:54:00.192219,N06BA04,
DK,Denmark,LMST,"Atomoxetin ""Medical Valley"" 10 mg kapsler, hårde ",Atomoxetin ATC-kode: N06BA09 Forventet periode: Start juni 2024 - slut december 2027 Årsag: Produktionsproblemer Virksomhed: Medical Valley Invest AB Spørgsmål om aktuel status skal stilles til virksomheden,,,,2026-07-03,2027-12-25,Start juni 2024 - slut december 2027,shortage,Produktionsproblemer,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/human-2024/atomoxetin-medical-valley-10-mg-forsyningsvanskelighed/,2026-07-03T11:35:00Z,2026-09-23T20:54:00.192221,N06BA09,76708
DK,Denmark,LMST,"Atomoxetin ""Medical Valley"" 100 mg kapsler, hårde ",Atomoxetin ATC-kode: N06BA09 Forventet periode: Start juni 2024 - slut december 2027 Årsag: Produktionsproblemer Virksomhed: Medical Valley Invest AB Spørgsmål om aktuel status skal stilles til virksomheden,,,,2026-07-03,2027-12-25,Start juni 2024 - slut december 2027,shortage,Produktionsproblemer,https://laegemiddelstyrelsen.dk/da/godkendelse/kontrol-og-inspektion/mangel-paa-medicin/meddelelser-om-forsyning-af-medicin/human-2024/atomoxetin-medical-valley-100-mg-forsyningsvanskelighed/,2026-07-03T11:33:00Z,2026-09-23T20:54:00.192223,N06BA09,105309
