country_code,country_name,source,medicine_name,active_substance,strength,dosage_form,package_size,product_no,shortage_start,estimated_end,status,scraped_at,atc_code,prk
BG,Bulgaria,SESPA,Vyvgart,Efgartigimod alfa,20 mg/ml - 20 ml,Concentrate for solution for infusion,1,62632,,,shortage,2026-09-21T13:13:22.582577,L04AL01,
BG,Bulgaria,SESPA,Fingolimod Zentiva,Fingolimod,0.5 mg,"Capsule, hard",28,27085,,,shortage,2026-09-21T13:13:22.582594,L04AE01,100129
BG,Bulgaria,SESPA,Omeprazole Polpharma,Omeprazole,40 mg,Powder for solution for infusion,5,62799,,,shortage,2026-09-21T13:13:22.582608,A02BC01,126578
BG,Bulgaria,SESPA,Cagluen,Edoxaban,30 mg,Film-coated tablet,30,67542,,,shortage,2026-09-21T13:13:22.582621,B01AF03,128198
BG,Bulgaria,SESPA,Krusaxyl,Ticagrelor,60 mg,Film-coated tablet,56,66410,,,shortage,2026-09-21T13:13:22.582634,B01AC24,130680
BG,Bulgaria,SESPA,Piracetam Danhson,Piracetam,1200 mg,Film-coated tablet,20,67284,,,shortage,2026-09-21T13:13:22.582648,N06BX03,31186
BG,Bulgaria,SESPA,Edoxabel,Edoxaban,30 mg,Film-coated tablet,30,69062,,,shortage,2026-09-21T13:13:22.582661,B01AF03,128198
BG,Bulgaria,SESPA,Cufence,Trientine,200 mg,"Capsule, hard",100,47111,,,shortage,2026-09-21T13:13:22.582674,A16AX12,207535
BG,Bulgaria,SESPA,Alyftrek,"Deutivacaftor, Tezacaftor, Vanzacaftor",125 mg/50 mg/10 mg,Film-coated tablet,56,68611,,,shortage,2026-09-21T13:13:22.582688,,
BG,Bulgaria,SESPA,Talvey,Talquetamab,2 mg/ml -1.5 ml,Solution for injection,1,64365,,,shortage,2026-09-21T13:13:22.582701,L01FX29,229563
BG,Bulgaria,SESPA,Enwylma,Denosumab,120 mg (70 mg/ml - 1.7 ml),Solution for injection,1,69071,,,shortage,2026-09-21T13:13:22.582715,M05BX04,100420
BG,Bulgaria,SESPA,Nilotinib Pharmascience,Nilotinib,150 mg,"Capsule, hard",112,65546,,,shortage,2026-09-21T13:13:22.582729,L01EA03,230715
BG,Bulgaria,SESPA,Kiovig,"Immunoglobulins, normal human, for intravascular adm.",100 mg/ml - 10 ml,Solution for infusion,1,1167,,,shortage,2026-09-21T13:13:22.582742,,
