country_code,country_name,source,medicine_name,atc_code,active_substance,dosage_form,strength,marketing_auth_holder,detail_url,shortage_start,estimated_end,status,package_size,product_no,reason,medicine_type,scraped_at,prk
EE,Estonia,RAVIMIAMET,FOSINOPRIL ACTAVIS,C09AA09,Fosinopril,tablet,20mg,Teva B.V.,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=40b1fd29-0a90-4fcb-84e7-2d15820d8b9a,2026-06-22,,shortage,500TK,1193969,eeldatavasti veebruaris 2027,Human medicine,2026-09-23T20:54:00.195496,39578
EE,Estonia,RAVIMIAMET,FOSINOPRIL ACTAVIS,C09AA09,Fosinopril,tablet,10mg,Teva B.V.,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=ba8fc441-42e2-4627-b1bb-f91043bac29f,2025-02-02,,shortage,30TK,1193778,ei ole teada,Human medicine,2026-09-23T20:54:00.195496,39551
EE,Estonia,RAVIMIAMET,FUCITHALMIC,S01AA13,Fusidic acid,"eye drops, suspension",10mg 1g,Amdipharm Limited,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=3031613e-67f8-43d1-ad6d-a7877f21534d,2023-11-13,,shortage,5g 1TK,1018606,eeldatavasti detsembris 2026,Human medicine,2026-09-23T20:54:00.195496,227196
EE,Estonia,RAVIMIAMET,FUROSEMIDE BASI,C03CA01,Furosemide,solution for injection/infusion,10mg 1ml,Laboratorios Basi Industria Farmaceutica S.A.,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=0a5842f0-31f7-4718-a09b-49edb1f6a83a,2024-07-16,,shortage,2ml 50TK,1855683,on täpsustamisel,Human medicine,2026-09-23T20:54:00.195496,1651
EE,Estonia,RAVIMIAMET,GLICLAZIDE ACTAVIS,A10BB09,Gliclazide,modified-release tablet,60mg,Teva B.V.,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=6630fe8c-7d0b-42d5-aedb-eb37dfe5d435,2025-10-15,,shortage,30TK,1644588,täpsustamisel,Human medicine,2026-09-23T20:54:00.195496,141925
EE,Estonia,RAVIMIAMET,HOLOXAN,L01AA06,Ifosfamide,powder for solution for injection,1g,OÜ Baxter Estonia,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=ffe6e8a7-f5dc-42bf-9a0b-bcb6a143b304,2026-02-09,,shortage,1TK,1069028,eeldatavasti 2027. aasta I kvartalis,Human medicine,2026-09-23T20:54:00.195496,14818
EE,Estonia,RAVIMIAMET,HYDROCORTISONE DAK,D07AA02,Hydrocortisone,ointment,10mg 1g,Orifarm Healthcare A/S,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=8e78e338-9bb6-4580-b2de-5451c18960c9,2026-06-29,,shortage,30g 1TK,1137013,retseptiravimil ei ole teada; käsimüügiravimil eeldatavasti sügisel 2026,Human medicine,2026-09-23T20:54:00.195496,19801
EE,Estonia,RAVIMIAMET,IBANDRONIC ACID TEVA,M05BA06,Ibandronic acid,film-coated tablet,150mg,Teva B.V.,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=9320210e-17fd-47df-a268-c4a3984e14db,2024-01-09,,shortage,3TK,1498989,eeldatavasti 2026. aasta lõpus,Human medicine,2026-09-23T20:54:00.195496,79685
EE,Estonia,RAVIMIAMET,IKERVIS,S01XA18,Ciclosporin,"eye drops, emulsion",1mg 1ml,Santen Oy,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=d813df6c-3349-46e7-93fa-6e91b6efda4a,2026-08-14,,shortage,0.3ml 30TK,1683097,ei ole teada,Human medicine,2026-09-23T20:54:00.195496,216461
EE,Estonia,RAVIMIAMET,IMULDOSA,L04AC05,Ustekinumab,concentrate for solution for infusion,130mg 26ml,Accord Healthcare S.L.U.,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=16a39461-6efe-4d8d-a6fc-4c796e0fadaf,2026-07-22,,shortage,26ml 1TK,3101296,eeldatavasti 2027. aasta lõpus,Human medicine,2026-09-23T20:54:00.195496,138274
EE,Estonia,RAVIMIAMET,KANILAD,N03AX18,Lacosamide,film-coated tablet,50mg,Ideal Trade Links UAB,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=3088ab9b-39a2-4c18-b3c7-e465761263fe,2026-01-26,,shortage,56TK,3080944,ei ole teada,Human medicine,2026-09-23T20:54:00.195496,89036
EE,Estonia,RAVIMIAMET,KIGABEQ,N03AG04,Vigabatrin,soluble tablet,100mg,Orphelia Pharma,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=cf3b2b51-b4f1-453c-b8a0-aad716aeb520,2025-09-16,,shortage,100TK,1780321,ei ole teada,Human medicine,2026-09-23T20:54:00.195496,
EE,Estonia,RAVIMIAMET,KLOTRIMASOOL GSK,D01AC01,Clotrimazole,cream,10mg 1g,First Pharma OÜ,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=ac80d6db-f780-47fc-bf0c-9a24155694e1,2026-02-02,,shortage,"20g 1TK, Poola pakend",1730944,eeldatavasti veebruaris 2027,Human medicine,2026-09-23T20:54:00.195496,3115
EE,Estonia,RAVIMIAMET,KREON 25 000 U,A09AA02,Lipase+Amylase+Protease,"gastro-resistant capsule, hard",25000ühik +18000ühik +1000ühik,VIATRIS HEALTHCARE Limited,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=15869d05-c793-467a-b604-abf020f4a807,2025-09-08,,shortage,50TK,1063707,eeldatavasti 2027. aasta I kvartalis,Human medicine,2026-09-23T20:54:00.195496,
EE,Estonia,RAVIMIAMET,KVENTIAX,N05AH04,Quetiapine,film-coated tablet,25mg,KRKA tovarna zdravil d.d. Novo mesto,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=384c5061-0a38-40a8-aabf-b9852972ff48,2026-06-01,,shortage,30TK,1258208,eeldatavasti septembri keskpaigas 2026,Human medicine,2026-09-23T20:54:00.195496,50741
EE,Estonia,RAVIMIAMET,LACOSAMIDE ACCORD,N03AX18,Lacosamide,solution for infusion,10mg 1ml,Accord Healthcare S.L.U.,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=b35cb038-8fb4-4e29-9edc-00b9b3b77a71,2026-02-16,,shortage,20ml 1TK,3048207,eeldatavasti 2026. aasta lõpus.,Human medicine,2026-09-23T20:54:00.195496,89060
EE,Estonia,RAVIMIAMET,LACOSAMIDE ACCORD,N03AX18,Lacosamide,film-coated tablet,150mg,Accord Healthcare S.L.U.,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=e1a376cd-5d81-4899-99ed-facd22ff78cd,2026-08-12,,shortage,168TK,1753477,eeldatavasti septembris 2026,Human medicine,2026-09-23T20:54:00.195496,89044
EE,Estonia,RAVIMIAMET,LAMISIL,D01AE15,Terbinafine,cream,10mg 1g,Karo Healthcare AB,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=a6847484-3a31-40af-8223-725d655baed5,2026-07-06,,shortage,15g 1TK,1002902,täpsustamisel,Human medicine,2026-09-23T20:54:00.195496,35157
EE,Estonia,RAVIMIAMET,LEBSANAN,D11AH01,Tacrolimus,ointment,1mg 1g,Norameda UAB,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=7a6c6d00-a7ff-47f3-97c1-ff683d653bc3,2025-01-16,,shortage,60g 1TK,1665288,eeldatavasti oktoobris 2026,Human medicine,2026-09-23T20:54:00.195496,67652
EE,Estonia,RAVIMIAMET,LENZETTO,G03CA03,Estradiol,"transdermal spray, solution","1,53mg 1annus",Gedeon Richter Plc.,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=c9622668-97a3-4797-8aab-5df1d577dad8,2026-09-07,,shortage,168annus 1TK,1715611,eeldatavasti aprillis 2027,Human medicine,2026-09-23T20:54:00.195496,167266
EE,Estonia,RAVIMIAMET,LETROZOLE TEVA,L02BG04,Letrozole,film-coated tablet,"2,5mg",Teva Pharma B.V.,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=df5209be-9ddd-4b3b-9176-f8a14e276dc2,2026-07-20,,shortage,30TK,1349771,täpsustamisel,Human medicine,2026-09-23T20:54:00.195496,47724
EE,Estonia,RAVIMIAMET,LUNALDIN,N02AB03,Fentanyl,sublingual tablet,100mcg,Gruenenthal GmbH,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=fdeda8c1-9663-450f-84e3-4b0e09bdb508,2026-06-15,,shortage,10TK,1400948,eeldatavasti septembri alguses 2026,Human medicine,2026-09-23T20:54:00.195496,98175
EE,Estonia,RAVIMIAMET,MEBENDAZOLE-GRINDEKS,P02CA01,Mebendazole,tablet,100mg,Grindeks AS,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=d3f36b32-ac09-41be-9efb-528aa2231450,2022-09-26,,shortage,6TK,1008245,ei ole teada,Human medicine,2026-09-23T20:54:00.195496,2798
EE,Estonia,RAVIMIAMET,MEDROL,H02AB04,Methylprednisolone,tablet,16mg,Lex Ano UAB,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=0c608bfd-127d-42f8-bdd7-98cbd8a25e8d,2024-02-18,,shortage,"50TK, Ungari pakend",1866922,ei ole teada,Human medicine,2026-09-23T20:54:00.195496,
EE,Estonia,RAVIMIAMET,METFORMIN HYDROCHLORIDE/SITAGLIPTIN GRINDEKS,A10BD07,Metformin+Sitagliptin,film-coated tablet,1000mg +50mg,Grindeks AS,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=8ed985e6-f63e-4039-a859-0b04ba1d7358,2026-01-05,,shortage,196TK,1893876,eeldatavasti detsembri lõpus 2026,Human medicine,2026-09-23T20:54:00.195496,218154
EE,Estonia,RAVIMIAMET,MIDAZOLAM KALCEKS,N05CD08,Midazolam,solution for injection/infusion,5mg 1ml,Kalceks AS,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=6845b7da-8aee-4798-9d85-1a131b341172,2026-07-13,,shortage,1ml 10TK,1752285,eeldatavasti septembri lõpus 2026,Human medicine,2026-09-23T20:54:00.195496,93637
EE,Estonia,RAVIMIAMET,NEOTIGASON,D05BB02,Acitretin,"capsule, hard",10mg,First Pharma OÜ,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=992c6544-5d5e-48d0-8f66-f932ec34a17c,2024-07-09,,shortage,"100TK, Poola pakend",1834376,ei ole teada,Human medicine,2026-09-23T20:54:00.195496,29866
