country_code,country_name,source,medicine_name,active_substance,strength,dosage_form,package_size,package_description,atc_code,marketing_auth_holder,reporter,status,reason,parallel_export_ban,legal_basis,healthcare_notice,basg_note,shortage_start,estimated_end,scraped_at,prk
AT,Austria,BASG,Diflucan 2 mg/ml Infusionslösung,FLUCONAZOL,2 mg/ml,Infusionslösung,200 ml,1 x 200 ml (Durchstechflasche),J02AC01,"Pfizer Corporation Austria Ges.m.b.H., Floridsdorfer Hauptstraße 1, 1210 Wien, Österreich","Pfizer Corporation Austria Ges.m.b.H., Floridsdorfer Hauptstraße 1, 1210 Wien, Österreich",Nicht verfügbar,Verzögerung bei der Herstellung,Ja,§1 (1) Verordnung über die Sicherstellung der Arzneimittelversorgung,Nein,,,,2026-09-21T13:13:14.301284,33529
AT,Austria,BASG,Diflucan 2 mg/ml Infusionslösung,FLUCONAZOL,2 mg/ml,Infusionslösung,50 ml,1 x 50 ml (Durchstechflasche),J02AC01,"Pfizer Corporation Austria Ges.m.b.H., Floridsdorfer Hauptstraße 1, 1210 Wien, Österreich","Pfizer Corporation Austria Ges.m.b.H., Floridsdorfer Hauptstraße 1, 1210 Wien, Österreich",verfügbar,Verzögerung bei der Herstellung,Ja,§1 (1) Verordnung über die Sicherstellung der Arzneimittelversorgung,Nein,,,,2026-09-21T13:13:14.301287,33529
AT,Austria,BASG,Diflucan 2 mg/ml Infusionslösung,FLUCONAZOL,2 mg/ml,Infusionslösung,100 ml,1 x 100 ml (Durchstechflasche),J02AC01,"Pfizer Corporation Austria Ges.m.b.H., Floridsdorfer Hauptstraße 1, 1210 Wien, Österreich","Pfizer Corporation Austria Ges.m.b.H., Floridsdorfer Hauptstraße 1, 1210 Wien, Österreich",verfügbar,Verzögerung bei der Herstellung,Ja,§1 (1) Verordnung über die Sicherstellung der Arzneimittelversorgung,Nein,,,,2026-09-21T13:13:14.301290,33529
AT,Austria,BASG,Octagam 100 mg/ml Infusionslösung,IMMUNGLOBULIN,100 mg/ml,Infusionslösung,1 Stück,1 Durchstechflasche mit 20 ml,J06BA02,"Octapharma Pharmazeutika Produktionsgesellschaft m.b.H., Oberlaaer Straße 235, 1100 Wien, Österreich","BASG, Oberlaaer Straße 235, 1100 Wien, Österreich",verfügbar gemäß §4 (1),Verknappung des Wirkstoffes,Ja,§4 (1) Verordnung über die Sicherstellung der Arzneimittelversorgung,Nein,"Es handelt sich hierbei um ein Verfahren gemäß § 4 Abs. 1 der Verordnung über die Sicherstellung der Arzneimittelversorgung. Der Bedarf der Patientinnen und Patienten im Inland kann mit dieser Arzneispezialität nicht gedeckt werden, obwohl nach Angaben des Zulassungsinhabers keine Einschränkung der Vertriebsfähigkeit vorliegt.",,,2026-09-21T13:13:14.301292,91308
AT,Austria,BASG,Octagam 100 mg/ml Infusionslösung,IMMUNGLOBULIN,100 mg/ml,Infusionslösung,1 Stück,1 Infusionsflasche mit 50 ml,J06BA02,"Octapharma Pharmazeutika Produktionsgesellschaft m.b.H., Oberlaaer Straße 235, 1100 Wien, Österreich","BASG, Oberlaaer Straße 235, 1100 Wien, Österreich",verfügbar gemäß §4 (1),Verknappung des Wirkstoffes,Ja,§4 (1) Verordnung über die Sicherstellung der Arzneimittelversorgung,Nein,"Es handelt sich hierbei um ein Verfahren gemäß § 4 Abs. 1 der Verordnung über die Sicherstellung der Arzneimittelversorgung. Der Bedarf der Patientinnen und Patienten im Inland kann mit dieser Arzneispezialität nicht gedeckt werden, obwohl nach Angaben des Zulassungsinhabers keine Einschränkung der Vertriebsfähigkeit vorliegt.",,,2026-09-21T13:13:14.301295,91308
AT,Austria,BASG,Octagam 100 mg/ml Infusionslösung,IMMUNGLOBULIN,100 mg/ml,Infusionslösung,1 Stück,1 Infusionsflasche mit 200 ml,J06BA02,"Octapharma Pharmazeutika Produktionsgesellschaft m.b.H., Oberlaaer Straße 235, 1100 Wien, Österreich","BASG, Oberlaaer Straße 235, 1100 Wien, Österreich",verfügbar gemäß §4 (1),Verknappung des Wirkstoffes,Ja,§4 (1) Verordnung über die Sicherstellung der Arzneimittelversorgung,Nein,"Es handelt sich hierbei um ein Verfahren gemäß § 4 Abs. 1 der Verordnung über die Sicherstellung der Arzneimittelversorgung. Der Bedarf der Patientinnen und Patienten im Inland kann mit dieser Arzneispezialität nicht gedeckt werden, obwohl nach Angaben des Zulassungsinhabers keine Einschränkung der Vertriebsfähigkeit vorliegt.",,,2026-09-21T13:13:14.301298,91308
AT,Austria,BASG,Octagam 100 mg/ml Infusionslösung,IMMUNGLOBULIN,100 mg/ml,Infusionslösung,1 Stück,1 Infusionsflasche mit 100 ml,J06BA02,"Octapharma Pharmazeutika Produktionsgesellschaft m.b.H., Oberlaaer Straße 235, 1100 Wien, Österreich","BASG, Oberlaaer Straße 235, 1100 Wien, Österreich",verfügbar gemäß §4 (1),Verknappung des Wirkstoffes,Ja,§4 (1) Verordnung über die Sicherstellung der Arzneimittelversorgung,Nein,"Es handelt sich hierbei um ein Verfahren gemäß § 4 Abs. 1 der Verordnung über die Sicherstellung der Arzneimittelversorgung. Der Bedarf der Patientinnen und Patienten im Inland kann mit dieser Arzneispezialität nicht gedeckt werden, obwohl nach Angaben des Zulassungsinhabers keine Einschränkung der Vertriebsfähigkeit vorliegt.",,,2026-09-21T13:13:14.301300,91308
AT,Austria,BASG,Xarelto 1 mg/ml Granulat zur Herstellung einer Suspension zum Einnehmen,RIVAROXABAN,1 mg/ml,Granulat zur Herstellung einer Suspension zum Einnehmen,250 ml,"5,25 g Granulat, entsprechend 103,4 mg Rivaroxaban, in 1 Braunglasflasche zu 250 ml,  verschlossen mit einem kindergesicherten Schraubverschluss",B01AF01,"Bayer AG, - -, 51368 Leverkusen, Federal Republic of Germany","Bayer AG, - -, 51368 Leverkusen, Federal Republic of Germany",Nicht verfügbar,Kapazitätsengpässe bei der Herstellung,Ja,§1 (1) Verordnung über die Sicherstellung der Arzneimittelversorgung,Nein,,,,2026-09-21T13:13:14.301303,209872
AT,Austria,BASG,Xarelto 1 mg/ml Granulat zur Herstellung einer Suspension zum Einnehmen,RIVAROXABAN,1 mg/ml,Granulat zur Herstellung einer Suspension zum Einnehmen,100 ml,"2,625 g Granulat, entsprechend 51,7 mg Rivaroxaban, in 1 Braunglasflasche zu 100 ml,  verschlossen mit einem kindergesicherten Schraubverschluss",B01AF01,"Bayer AG, - -, 51368 Leverkusen, Federal Republic of Germany","Bayer AG, - -, 51368 Leverkusen, Federal Republic of Germany",verfügbar,Kapazitätsengpässe bei der Herstellung,Ja,§1 (1) Verordnung über die Sicherstellung der Arzneimittelversorgung,Nein,,,,2026-09-21T13:13:14.301306,209872
AT,Austria,BASG,Aprepitant ratiopharm 80 mg/125 mg Hartkapseln,APREPITANT,80 mg/125 mg,Hartkapsel,3 Stück,Aluminium-OPA/Alu/PVC-Blisterpackung. 3-Tages-Therapie-Packung: 1 Blisterpackung mit einer 125-mg-Kapsel und 1 Einzeldosis- Blisterpackung mit zwei 80-mg-Kapseln.,A04AD12,"Teva B.V., Swensweg 5, 2031 GA Haarlem, Niederlande","Teva B.V., Swensweg 5, 2031 GA Haarlem, Niederlande",Nicht verfügbar,Verzögerung bei der Herstellung,Ja,§1 (1) Verordnung über die Sicherstellung der Arzneimittelversorgung,Nein,,,,2026-09-21T13:13:14.301309,
AT,Austria,BASG,Teicoplanin Viatris 200 mg Pulver zur Herstellung einer Injektions-/Infusionslösung oder einer Lösung zum Einnehmen,TEICOPLANIN,200 mg,Pulver zur Herstellung einer Injektions-/Infusionslösung,5 Stück,5 x 10ml-Durchstechflasche aus Typ II-Glas mit Chlorobutyl- Gummistopfen und einer Aluminium-Flip-off-Kappe,J01XA02,"Viatris Limited, Damastown Industrial Park Mulhuddart -, D15 XD71 Dublin 15, Irland","Viatris Limited, Damastown Industrial Park Mulhuddart -, D15 XD71 Dublin 15, Irland",Nicht verfügbar,Verzögerung bei der Auslieferung,Ja,§1 (1) Verordnung über die Sicherstellung der Arzneimittelversorgung,Nein,,,,2026-09-21T13:13:14.301311,27278
AT,Austria,BASG,Eskazole 400 mg - Tabletten,ALBENDAZOL,400 mg,Tablette,12 Stück,"12 Stück in Blister (Aluminiumfolie, heißsiegelfähig lackiert, und PVDC/PVC-Folie)",P02CA03,"Glaxosmithkline Pharma GmbH, Wienerbergstraße 7, 1100 Wien, Österreich","Glaxosmithkline Pharma GmbH, Wienerbergstraße 7, 1100 Wien, Österreich",eingeschränkt verfügbar,Verknappung des Wirkstoffes,Ja,§1 (1) Verordnung über die Sicherstellung der Arzneimittelversorgung,Nein,,,,2026-09-21T13:13:14.301314,27278
AT,Austria,BASG,Intratect 50 g/l Infusionslösung,IMMUNGLOBULIN,50 g/l,Infusionslösung,1 Stück,1 Durchstechflasche mit 1 g in 20 ml Lösung,J06BA02,"Biotest Pharma GmbH, Landsteinerstraße 5, 63303 Dreieich, Federal Republic of Germany","BASG, Landsteinerstraße 5, 63303 Dreieich, Federal Republic of Germany",verfügbar gemäß §4 (1),Verknappung des Wirkstoffes,Ja,§4 (1) Verordnung über die Sicherstellung der Arzneimittelversorgung,Nein,"Es handelt sich hierbei um ein Verfahren gemäß § 4 Abs. 1 der Verordnung über die Sicherstellung der Arzneimittelversorgung. Der Bedarf der Patientinnen und Patienten im Inland kann mit dieser Arzneispezialität nicht gedeckt werden, obwohl nach Angaben des Zulassungsinhabers keine Einschränkung der Vertriebsfähigkeit vorliegt.",,,2026-09-21T13:13:14.301317,77968
AT,Austria,BASG,Intratect 50 g/l Infusionslösung,IMMUNGLOBULIN,50 g/l,Infusionslösung,1 Stück,1 Durchstechflasche mit 10 g in 200 ml Lösung,J06BA02,"Biotest Pharma GmbH, Landsteinerstraße 5, 63303 Dreieich, Federal Republic of Germany","BASG, Landsteinerstraße 5, 63303 Dreieich, Federal Republic of Germany",verfügbar gemäß §4 (1),Verknappung des Wirkstoffes,Ja,§4 (1) Verordnung über die Sicherstellung der Arzneimittelversorgung,Nein,"Es handelt sich hierbei um ein Verfahren gemäß § 4 Abs. 1 der Verordnung über die Sicherstellung der Arzneimittelversorgung. Der Bedarf der Patientinnen und Patienten im Inland kann mit dieser Arzneispezialität nicht gedeckt werden, obwohl nach Angaben des Zulassungsinhabers keine Einschränkung der Vertriebsfähigkeit vorliegt.",,,2026-09-21T13:13:14.301319,77968
AT,Austria,BASG,Intratect 50 g/l Infusionslösung,IMMUNGLOBULIN,50 g/l,Infusionslösung,1 Stück,1 Durchstechflasche mit 5 g in 100 ml Lösung,J06BA02,"Biotest Pharma GmbH, Landsteinerstraße 5, 63303 Dreieich, Federal Republic of Germany","BASG, Landsteinerstraße 5, 63303 Dreieich, Federal Republic of Germany",verfügbar gemäß §4 (1),Verknappung des Wirkstoffes,Ja,§4 (1) Verordnung über die Sicherstellung der Arzneimittelversorgung,Nein,"Es handelt sich hierbei um ein Verfahren gemäß § 4 Abs. 1 der Verordnung über die Sicherstellung der Arzneimittelversorgung. Der Bedarf der Patientinnen und Patienten im Inland kann mit dieser Arzneispezialität nicht gedeckt werden, obwohl nach Angaben des Zulassungsinhabers keine Einschränkung der Vertriebsfähigkeit vorliegt.",,,2026-09-21T13:13:14.301322,77968
AT,Austria,BASG,Intratect 50 g/l Infusionslösung,IMMUNGLOBULIN,50 g/l,Infusionslösung,1 Stück,"1 Durchstechflasche mit 2,5 g in 50 ml Lösung",J06BA02,"Biotest Pharma GmbH, Landsteinerstraße 5, 63303 Dreieich, Federal Republic of Germany","BASG, Landsteinerstraße 5, 63303 Dreieich, Federal Republic of Germany",verfügbar gemäß §4 (1),Verknappung des Wirkstoffes,Ja,§4 (1) Verordnung über die Sicherstellung der Arzneimittelversorgung,Nein,"Es handelt sich hierbei um ein Verfahren gemäß § 4 Abs. 1 der Verordnung über die Sicherstellung der Arzneimittelversorgung. Der Bedarf der Patientinnen und Patienten im Inland kann mit dieser Arzneispezialität nicht gedeckt werden, obwohl nach Angaben des Zulassungsinhabers keine Einschränkung der Vertriebsfähigkeit vorliegt.",,,2026-09-21T13:13:14.301325,77968
AT,Austria,BASG,Quetiapin neuraxpharm 300 mg Retardtabletten,QUETIAPIN FUMARAT,300 mg,Retardtablette,10 Stück,10 Tabletten in weiß-opake PVC/PCTFE//Aluminium-Blisterpackung,N05AH04,"neuraxpharm Arzneimittel GmbH, Elisabeth-Selbert-Straße 23, 40764 Langenfeld (Rheinland), Federal Republic of Germany","neuraxpharm Arzneimittel GmbH, Elisabeth-Selbert-Straße 23, 40764 Langenfeld (Rheinland), Federal Republic of Germany",Nicht verfügbar,Verzögerung bei der Herstellung,Ja,§1 (1) Verordnung über die Sicherstellung der Arzneimittelversorgung,Nein,,,,2026-09-21T13:13:14.301327,84204
