country_code,country_name,source,medicine_name,active_substance,strength,package_size,product_no,atc_code,marketing_auth_holder,dosage_form,shortage_start,first_published,estimated_end,estimated_end_text,last_updated,status,alternatives_available,reason,member_states,source_url,scraped_at
EU,EU (EMA),EMA,RoActemra,tocilizumab,"162 mg (syringe, pen) ;20 mg/ml (concentrate)",,,L04AC07,Roche Registration GmbH,Pre-filled syringe;Pre-filled pen;Solution for subcutaneous injection;Concentrate for solution for infusion,,2021-09-03,,,2025-04-01,resolved,Yes,,,https://www.ema.europa.eu/en/medicines/human/shortages/roactemra,2026-09-22T14:49:34.035662
EU,EU (EMA),EMA,Cisplatin,cisplatin,,,,,,Solution for injection,,2024-08-06,,,,resolved,Yes,,,https://www.ema.europa.eu/en/medicines/human/shortages/cisplatin,2026-09-22T14:49:34.035662
EU,EU (EMA),EMA,Fluorouracil,fluorouracil,,,,,,Solution for injection/infusion,,2024-08-06,,2025,,resolved,,,,https://www.ema.europa.eu/en/medicines/human/shortages/fluorouracil,2026-09-22T14:49:34.035662
EU,EU (EMA),EMA,Rybelsus,semaglutide,3 mg;7 mg;14 mg,,,A10BJ06,Novo Nordisk A/S,Tablet,,2023-07-11,,,2024-01-22,resolved,Yes,,,https://www.ema.europa.eu/en/medicines/human/shortages/rybelsus,2026-09-22T14:49:34.035662
EU,EU (EMA),EMA,Abraxane,paclitaxel,5 mg/ml,,,L01CD01,Bristol-Myers Squibb Pharma EEIG,Powder for dispersion for injection,,2023-05-11,,,2023-12-18,resolved,Yes,,,https://www.ema.europa.eu/en/medicines/human/shortages/abraxane,2026-09-22T14:49:34.035662
EU,EU (EMA),EMA,Nulojix,belatacept,25 mg/ml,,,L04AA28,Bristol-Myers Squibb Pharma EEIG,Solution for infusion,,2017-03-17,,,2023-10-03,resolved,,,,https://www.ema.europa.eu/en/medicines/human/shortages/nulojix,2026-09-22T14:49:34.035662
EU,EU (EMA),EMA,Kevzara,sarilumab,150 mg;200 mg,,,L04AC14,Sanofi Winthrop Industrie,Pre-filled syringe;Pre-filled pen;Solution for subcutaneous injection,,2021-11-09,,,2023-09-14,resolved,Yes,,,https://www.ema.europa.eu/en/medicines/human/shortages/kevzara,2026-09-22T14:49:34.035662
EU,EU (EMA),EMA,"Insuman Rapid, Basal and Comb 25 (insulin human)",insulin human,3 ml,,,,,Solution for injection;Pre-filled pen,,2023-01-24,,,2023-07-19,shortage,,"Several events at the manufacturing site resulted in a temporary supply shortage of Insuman in early 2023. They included supply delays of pen components and issues on filling, assembly and packaging lines. In addition, the marketing authorisation holder has decided to stop production and marketing of Insuman Rapid, Basal and Comb 25 worldwide.","All EU Member States where Insuman Rapid, Basal and Comb 25 are currently authorised.",https://www.ema.europa.eu/en/medicines/human/shortages/insuman-rapid-basal-comb-25-insulin-human,2026-09-22T14:49:34.035662
EU,EU (EMA),EMA,Actilyse and Actilyse Cathflo,alteplase,10 mg (Actilyse);20 mg (Actilyse);50 mg (Actilyse);2 mg (Actilyse Cathflo),,,,,Powder and solvent for solution for injection/infusion,,2022-09-23,,,2023-05-11,resolved,Yes,,,https://www.ema.europa.eu/en/medicines/human/shortages/actilyse-actilyse-cathflo,2026-09-22T14:49:34.035662
EU,EU (EMA),EMA,Metalyse,tenecteplase,"8,000 units (40 mg);10,000 units (50 mg)",,,B01AD11,Boehringer Ingelheim International GmbH,Powder and solvent for solution for injection,,2022-09-23,,,2023-05-11,resolved,Yes,,,https://www.ema.europa.eu/en/medicines/human/shortages/metalyse,2026-09-22T14:49:34.035662
EU,EU (EMA),EMA,Zerbaxa,ceftolozane;tazobactam,1 g;0.5 g,,,J01DI54,Merck Sharp & Dohme B.V.,Concentrate for solution for infusion,,2020-12-22,,,2023-04-14,resolved,Yes,,,https://www.ema.europa.eu/en/medicines/human/shortages/zerbaxa,2026-09-22T14:49:34.035662
EU,EU (EMA),EMA,Cetrotide,cetrorelix acetate,0.25 mg,,,H01CC02,Merck Europe B.V.,Powder and solvent for solution for infusion,,2022-08-10,,,2023-02-15,resolved,Yes,,,https://www.ema.europa.eu/en/medicines/human/shortages/cetrotide,2026-09-22T14:49:34.035662
EU,EU (EMA),EMA,Orgalutran,ganirelix,0.25 mg/0.5 ml,,,H01CC01,Organon N.V.,Solution for injection in pre-filled pen,,2017-02-16,,,2022-11-08,resolved,Yes,,,https://www.ema.europa.eu/en/medicines/human/shortages/orgalutran,2026-09-22T14:49:34.035662
EU,EU (EMA),EMA,Vfend,voriconazole,200 mg,,,J02AC03,Pfizer Europe MA EEIG,Powder for solution for infusion,,2021-04-16,,,2021-06-30,resolved,Yes,,,https://www.ema.europa.eu/en/medicines/human/shortages/vfend,2026-09-22T14:49:34.035662
EU,EU (EMA),EMA,Respreeza,alpha1-proteinase inhibitor (human),"4,000 mg ;5,000 mg",,,B02AB02,CSL Behring GmbH,Powder and solvent for solution for infusion,,2021-04-06,,,2021-05-06,resolved,Yes,,,https://www.ema.europa.eu/en/medicines/human/shortages/respreeza-0,2026-09-22T14:49:34.035662
EU,EU (EMA),EMA,Respreeza,alpha1-proteinase inhibitor (human),"1,000 mg ;4,000 mg ;5,000 mg",,,B02AB02,CSL Behring GmbH,Powder and solvent for solution for infusion,,2021-02-25,,,2021-03-31,resolved,Yes,,,https://www.ema.europa.eu/en/medicines/human/shortages/respreeza,2026-09-22T14:49:34.035662
EU,EU (EMA),EMA,Nucala,mepolizumab,40 mg ;100 mg,,,R03DX09,GlaxoSmithKline Trading Services Limited,Pre-filled pen,,2021-01-28,,,2021-03-01,resolved,Yes,,,https://www.ema.europa.eu/en/medicines/human/shortages/nucala,2026-09-22T14:49:34.035662
EU,EU (EMA),EMA,Cinryze,C1 inhibitor (human),500 IU,,,B06AC01,Takeda Manufacturing Austria AG,Powder and solvent for intravenous injection,,2018-08-06,,,2020-06-25,resolved,Yes,,,https://www.ema.europa.eu/en/medicines/human/shortages/cinryze,2026-09-22T14:49:34.035662
EU,EU (EMA),EMA,Tygacil,tigecycline,,,,J01AA12,Pfizer Europe MA EEIG,Powder for solution for infusion,,2015-05-22,,,2019-11-07,resolved,Yes,,,https://www.ema.europa.eu/en/medicines/human/shortages/tygacil,2026-09-22T14:49:34.035662
EU,EU (EMA),EMA,Cerezyme,imiglucerase,,,,A16AB02,Sanofi B.V.,Solution for infusion,,2013-11-04,,,2018-10-01,resolved,No,The supply shortage of Cerezyme began in June 2009 and was caused by a series of manufacturing problems at one of its manufacturing sites.,All European Union (EU) Member States,https://www.ema.europa.eu/en/medicines/human/shortages/cerezyme,2026-09-22T14:49:34.035662
EU,EU (EMA),EMA,Trisenox,arsenic trioxide,,,,L01XX27,Teva B.V.,Solution for infusion,,2017-07-31,,,2018-09-06,resolved,Yes,,,https://www.ema.europa.eu/en/medicines/human/shortages/trisenox,2026-09-22T14:49:34.035662
EU,EU (EMA),EMA,Arixtra,fondaparinux sodium,1.5 mg;2.5 mg;5.0 mg;7.5 mg,,,B01AX05,Viatris Healthcare Limited,Pre-filled syringe,,2017-07-07,,,2018-03-21,resolved,Yes,,,https://www.ema.europa.eu/en/medicines/human/shortages/arixtra,2026-09-22T14:49:34.035662
EU,EU (EMA),EMA,Inductos,dibotermin alfa,,,,M05BC01,Medtronic BioPharma B.V.,"Powder, solvent and matrix for implantation matrix",,2015-09-16,,,2017-08-15,resolved,Yes,,,https://www.ema.europa.eu/en/medicines/human/shortages/inductos,2026-09-22T14:49:34.035662
EU,EU (EMA),EMA,Taxotere,docetaxel,20 mg;1 ml and 80g;4 ml,,,L01CD02,Sanofi Winthrop Industrie,Concentrate for solution for infusion,,2016-05-19,,,2016-09-19,resolved,Yes,,,https://www.ema.europa.eu/en/medicines/human/shortages/taxotere,2026-09-22T14:49:34.035662
EU,EU (EMA),EMA,Fabrazyme,agalsidase beta,5 mg;35 mg,,,A16AB04,Sanofi B.V.,Powder for concentrate for solution for infusion,,2013-11-04,,,2016-06-07,resolved,No,,,https://www.ema.europa.eu/en/medicines/human/shortages/fabrazyme,2026-09-22T14:49:34.035662
EU,EU (EMA),EMA,"Insuman Rapid, Basal and Comb",insulin human,3 ml,,,,,Catridge;Pre-filled pen,,2015-03-31,,,2015-09-25,resolved,Yes,,,https://www.ema.europa.eu/en/medicines/human/shortages/insuman-rapid-basal-comb,2026-09-22T14:49:34.035662
EU,EU (EMA),EMA,Xofigo,radium Ra223 dichloride,1100 kBq/ml,,,V10XX03,Bayer AG,Solution for injection,,2014-10-17,,,2015-04-30,resolved,No,,,https://www.ema.europa.eu/en/medicines/human/shortages/xofigo,2026-09-22T14:49:34.035662
EU,EU (EMA),EMA,Buccolam,midazolam,2.5 mg;5 mg;7.5 mg;10 mg,,,N05CD08,Neuraxpharm Pharmaceuticals S.L.,Pre-filled syringe,,2014-04-25,,,2015-03-30,resolved,Not stated,,,https://www.ema.europa.eu/en/medicines/human/shortages/buccolam,2026-09-22T14:49:34.035662
EU,EU (EMA),EMA,Enbrel,etanercept,10 mg;25 mg;50 mg,,,L04AB01,Pfizer Europe MA EEIG,Pre-filled syringe;Pre-filled pen,,2014-02-19,,,2014-05-07,resolved,No,,,https://www.ema.europa.eu/en/medicines/human/shortages/enbrel,2026-09-22T14:49:34.035662
EU,EU (EMA),EMA,Increlex,mecasermin,10 mg/ml,,,H01AC03,"Esteve Pharmaceuticals, S.A.",Solution for subcutaneous injection,,2013-12-20,,,,resolved,No,,,https://www.ema.europa.eu/en/medicines/human/shortages/increlex,2026-09-22T14:49:34.035662
