country_code,country_name,source,medicine_name,active_substance,strength,package_size,product_no,atc_code,marketing_auth_holder,shortage_start,estimated_end,status,reason,alternative,scraped_at
HU,Hungary,OGYEI,"ADELLE 3 mg/0,02 mg filmtabletta",drospirenone;ethinylestradiol,,3 X 21 - buborékcsomagolásban,OGYI-T-22594/02,G03AA12,"Zentiva, k.s.",2025-12-08,,shortage,Piaci megfontolások,Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista),2026-03-13T23:10:54.066197
HU,Hungary,OGYEI,ADEPEND 50 mg filmtabletta,naltrexone,,28 X   - buborékcsomagolásban,OGYI-T-21368/03,N07BB04,Walter Ritter GmbH + Co. KG,2026-01-05,2026-05-31,shortage,"Hatóanyag, vagy egyéb alapanyag ellátási probléma",Egyedi import,2026-03-13T23:10:54.066197
HU,Hungary,OGYEI,ADIMET XR  500 mg retard tabletta,metformin hydrochloride,,60 X   - buborékcsomagolásban,OGYI-T-23485/02,A10BA02,Teva B.V.,2026-01-27,2026-07-31,shortage,Gyártási gond,Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista),2026-03-13T23:10:54.066197
HU,Hungary,OGYEI,ADIMET XR 1000 mg retard tabletta,metformin hydrochloride,,30 X   - buborékcsomagolásban,OGYI-T-23485/05,A10BA02,Teva B.V.,2026-01-13,2026-08-01,shortage,Gyártási gond,"Azonos hatóanyag, azonos gyógyszerformában elérhetõ",2026-03-13T23:10:54.066197
HU,Hungary,OGYEI,"AFRIN 0,5 mg/ml oldatos orrspray",oxymetazoline,,1 X 20 ml HDPE tartályban,OGYI-T-01733/02,R01AA05,Bayer Hungária Kft.,2023-04-20,,shortage,Gyártási gond,Ugyanaz a gyógyszer más kiszerelésben elérhetõ,2026-03-13T23:10:54.066197
HU,Hungary,OGYEI,"AFRIN 0,5 mg/ml oldatos orrspray",oxymetazoline,,1 X 20 ml mûanyag tartályban,OGYI-T-01733/01,R01AA05,Bayer Hungária Kft.,2023-04-20,,shortage,Gyártási gond,Ugyanaz a gyógyszer más kiszerelésben elérhetõ,2026-03-13T23:10:54.067197
HU,Hungary,OGYEI,"AGLANDIN 0,5 mg/0,4 mg kemény kapszula",dutasteride;tamsulosin hydrochloride,,90 X   - HDPE tartályban,OGYI-T-23600/02,G04CA52,G.L. Pharma GmbH,2025-09-25,,shortage,Gyártási gond,Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista),2026-03-13T23:10:54.067197
HU,Hungary,OGYEI,AGOMELATIN TEVA 25 mg filmtabletta,agomelatine,,28 X   - buborékcsomagolásban,OGYI-T-23393/01,N06AX22,Teva B.V.,2025-10-14,,shortage,Gyártási gond,Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista),2026-03-13T23:10:54.067197
HU,Hungary,OGYEI,AGOMELATIN TEVA 25 mg filmtabletta,agomelatine,,56 X   - buborékcsomagolásban,OGYI-T-23393/02,N06AX22,Teva B.V.,2025-08-12,,shortage,Gyártási gond,Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista),2026-03-13T23:10:54.067197
HU,Hungary,OGYEI,AKLIEF 50 mikrogramm/g krém,trifarotene,,1 X 75 g többadagos tartályban,OGYI-T-23978/04,D10AD06,Galderma International,2025-01-01,2026-09-30,shortage,Szállítási vagy raktározási gondok,Egyedi import,2026-03-13T23:10:54.067197
HU,Hungary,OGYEI,ALBUMON 30 mg készlet radioaktív gyógyszerkészítményhez,human albumin solution,,6 X   - injekciós üvegben,OGYI-T-23147/01,V09GA04,Medi-Radiopharma Kft.,2022-08-09,,shortage,Piaci megfontolások,Egyedi import,2026-03-13T23:10:54.067197
HU,Hungary,OGYEI,ALBUNORM 200 g/l oldatos infúzió,human albumin solution,,1 X 50 ml infúziós üvegben,OGYI-T-21416/09,B05AA01,Octapharma (IP) SPRL,2025-03-11,,shortage,Piaci megfontolások,"Azonos hatóanyag, azonos gyógyszerformában elérhetõ",2026-03-13T23:10:54.067197
HU,Hungary,OGYEI,ALBUREX  50 g/l oldatos infúzió,human albumin solution,,1 X 100 ml palackban,OGYI-T-21272/01,B05AA01,CSL Behring GmbH,2021-10-27,,shortage,"Hatóanyag, vagy egyéb alapanyag ellátási probléma","Azonos hatóanyag, azonos gyógyszerformában elérhetõ",2026-03-13T23:10:54.067197
HU,Hungary,OGYEI,ALBUREX  50 g/l oldatos infúzió,human albumin solution,,1 X 250 ml palackban,OGYI-T-21272/02,B05AA01,CSL Behring GmbH,2021-10-27,,shortage,"Hatóanyag, vagy egyéb alapanyag ellátási probléma","Azonos hatóanyag, azonos gyógyszerformában elérhetõ",2026-03-13T23:10:54.067197
HU,Hungary,OGYEI,ALEVE filmtabletta,naproxen,,20 X   - buborékcsomagolásban,OGYI-T-08021/03,M01AE02,Bayer Hungária Kft.,2013-10-01,,shortage,Gyártási gond,Ugyanaz a gyógyszer más kiszerelésben elérhetõ,2026-03-13T23:10:54.068196
HU,Hungary,OGYEI,ALEVE filmtabletta,naproxen,,7 X   - buborékcsomagolásban,OGYI-T-08021/02,M01AE02,Bayer Hungária Kft.,2013-10-01,,shortage,Gyártási gond,Ugyanaz a gyógyszer más kiszerelésben elérhetõ,2026-03-13T23:10:54.068196
HU,Hungary,OGYEI,ALEXAN 20 mg/ml oldatos injekció vagy infúzió,cytarabine,,10 X 5 ml injekciós üvegben,OGYI-T-01176/01,L01BC01,Sandoz Hungária Kft.,2025-08-13,,shortage,Piaci megfontolások,Ugyanaz a gyógyszer más hatáserõsségben elérhetõ,2026-03-13T23:10:54.068196
HU,Hungary,OGYEI,ALFUZOSIN SANDOZ SR 5 mg retard tabletta,alfuzosin,,60 X   - buborékcsomagolásban,OGYI-T-20227/02,G04CA01,Sandoz Hungária Kft.,2023-11-29,,shortage,Piaci megfontolások,"Azonos hatóanyag, azonos gyógyszerformában elérhetõ",2026-03-13T23:10:54.068196
HU,Hungary,OGYEI,ALGOFLEX BABY 20 mg/ml belsõleges szuszpenzió,ibuprofen,,1 X 100 ml üvegben,OGYI-T-08933/08,M01AE01,Opella Healthcare Commercial Kft.,2025-07-02,,shortage,Piaci megfontolások,Az OGYÉI által helyettesíthetõnek nyilvánított gyógyszer elérhetõ (helyettesíthetõségi lista),2026-03-13T23:10:54.068196
HU,Hungary,OGYEI,ALGOFLEX DUO 400 mg/100 mg filmtabletta,ibuprofen;caffeine,,10 X   - buborékcsomagolásban,OGYI-T-23652/01,M01AE51,Opella Healthcare Commercial Kft.,2026-03-06,,shortage,Piaci megfontolások,Azonos hatóanyag más gyógyszerformában elérhetõ,2026-03-13T23:10:54.068196
HU,Hungary,OGYEI,ALGOFLEX DUO 400 mg/100 mg filmtabletta,ibuprofen;caffeine,,12 X   - buborékcsomagolásban,OGYI-T-23652/02,M01AE51,Opella Healthcare Commercial Kft.,2026-03-06,,shortage,Piaci megfontolások,Azonos hatóanyag más gyógyszerformában elérhetõ,2026-03-13T23:10:54.068196
HU,Hungary,OGYEI,ALGOFLEX DUO 400 mg/100 mg filmtabletta,ibuprofen;caffeine,,20 X   - buborékcsomagolásban,OGYI-T-23652/03,M01AE51,Opella Healthcare Commercial Kft.,2026-03-06,,shortage,Piaci megfontolások,Azonos hatóanyag más gyógyszerformában elérhetõ,2026-03-13T23:10:54.068196
HU,Hungary,OGYEI,ALGOFLEX DUO 400 mg/100 mg filmtabletta,ibuprofen;caffeine,,24 X   - buborékcsomagolásban,OGYI-T-23652/04,M01AE51,Opella Healthcare Commercial Kft.,2026-03-06,,shortage,Piaci megfontolások,Azonos hatóanyag más gyógyszerformában elérhetõ,2026-03-13T23:10:54.068196
HU,Hungary,OGYEI,ALGOFLEX Izom+Ízület 300 mg retard kemény kapszula,ibuprofen,,10 X   - buborékcsomagolásban,OGYI-T-07101/05,M01AE01,Opella Healthcare Commercial Kft.,2025-06-25,,shortage,Piaci megfontolások,Ugyanaz a gyógyszer más kiszerelésben elérhetõ,2026-03-13T23:10:54.069195
HU,Hungary,OGYEI,ALGOFLEX RAPID 400 mg lágy kapszula,ibuprofen,,10 X   - buborékcsomagolásban,OGYI-T-21112/05,M01AE01,Opella Healthcare Commercial Kft.,2025-06-25,,shortage,Piaci megfontolások,Ugyanaz a gyógyszer más kiszerelésben elérhetõ,2026-03-13T23:10:54.069195
HU,Hungary,OGYEI,ALGOFLEX RAPID MINI 200 mg lágy kapszula,ibuprofen,,24 X   - buborékcsomagolásban,OGYI-T-21112/04,M01AE01,Opella Healthcare Commercial Kft.,2017-06-15,,shortage,Piaci megfontolások,Ugyanaz a gyógyszer más gyógyszerformában elérhetõ,2026-03-13T23:10:54.069195
HU,Hungary,OGYEI,ALGOFLEX ULTRA FORTE 600 mg filmtabletta,ibuprofen,,10 X   - buborékcsomagolásban,OGYI-T-08933/01,M01AE01,Opella Healthcare Commercial Kft.,2025-06-25,,shortage,Piaci megfontolások,Ugyanaz a gyógyszer más kiszerelésben elérhetõ,2026-03-13T23:10:54.069195
