country_code,country_name,source,medicine_name,full_name,active_substance,strength,package_size,dosage_form,atc_code,marketing_auth_holder,market_status,market_status_code,status,scraped_at
SI,Slovenia,CBZ,Rhesonativ,Rhesonativ 625 i.e./ml raztopina za injiciranje,immunoglobulinum humanum anti-D (Rh),,škatla z 1 ampulo z 1 ml raztopine,raztopina za injiciranje,J06BB01,Octapharma (IP) SPRL,Potekajoèa motnja v preskrbi,5,shortage,2026-03-14T16:09:12.448830
SI,Slovenia,CBZ,Rhesonativ,Rhesonativ 625 i.e./ml raztopina za injiciranje,immunoglobulinum humanum anti-D (Rh),,škatla z 1 ampulo z 2 ml raztopine,raztopina za injiciranje,J06BB01,Octapharma (IP) SPRL,Potekajoèa motnja v preskrbi,5,shortage,2026-03-14T16:09:12.448830
SI,Slovenia,CBZ,AmBisome liposomal,AmBisome liposomal 50 mg prašek za koncentrat za disperzijo za infundiranje,amphotericinum B,,škatla z 10 vialami (15 ml) s praškom in 10 filtri,prašek za koncentrat za disperzijo za infundiranje,J02AA01,Gilead Sciences Ireland UC,Potekajoèe zaèasno prenehanje opravljanja prometa,6,shortage,2026-03-14T16:09:12.448830
SI,Slovenia,CBZ,EFECTIN,EFECTIN ER 75 mg trde kapsule s podaljšanim sprošèanjem,venlafaxinum,,škatla z 28 kapsulami (2 x 14 kapsul v pretisnem omotu),"kapsula s podaljšanim sprošèanjem, trda",N06AX16,Upjohn EESV,Potekajoèe zaèasno prenehanje opravljanja prometa,6,shortage,2026-03-14T16:09:12.448830
SI,Slovenia,CBZ,Relenza,"Relenza 5 mg/odmerek, odmerjeni prašek za inhaliranje",zanamivirum,,škatla s 5 okroglimi diski (Rotadiski) v plastiènem vsebniku (vsak Rotadisk vsebuje 4 pretisne omote) in plastièno napravo za inhaliranje (Diskhaler),"prašek za inhaliranje, odmerjeni",J05AH01,GlaxoSmithKline Trading Services Limited,Potekajoèe zaèasno prenehanje opravljanja prometa,6,shortage,2026-03-14T16:09:12.448830
SI,Slovenia,CBZ,Salofalk,Salofalk 500 mg sveèke,mesalazinum,,škatla s 30 sveèkami (6 x 5 sveèk v dvojnem traku),sveèka,A07EC02,Dr. Falk Pharma GmbH,Potekajoèa motnja v preskrbi,5,shortage,2026-03-14T16:09:12.448830
SI,Slovenia,CBZ,NeoRecormon,NeoRecormon 4.000 i.e. raztopina za injiciranje v napolnjeni injekcijski brizgi,erythropoietinum,,"škatla s 6 napolnjenimi injekcijskimi brizgami po 0,3 ml raztopine in 6 injekcijskimi iglami 27G1/2",raztopina za injiciranje,B03XA01,Roche Registration GmbH,Potekajoèa motnja v preskrbi,5,shortage,2026-03-14T16:09:12.448830
SI,Slovenia,CBZ,Hyalgan,Hyalgan 20 mg/2 ml raztopina za injiciranje,acidum hyaluronicum,,škatla z 1 vialo z 2 ml raztopine za injiciranje,raztopina za injiciranje,M09AX01,Fidia Farmaceutici S.p.A.,Napovedano zaèasno prenehanje opravljanja prometa,4,upcoming,2026-03-14T16:09:12.448830
SI,Slovenia,CBZ,BELOSALIC,"BELOSALIC 0,5 mg / 20 mg v 1 g dermalna raztopina",betamethasonum,,škatla s plastenko s 50 ml raztopine,dermalna raztopina,D07XC01,"BELUPO, d.o.o., Ljubljana",Potekajoèe zaèasno prenehanje opravljanja prometa,6,shortage,2026-03-14T16:09:12.448830
SI,Slovenia,CBZ,Synflorix,Synflorix suspenzija za injiciranje v napolnjeni injekcijski brizgi,vaccinum pneumococcale antigenis polysaccharidicus purificat ificatis cum vaccinam influenzae coniugatum,,1 napolnjena injekcijska brizga in 1 igla,suspenzija za injiciranje v napolnjeni injekcijski brizgi,J07AL52,GlaxoSmithKline Biologicals S.A.,Potekajoèe zaèasno prenehanje opravljanja prometa,6,shortage,2026-03-14T16:09:12.449833
