file,substance,atc_code
CA_HPSC_shortage_2026-03-13.csv,MARCAINE E,
CA_HPSC_shortage_2026-03-13.csv,MYLAN-LOVASTATIN,
CA_HPSC_shortage_2026-03-13.csv,CYCLOCORT,
CA_HPSC_shortage_2026-03-13.csv,NUCYNTA IR,
CA_HPSC_shortage_2026-03-13.csv,ACYCLOVIR SODIUM INJECTION,
CA_HPSC_shortage_2026-03-13.csv,TRISENOX,
CA_HPSC_shortage_2026-03-13.csv,EMO CORT LOTION 2.5%,
CA_HPSC_shortage_2026-03-13.csv,THALOMID,
CA_HPSC_shortage_2026-03-13.csv,KINEVAC,
CA_HPSC_shortage_2026-03-13.csv,AMERGE,
CA_HPSC_shortage_2026-03-13.csv,MYLAN-ALENDRONATE,
CA_HPSC_shortage_2026-03-13.csv,ZESTORETIC,
CA_HPSC_shortage_2026-03-13.csv,VALISONE-G CREAM,
CA_HPSC_shortage_2026-03-13.csv,JAMP-CHOLESTYRAMINE,
CA_HPSC_shortage_2026-03-13.csv,YOHIMBINE HYDROCHLORIDE TAB 2MG,
CA_HPSC_shortage_2026-03-13.csv,PROZAC CAPSULES 20MG,
CA_HPSC_shortage_2026-03-13.csv,CANCIDAS,
CA_HPSC_shortage_2026-03-13.csv,"POTASSIUM PHOSPHATES INJECTION, USP",
CA_HPSC_shortage_2026-03-13.csv,APO-VALACYCLOVIR,
CA_HPSC_shortage_2026-03-13.csv,SEBIVO,
CA_HPSC_shortage_2026-03-13.csv,SYNAGIS,
CA_HPSC_shortage_2026-03-13.csv,LOCACORTEN VIOFORM,
CA_HPSC_shortage_2026-03-13.csv,SYNJARDY,
CA_HPSC_shortage_2026-03-13.csv,DUVOID TABLETS 10 MG,
CA_HPSC_shortage_2026-03-13.csv,SYNPHASIC 21 TABLETS,
CA_HPSC_shortage_2026-03-13.csv,TEGRETOL - SUS 100MG/5ML,
CA_HPSC_shortage_2026-03-13.csv,AA-MEDROXY,
CA_HPSC_shortage_2026-03-13.csv,APO-LEVOCARB - TAB 25MG/250MG,
CA_HPSC_shortage_2026-03-13.csv,APO-BILASTINE TABLETS,
CA_HPSC_shortage_2026-03-13.csv,PRO-VALACYCLOVIR,
CA_HPSC_shortage_2026-03-13.csv,RATIO-DOCUSATE SODIUM,
CA_HPSC_shortage_2026-03-13.csv,TENOXICAM TABLETS,
CA_HPSC_shortage_2026-03-13.csv,TRANDATE,
CA_HPSC_shortage_2026-03-13.csv,HUMIRA VIAL,
CA_HPSC_shortage_2026-03-13.csv,XARELTO,
CA_HPSC_shortage_2026-03-13.csv,PULMICORT TURBUHALER,
CA_HPSC_shortage_2026-03-13.csv,ACID CONCENTRATE D12272,
CA_HPSC_shortage_2026-03-13.csv,TRI-CIRA 21,
CA_HPSC_shortage_2026-03-13.csv,EES-200,
CA_HPSC_shortage_2026-03-13.csv,MOVIPREP,
CA_HPSC_shortage_2026-03-13.csv,OLIMEL 4.4% E,
CA_HPSC_shortage_2026-03-13.csv,ALTACE,
CA_HPSC_shortage_2026-03-13.csv,SELAX SYR 20MG/5ML USP,
CA_HPSC_shortage_2026-03-13.csv,RESTASIS,
CA_HPSC_shortage_2026-03-13.csv,MENVEO,
CA_HPSC_shortage_2026-03-13.csv,ALIMTA,
CA_HPSC_shortage_2026-03-13.csv,MOVAPO,
CA_HPSC_shortage_2026-03-13.csv,APO-LEVOBUNOLOL OPHTHALMIC SOLUTION USP 0.25%,
CA_HPSC_shortage_2026-03-13.csv,IOPIDINE OPH SOL 1%,
CA_HPSC_shortage_2026-03-13.csv,MYLAN-DIVALPROEX,
CA_HPSC_shortage_2026-03-13.csv,APO-LEVOFLOXACIN,
CA_HPSC_shortage_2026-03-13.csv,FLONASE - AEM-SUS NAS  50MCG/MD,
CA_HPSC_shortage_2026-03-13.csv,ZYVOXAM 600 MG,
CA_HPSC_shortage_2026-03-13.csv,DEXILANT,
CA_HPSC_shortage_2026-03-13.csv,AIROMIR,
CA_HPSC_shortage_2026-03-13.csv,GLYBURIDE,
CA_HPSC_shortage_2026-03-13.csv,EZETROL,
CA_HPSC_shortage_2026-03-13.csv,ACID CONCENTRATE 2139,
CA_HPSC_shortage_2026-03-13.csv,TOUJEO SOLOSTAR,
CA_HPSC_shortage_2026-03-13.csv,EXELON,
CA_HPSC_shortage_2026-03-13.csv,INDIUM (111IN) OXINE SOLUTION,
CA_HPSC_shortage_2026-03-13.csv,TEVA-EZETIMIBE,
CA_HPSC_shortage_2026-03-13.csv,MYOZYME,
CA_HPSC_shortage_2026-03-13.csv,DILANTIN-30 SUSPENSION,
CA_HPSC_shortage_2026-03-13.csv,NXSTAGE PUREFLOW SOLUTION RFP-209-CAN,
CA_HPSC_shortage_2026-03-13.csv,ODAN BALANCED SALT SOLUTION,
CA_HPSC_shortage_2026-03-13.csv,SYLVANT,
CA_HPSC_shortage_2026-03-13.csv,RIVOTRIL,
CA_HPSC_shortage_2026-03-13.csv,VPI-BENZTROPINE,
CA_HPSC_shortage_2026-03-13.csv,LOCAMETZ,
CA_HPSC_shortage_2026-03-13.csv,SANDOZ PROCTOMYXIN HC SUPPOSITORIES,
CA_HPSC_shortage_2026-03-13.csv,ZENHALE,
CA_HPSC_shortage_2026-03-13.csv,SIGNIFOR LAR,
CA_HPSC_shortage_2026-03-13.csv,XYLOCAINE ENDOTRACHEAL,
