country_code,country_name,source,medicine_name,active_substance,strength,package_size,product_no,atc_code,authorisation_number,marketing_auth_holder,shortage_start,estimated_end,actual_end,status,reason,impact,scraped_at,prk
BE,Belgium,FAMHP,Colistineb 2 10*6 IE verneveloploss. (pdr.)/inj./inf. opl. (pdr.) i.v. flac. 10 x 2 10*6 IE,Colistimethate Sodium,,,2316438,J01XB01,BE272273,Teva GmbH,2026-10-12,2026-12-04,,unavailable,Toegenomen vraag,Invoer door de apotheker mogelijk,2026-09-21T13:13:20.995413,
BE,Belgium,FAMHP,Negaban 2 g inj./inf. opl. (pdr.) i.m./i.v. flac. 2 g,Temocillin,,,0076513,J01CA17,BE467733,Eumedica Pharmaceuticals GmbH,2026-10-04,2026-11-11,,unavailable,Vertraging in de productie,Onder evaluatie,2026-09-21T13:13:20.995444,
BE,Belgium,FAMHP,Lysanxia 15 mg/ml druppels opl. 20 ml,Prazepam,,,1271824,N05BA11,BE145844,Pfizer SA-NV,2026-09-30,2026-10-30,,unavailable,Vertraging in de productie,Eén of twee alternatieve verpakkingen beschikbaar,2026-09-21T13:13:20.995460,
BE,Belgium,FAMHP,Inderal 40 mg tabl. 100,Propranolol Hydrochloride,,,0048942,C07AA05,BE078881,Atnahs Pharma Netherlands B.V.,2026-09-30,2026-11-02,,unavailable,"Logistieke problemen (transport, douane, ...)",Eén of twee alternatieve verpakkingen beschikbaar,2026-09-21T13:13:20.995475,5711
BE,Belgium,FAMHP,Levophed 8 mg/4 ml inf. opl. (conc.) i.v. amp. 10 x 4 ml,Norepinephrine,,,0053744,C01CA03,BE043635,Hospira Benelux BV-SRL,2026-09-25,2027-06-01,,unavailable,Vertraging in de productie,Minstens drie alternatieve verpakkingen beschikbaar,2026-09-21T13:13:20.995491,
BE,Belgium,FAMHP,Nustendi 180 mg - 10 mg filmomh. tabl. 98,"Bempedoic Acid, Ezetimibe",,,4265138,C10BA10,EU/1/20/1424/005,Daiichi Sankyo Europe GmbH,2026-09-23,2026-10-09,,unavailable,Vertraging in de productie,In principe voldoende voorraad in omloop (korte duur),2026-09-21T13:13:20.995505,225932
BE,Belgium,FAMHP,Halcion 0.125 mg tabl. 10,Triazolam,,,0291955,N05CD05,BE281294,Pfizer SA-NV,2026-09-23,2026-10-09,,unavailable,Vertraging in de productie,In principe voldoende voorraad in omloop (korte duur),2026-09-21T13:13:20.995519,
BE,Belgium,FAMHP,Dostinex 0.5 mg tabl. 2,Cabergoline,,,1023050,G02CB03,BE159817,Pfizer SA-NV,2026-09-22,2026-11-13,,unavailable,Vertraging in de productie,Eén of twee alternatieve verpakkingen beschikbaar,2026-09-21T13:13:20.995531,37206
BE,Belgium,FAMHP,Aclasta 5 mg/100 ml inf. opl. i.v. flac. 100 ml,Zoledronic Acid ,,,2213114,M05BA08,EU/1/05/308/001,Sandoz Pharmaceuticals d.d.,2026-09-20,2026-11-15,,unavailable,Vertraging in de productie,Eén of twee alternatieve verpakkingen beschikbaar,2026-09-21T13:13:20.995543,79790
BE,Belgium,FAMHP,Aldara 5 % crème sachet 12 x 250 mg,Imiquimod,,,1429166,D06BB10,EU/1/98/080/001,Viatris Healthcare Ltd.,2026-09-18,2026-10-12,,unavailable,Hulpstof niet beschikbaar,In principe voldoende voorraad in omloop (korte duur),2026-09-21T13:13:20.995555,55050
BE,Belgium,FAMHP,Saizen 8 mg/ml inj. opl. s.c. patr. 5 x 1.5 ml (12 mg),Somatropin,,,4109161,H01AC01,BE540906,Merck SA-NV,2026-09-18,2026-11-06,,unavailable,Toegenomen vraag,Eén of twee alternatieve verpakkingen beschikbaar,2026-09-21T13:13:20.995567,
BE,Belgium,FAMHP,Dualkopt 20 mg/ml - 5 mg/ml oogdruppels opl. druppelfl. 10 ml,"Timolol, Dorzolamide",,,3260072,S01ED51,BE467404,Laboratoires Théa ,2026-09-17,2026-10-07,,unavailable,Vertraging in de productie,In principe voldoende voorraad in omloop (korte duur),2026-09-21T13:13:20.995580,213950
BE,Belgium,FAMHP,Adempas 1 mg filmomh. tabl. 42,Riociguat,,,3144094,C02KX05,EU/1/13/907/004,Bayer AG,2026-09-17,2026-10-16,,unavailable,Toegenomen vraag,In principe voldoende voorraad in omloop (korte duur),2026-09-21T13:13:20.995593,124672
BE,Belgium,FAMHP,Depo-Eligard 22.5 mg inj. opl. (pdr. + oplosm.) s.c. voorgev. spuit 22.5 mg,Leuprorelin,,,2224657,L02AE02,BE274023,Recordati Industria Chimica E Farmaceutica S.p.A.,2026-09-17,2026-09-30,,unavailable,Vertraging in de productie,Invoer door de firma mogelijk,2026-09-21T13:13:20.995605,78344
BE,Belgium,FAMHP,Steovit Forte Sinaasappel  1 000 mg - 880 IE bruistabl. 90 (6 x 15),"Calcium, Cholecalciferol",,,2401230,,BE269017,Orifarm Generics a.s.,2026-09-17,2027-03-19,,unavailable,Vertraging in de productie,Minstens drie alternatieve verpakkingen beschikbaar,2026-09-21T13:13:20.995618,
BE,Belgium,FAMHP,Daphne 2 mg - 0.035 mg omh. tabl. 13 x 21,"Ethinylestradiol, Cyproterone acetate",,,2394062,G03HB01,BE263751,Ceres Pharma SA-NV,2026-09-17,2026-11-02,,unavailable,Vertraging in de productie,Minstens drie alternatieve verpakkingen beschikbaar,2026-09-21T13:13:20.995631,25836
BE,Belgium,FAMHP,Milbemax voor kleine katten en kittens 4 mg - 10 mg filmomh. tabl. 2,"Praziquantel, Milbemycin Oxime",,,2675999,P54AB51,BE-V253163,Elanco GmbH,2026-09-17,2026-10-19,,unavailable,Toegenomen vraag,-,2026-09-21T13:13:20.995644,
BE,Belgium,FAMHP,Olmetec Plus 20 mg - 12.5 mg filmomh. tabl. 98,"Olmesartan Medoxomil, Hydrochlorothiazide",,,2338028,C09DA08,BE282746,Daiichi Sankyo Belgium SA-NV,2026-09-17,2026-10-30,,unavailable,Vertraging in de productie,Minstens drie alternatieve verpakkingen beschikbaar,2026-09-21T13:13:20.995658,80098
BE,Belgium,FAMHP,Clindamycine Fresenius Kabi 150 mg/ml inj. opl. i.m./i.v. amp. 10 x 2 ml,Clindamycin,,,2744753,J01FF01,BE345125,Fresenius Kabi SA-NV,2026-09-17,2027-01-10,,unavailable,Vertraging in de productie,Minstens drie alternatieve verpakkingen beschikbaar,2026-09-21T13:13:20.995671,4693
BE,Belgium,FAMHP,Alitretinoin Orifarm  30 mg zachte caps. 30,Alitretinoin ,,,5812607,D11AH04,BE664026,Orifarm Generics a.s.,2026-09-17,2026-10-08,,unavailable,Andere reden,In principe voldoende voorraad in omloop (korte duur),2026-09-21T13:13:20.995683,106690
BE,Belgium,FAMHP,Burinex 1 mg tabl. 30,Bumetanide,,,1414309,C03CA02,BE090404,Karo Healthcare AB,2026-09-16,2026-11-08,,unavailable,Vertraging in de vrijgave van het eindproduct,Aanpassing van de behandeling mogelijk,2026-09-21T13:13:20.995696,4219
BE,Belgium,FAMHP,Sumatriptan EG 50 mg tabl. 24,Sumatriptan,,,3123122,N02CC01,BE291575,EG SA-NV,2026-09-16,2026-10-30,,unavailable,Vertraging in de productie,Minstens drie alternatieve verpakkingen beschikbaar,2026-09-21T13:13:20.995709,41378
BE,Belgium,FAMHP,Certican 0.5 mg tabl. 60,Everolimus,,,2156271,L04AH02,BE266481,Novartis Pharma SA-NV,2026-09-16,2026-10-05,,unavailable,Vertraging in de productie,In principe voldoende voorraad in omloop (korte duur),2026-09-21T13:13:20.995722,
BE,Belgium,FAMHP,Ixiaro inj. susp. i.m./s.c. voorgev. spuit 0.5 ml,"Encephalitis Virus, Japanese, Inactivated ",,,2765469,J07BA02,EU/1/08/501/002,Valneva Austria GmbH,2026-09-15,2026-10-31,,unavailable,Andere reden,Invoer door de firma mogelijk (geneesmiddel binnenkort beschikbaar),2026-09-21T13:13:20.995736,139718
BE,Belgium,FAMHP,Onsior 6 mg tabl. 60,Robenacoxib,,,3120250,M01AH91,EU/2/08/089/003,Elanco GmbH,2026-09-15,2026-11-16,,unavailable,Vertraging in de productie,-,2026-09-21T13:13:20.995747,
BE,Belgium,FAMHP,Inprosub 25 mg inj. opl. i.m./s.c. flac. 7 x 1.12 ml,Progesterone,,,3137379,G03DA04,BE440903,IBSA Farmaceutici Italia S.r.l.,2026-09-15,2026-12-01,,unavailable,Toegenomen vraag,Invoer door de apotheker mogelijk,2026-09-21T13:13:20.995760,210595
BE,Belgium,FAMHP,Iomeron 400 mg/ml inj. opl. i.v. flac. 500 ml,Iodine,,,3587029,V08AB10,BE504977,Bracco Imaging Deutschland GmbH,2026-09-15,2026-10-01,,unavailable,Vertraging in de productie,In principe voldoende voorraad in omloop (korte duur),2026-09-21T13:13:20.995773,
BE,Belgium,FAMHP,Depakine Chrono 500 mg tabl. verl. afgifte 30,"Sodium Valproate, Valproic acid",,,3768330,N03AG01,BE532560,Sanofi Belgium SA-NV,2026-09-15,2026-10-12,,unavailable,Vertraging in de productie,In principe voldoende voorraad in omloop (korte duur),2026-09-21T13:13:20.995785,26905
