country_code,country_name,source,medicine_name,active_substance,active_substance_lt,strength,dosage_form,atc_code,product_no,marketing_auth_holder,status,scraped_at,prk
LT,Lithuania,VVKT,XANAX,Alprazolam,Alprazolamas,"0,5 mg",tabletės,N05BA12,LT/L/20/1456/001,UAB Lex ano,shortage,2026-07-23T11:41:58.341999,49581
LT,Lithuania,VVKT,Ampicilina,Ampicillin,Ampicilinas,1 g,milteliai injekciniam ar infuziniam tirpalui,J01CA01,LT/L/15/0328/001,UAB Eletis Medica,shortage,2026-07-23T11:41:58.342002,
LT,Lithuania,VVKT,SYNTOSTIGMIN,Neostigmine,Neostigmino metilsulfatas,"0,5 mg/ml",injekcinis tirpalas,N07AA01,LT/L/22/1704/003,UAB Niromed,shortage,2026-07-23T11:41:58.342005,53694
LT,Lithuania,VVKT,Dagrafors,Dapagliflozin,Dapagliflozinas,5 mg,plėvele dengtos tabletės,A10BK01,LT/1/23/5266/019,"KRKA, d.d., Novo mesto",shortage,2026-07-23T11:41:58.342008,104760
LT,Lithuania,VVKT,TELEXER,Dabigatran etexilate,Dabigatranas eteksilatas,110 mg,kietosios kapsulės,B01AE07,LT/1/22/5035/008,Gedeon Richter Plc,shortage,2026-07-23T11:41:58.342009,86991
LT,Lithuania,VVKT,Diphereline,Triptorelin,Triptorelinas,"11,25 mg",milteliai ir tirpiklis injekcinei suspensijai,L02AE04,LT/L/18/0762/001,UAB Limedika,shortage,2026-07-23T11:41:58.342012,77615
LT,Lithuania,VVKT,Ventolin,Salbutamol,Salbutamolis,100 µg/išpurškime,suslėgtoji įkvepiamoji suspensija,R03AC02,LT/L/23/1935/001,UAB Tojaris projektai,shortage,2026-07-23T11:41:58.342015,43281
LT,Lithuania,VVKT,Carzan HCT,Candesartan and diuretics,Kandesartano cileksetilas/Hidrochlorotiazidas,"16 mg/12,5 mg",tabletės,C09DA06,LT/L/22/1668/002,UAB Lex ano,shortage,2026-07-23T11:41:58.342018,56170
LT,Lithuania,VVKT,Dabigatran etexilate Viatris,Dabigatran etexilate,Dabigatranas eteksilatas,110 mg,kietosios kapsulės,B01AE07,LT/1/24/5359/004,Viatris Limited,shortage,2026-07-23T11:41:58.342020,86991
LT,Lithuania,VVKT,Carzan,Candesartan,Kandesartano cileksetilas,16 mg,tabletės,C09CA06,LT/L/22/1665/001,UAB Lex ano,shortage,2026-07-23T11:41:58.342021,48410
LT,Lithuania,VVKT,Edoxaban Teva,Edoxaban,Edoksabanas,60 mg,plėvele dengtos tabletės,B01AF03,LT/1/25/5708/007,Teva GmbH,shortage,2026-07-23T11:41:58.342023,128201
LT,Lithuania,VVKT,Sitagliptin GeneriNobel,Sitagliptin,Sitagliptinas,25 mg,plėvele dengtos tabletės,A10BH01,LT/1/25/5696/004,GeneriNobel GmbH,shortage,2026-07-23T11:41:58.342024,218103
LT,Lithuania,VVKT,Desmopressin Sumar,Desmopressin,Desmopresinas,120 µg,poliežuvinės tabletės,H01BA02,LT/1/23/5210/009,Sumar Pharma ehf,shortage,2026-07-23T11:41:58.342027,225436
LT,Lithuania,VVKT,Risperidone Grindeks,Risperidone,Risperidonas,"0,5 mg",plėvele dengtos tabletės,N05AX08,LT/1/23/5214/002,AS Grindeks,shortage,2026-07-23T11:41:58.342029,
LT,Lithuania,VVKT,Fivotta,Dapagliflozin,Dapagliflozinas,10 mg,plėvele dengtos tabletės,A10BK01,LT/1/26/6031/003,Gedeon Richter Plc,shortage,2026-07-23T11:41:58.342030,104779
LT,Lithuania,VVKT,Humulin R,Insulin (human),"Insulinas, žmogaus",100 TV/ml,injekcinis tirpalas užtaise,A10AB01,LT/L/26/3458/001,UAB Niromed,shortage,2026-07-23T11:41:58.342032,97330
