country_code,country_name,source,medicine_name,active_substance,dosage_form,strength,package_size,product_no,atc_code,marketing_auth_holder,shortage_start,estimated_end,status,reason,last_updated,reference_date,source_url,list_position,lp,scraped_at
PL,Poland,MZ,Menopur,Menotropinum,proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań,1200 IU FSH + 1200 IU LH,1 fiol. 2 ml proszku + 2 amp.-strzyk. 1 ml rozp. + 1 igła do rekonstytucji + 18 strzykawek,05909990812905,,,,,at_risk_of_shortage,Wykaz produktów zagrożonych brakiem dostępności (art. 37av Prawo farmaceutyczne); stan na 2026-09-09; Dz. Urz. Min. Zdrow. z 2026 r. poz. 63,2026-09-01,2026-09-09,https://dziennikmz.mz.gov.pl/GetActPdf.ashx?year=2026&book=0&position=63,63/2026,162,2026-09-22T14:31:52.459791
PL,Poland,MZ,Minirin Melt,Desmopressinum,liofilizat doustny,120 mcg,30 szt.,05909990068548,,,,,at_risk_of_shortage,Wykaz produktów zagrożonych brakiem dostępności (art. 37av Prawo farmaceutyczne); stan na 2026-09-09; Dz. Urz. Min. Zdrow. z 2026 r. poz. 63,2026-09-01,2026-09-09,https://dziennikmz.mz.gov.pl/GetActPdf.ashx?year=2026&book=0&position=63,63/2026,163,2026-09-22T14:31:52.459791
PL,Poland,MZ,Minirin Melt,Desmopressinum,liofilizat doustny,60 mcg,30 szt.,05909990068494,,,,,at_risk_of_shortage,Wykaz produktów zagrożonych brakiem dostępności (art. 37av Prawo farmaceutyczne); stan na 2026-09-09; Dz. Urz. Min. Zdrow. z 2026 r. poz. 63,2026-09-01,2026-09-09,https://dziennikmz.mz.gov.pl/GetActPdf.ashx?year=2026&book=0&position=63,63/2026,164,2026-09-22T14:31:52.459791
PL,Poland,MZ,Mixtard 30 Penfill,Insulinum humanum,zawiesina do wstrzykiwań,100 j.m./ml,5 wkładów 3 ml,05909990238323,,,,,at_risk_of_shortage,Wykaz produktów zagrożonych brakiem dostępności (art. 37av Prawo farmaceutyczne); stan na 2026-09-09; Dz. Urz. Min. Zdrow. z 2026 r. poz. 63,2026-09-01,2026-09-09,https://dziennikmz.mz.gov.pl/GetActPdf.ashx?year=2026&book=0&position=63,63/2026,165,2026-09-22T14:31:52.459791
PL,Poland,MZ,Mixtard 50 Penfill,Insulinum humanum,zawiesina do wstrzykiwań,100 j.m./ml,5 wkładów 3 ml,05909990348121,,,,,at_risk_of_shortage,Wykaz produktów zagrożonych brakiem dostępności (art. 37av Prawo farmaceutyczne); stan na 2026-09-09; Dz. Urz. Min. Zdrow. z 2026 r. poz. 63,2026-09-01,2026-09-09,https://dziennikmz.mz.gov.pl/GetActPdf.ashx?year=2026&book=0&position=63,63/2026,166,2026-09-22T14:31:52.459791
PL,Poland,MZ,Monoprost,Latanoprostum,"krople do oczu, roztwór w pojemniku jednodawkowym",50 mcg/ml,90 poj. 50 mcg / ml,05909991019709,,,,,at_risk_of_shortage,Wykaz produktów zagrożonych brakiem dostępności (art. 37av Prawo farmaceutyczne); stan na 2026-09-09; Dz. Urz. Min. Zdrow. z 2026 r. poz. 63,2026-09-01,2026-09-09,https://dziennikmz.mz.gov.pl/GetActPdf.ashx?year=2026&book=0&position=63,63/2026,167,2026-09-22T14:31:52.459791
PL,Poland,MZ,Monoprost,Latanoprostum,"krople do oczu, roztwór w pojemniku jednodawkowym",50 mcg/ml,30 poj. 50 mcg / ml,05909991019693,,,,,at_risk_of_shortage,Wykaz produktów zagrożonych brakiem dostępności (art. 37av Prawo farmaceutyczne); stan na 2026-09-09; Dz. Urz. Min. Zdrow. z 2026 r. poz. 63,2026-09-01,2026-09-09,https://dziennikmz.mz.gov.pl/GetActPdf.ashx?year=2026&book=0&position=63,63/2026,167,2026-09-22T14:31:52.459791
PL,Poland,MZ,MST Continus,Morphini sulfas,tabletki powlekane o zmodyfikowanym uwalnianiu,10 mg,60 tabl.,05909990476237,,,,,at_risk_of_shortage,Wykaz produktów zagrożonych brakiem dostępności (art. 37av Prawo farmaceutyczne); stan na 2026-09-09; Dz. Urz. Min. Zdrow. z 2026 r. poz. 63,2026-09-01,2026-09-09,https://dziennikmz.mz.gov.pl/GetActPdf.ashx?year=2026&book=0&position=63,63/2026,168,2026-09-22T14:31:52.459791
PL,Poland,MZ,MST Continus,Morphini sulfas,tabletki powlekane o zmodyfikowanym uwalnianiu,100 mg,60 tabl.,05909990476534,,,,,at_risk_of_shortage,Wykaz produktów zagrożonych brakiem dostępności (art. 37av Prawo farmaceutyczne); stan na 2026-09-09; Dz. Urz. Min. Zdrow. z 2026 r. poz. 63,2026-09-01,2026-09-09,https://dziennikmz.mz.gov.pl/GetActPdf.ashx?year=2026&book=0&position=63,63/2026,169,2026-09-22T14:31:52.459791
PL,Poland,MZ,MST Continus,Morphini sulfas,tabletki powlekane o zmodyfikowanym uwalnianiu,200 mg,60 tabl.,05909990476633,,,,,at_risk_of_shortage,Wykaz produktów zagrożonych brakiem dostępności (art. 37av Prawo farmaceutyczne); stan na 2026-09-09; Dz. Urz. Min. Zdrow. z 2026 r. poz. 63,2026-09-01,2026-09-09,https://dziennikmz.mz.gov.pl/GetActPdf.ashx?year=2026&book=0&position=63,63/2026,170,2026-09-22T14:31:52.459791
PL,Poland,MZ,MST Continus,Morphini sulfas,tabletki powlekane o zmodyfikowanym uwalnianiu,30 mg,60 tabl.,05909990476336,,,,,at_risk_of_shortage,Wykaz produktów zagrożonych brakiem dostępności (art. 37av Prawo farmaceutyczne); stan na 2026-09-09; Dz. Urz. Min. Zdrow. z 2026 r. poz. 63,2026-09-01,2026-09-09,https://dziennikmz.mz.gov.pl/GetActPdf.ashx?year=2026&book=0&position=63,63/2026,171,2026-09-22T14:31:52.459791
PL,Poland,MZ,MST Continus,Morphini sulfas,tabletki powlekane o zmodyfikowanym uwalnianiu,60 mg,60 tabl.,05909990476435,,,,,at_risk_of_shortage,Wykaz produktów zagrożonych brakiem dostępności (art. 37av Prawo farmaceutyczne); stan na 2026-09-09; Dz. Urz. Min. Zdrow. z 2026 r. poz. 63,2026-09-01,2026-09-09,https://dziennikmz.mz.gov.pl/GetActPdf.ashx?year=2026&book=0&position=63,63/2026,172,2026-09-22T14:31:52.459791
PL,Poland,MZ,Myditin,Pridinolum,tabletki,3 mg,20 tabl.,05909991431297,,,,,at_risk_of_shortage,Wykaz produktów zagrożonych brakiem dostępności (art. 37av Prawo farmaceutyczne); stan na 2026-09-09; Dz. Urz. Min. Zdrow. z 2026 r. poz. 63,2026-09-01,2026-09-09,https://dziennikmz.mz.gov.pl/GetActPdf.ashx?year=2026&book=0&position=63,63/2026,173,2026-09-22T14:31:52.459791
PL,Poland,MZ,Myditin,Pridinolum,tabletki,3 mg,50 tabl.,05907464420809,,,,,at_risk_of_shortage,Wykaz produktów zagrożonych brakiem dostępności (art. 37av Prawo farmaceutyczne); stan na 2026-09-09; Dz. Urz. Min. Zdrow. z 2026 r. poz. 63,2026-09-01,2026-09-09,https://dziennikmz.mz.gov.pl/GetActPdf.ashx?year=2026&book=0&position=63,63/2026,173,2026-09-22T14:31:52.459791
PL,Poland,MZ,Myocet liposomal,Doxorubicinum,"proszek, dyspersja i rozpuszczalnik do koncentratu do sporządzania dyspersji do infuzji",50 mg,2 zestawy po 3 fiolki,05909990213559,,,,,at_risk_of_shortage,Wykaz produktów zagrożonych brakiem dostępności (art. 37av Prawo farmaceutyczne); stan na 2026-09-09; Dz. Urz. Min. Zdrow. z 2026 r. poz. 63,2026-09-01,2026-09-09,https://dziennikmz.mz.gov.pl/GetActPdf.ashx?year=2026&book=0&position=63,63/2026,174,2026-09-22T14:31:52.459791
PL,Poland,MZ,Naklofen,Diclofenacum natricum,roztwór do wstrzykiwań,25 mg/ml,5 amp. 3 ml,05909990241910,,,,,at_risk_of_shortage,Wykaz produktów zagrożonych brakiem dostępności (art. 37av Prawo farmaceutyczne); stan na 2026-09-09; Dz. Urz. Min. Zdrow. z 2026 r. poz. 63,2026-09-01,2026-09-09,https://dziennikmz.mz.gov.pl/GetActPdf.ashx?year=2026&book=0&position=63,63/2026,175,2026-09-22T14:31:52.459791
PL,Poland,MZ,Neocate Junior (o smaku neutralnym),Dieta eliminacyjna mlekozastępcza,proszek,,400 g,05016533616170,,,,,at_risk_of_shortage,Wykaz produktów zagrożonych brakiem dostępności (art. 37av Prawo farmaceutyczne); stan na 2026-09-09; Dz. Urz. Min. Zdrow. z 2026 r. poz. 63,2026-09-01,2026-09-09,https://dziennikmz.mz.gov.pl/GetActPdf.ashx?year=2026&book=0&position=63,63/2026,176,2026-09-22T14:31:52.459791
PL,Poland,MZ,Neocate Junior (o smaku truskawkowym),Dieta eliminacyjna mlekozastępcza,proszek,,400 g,05016533649970,,,,,at_risk_of_shortage,Wykaz produktów zagrożonych brakiem dostępności (art. 37av Prawo farmaceutyczne); stan na 2026-09-09; Dz. Urz. Min. Zdrow. z 2026 r. poz. 63,2026-09-01,2026-09-09,https://dziennikmz.mz.gov.pl/GetActPdf.ashx?year=2026&book=0&position=63,63/2026,177,2026-09-22T14:31:52.459791
PL,Poland,MZ,Neocate Junior (o smaku waniliowym),Dieta eliminacyjna mlekozastępcza,proszek,,400 g,05016533649956,,,,,at_risk_of_shortage,Wykaz produktów zagrożonych brakiem dostępności (art. 37av Prawo farmaceutyczne); stan na 2026-09-09; Dz. Urz. Min. Zdrow. z 2026 r. poz. 63,2026-09-01,2026-09-09,https://dziennikmz.mz.gov.pl/GetActPdf.ashx?year=2026&book=0&position=63,63/2026,178,2026-09-22T14:31:52.459791
PL,Poland,MZ,Neocate LCP,Dieta eliminacyjna mlekozastępcza,proszek,,400 g,05016533646740,,,,,at_risk_of_shortage,Wykaz produktów zagrożonych brakiem dostępności (art. 37av Prawo farmaceutyczne); stan na 2026-09-09; Dz. Urz. Min. Zdrow. z 2026 r. poz. 63,2026-09-01,2026-09-09,https://dziennikmz.mz.gov.pl/GetActPdf.ashx?year=2026&book=0&position=63,63/2026,179,2026-09-22T14:31:52.459791
PL,Poland,MZ,Neocate Syneo,Dieta eliminacyjna mlekozastępcza,proszek,,400 g,05016533654677,,,,,at_risk_of_shortage,Wykaz produktów zagrożonych brakiem dostępności (art. 37av Prawo farmaceutyczne); stan na 2026-09-09; Dz. Urz. Min. Zdrow. z 2026 r. poz. 63,2026-09-01,2026-09-09,https://dziennikmz.mz.gov.pl/GetActPdf.ashx?year=2026&book=0&position=63,63/2026,180,2026-09-22T14:31:52.459791
PL,Poland,MZ,Nimesil,Nimesulidum,granulat do sporządzania zawiesiny doustnej,100 mg,30 sasz. 2 g,05909991040338,,,,,at_risk_of_shortage,Wykaz produktów zagrożonych brakiem dostępności (art. 37av Prawo farmaceutyczne); stan na 2026-09-09; Dz. Urz. Min. Zdrow. z 2026 r. poz. 63,2026-09-01,2026-09-09,https://dziennikmz.mz.gov.pl/GetActPdf.ashx?year=2026&book=0&position=63,63/2026,181,2026-09-22T14:31:52.459791
PL,Poland,MZ,NovoMix 30 Penfill,Insulinum aspartum,zawiesina do wstrzykiwań,100 j./ml,5 wkładów 3 ml,05909990879915,,,,,at_risk_of_shortage,Wykaz produktów zagrożonych brakiem dostępności (art. 37av Prawo farmaceutyczne); stan na 2026-09-09; Dz. Urz. Min. Zdrow. z 2026 r. poz. 63,2026-09-01,2026-09-09,https://dziennikmz.mz.gov.pl/GetActPdf.ashx?year=2026&book=0&position=63,63/2026,182,2026-09-22T14:31:52.459791
PL,Poland,MZ,NovoMix 50 Penfill,Insulinum aspartum,zawiesina do wstrzykiwań,100 j./ml,5 wkładów 3 ml,05909990614981,,,,,at_risk_of_shortage,Wykaz produktów zagrożonych brakiem dostępności (art. 37av Prawo farmaceutyczne); stan na 2026-09-09; Dz. Urz. Min. Zdrow. z 2026 r. poz. 63,2026-09-01,2026-09-09,https://dziennikmz.mz.gov.pl/GetActPdf.ashx?year=2026&book=0&position=63,63/2026,183,2026-09-22T14:31:52.459791
PL,Poland,MZ,NovoRapid,Insulinum aspartum,roztwór do wstrzykiwań,100 j./ml,1 fiol. 10 ml,05909991369668,,,,,at_risk_of_shortage,Wykaz produktów zagrożonych brakiem dostępności (art. 37av Prawo farmaceutyczne); stan na 2026-09-09; Dz. Urz. Min. Zdrow. z 2026 r. poz. 63,2026-09-01,2026-09-09,https://dziennikmz.mz.gov.pl/GetActPdf.ashx?year=2026&book=0&position=63,63/2026,184,2026-09-22T14:31:52.459791
PL,Poland,MZ,NovoRapid Penfill,Insulinum aspartum,roztwór do wstrzykiwań,100 j./ml,5 wkładów 3 ml,05909990451814,,,,,at_risk_of_shortage,Wykaz produktów zagrożonych brakiem dostępności (art. 37av Prawo farmaceutyczne); stan na 2026-09-09; Dz. Urz. Min. Zdrow. z 2026 r. poz. 63,2026-09-01,2026-09-09,https://dziennikmz.mz.gov.pl/GetActPdf.ashx?year=2026&book=0&position=63,63/2026,185,2026-09-22T14:31:52.459791
PL,Poland,MZ,Nutramigen 1 LGG Complete,Dieta eliminacyjna mlekozastępcza,proszek do sporządzania roztworu,,400 g,08712045038819,,,,,at_risk_of_shortage,Wykaz produktów zagrożonych brakiem dostępności (art. 37av Prawo farmaceutyczne); stan na 2026-09-09; Dz. Urz. Min. Zdrow. z 2026 r. poz. 63,2026-09-01,2026-09-09,https://dziennikmz.mz.gov.pl/GetActPdf.ashx?year=2026&book=0&position=63,63/2026,186,2026-09-22T14:31:52.459791
PL,Poland,MZ,Nutramigen 2 LGG Complete,Dieta eliminacyjna mlekozastępcza,proszek do sporządzania roztworu,,400 g,08712045038826,,,,,at_risk_of_shortage,Wykaz produktów zagrożonych brakiem dostępności (art. 37av Prawo farmaceutyczne); stan na 2026-09-09; Dz. Urz. Min. Zdrow. z 2026 r. poz. 63,2026-09-01,2026-09-09,https://dziennikmz.mz.gov.pl/GetActPdf.ashx?year=2026&book=0&position=63,63/2026,187,2026-09-22T14:31:52.459791
PL,Poland,MZ,Nutramigen 3 LGG Complete,Dieta eliminacyjna mlekozastępcza,proszek do sporządzania roztworu,,400 g,08712045038833,,,,,at_risk_of_shortage,Wykaz produktów zagrożonych brakiem dostępności (art. 37av Prawo farmaceutyczne); stan na 2026-09-09; Dz. Urz. Min. Zdrow. z 2026 r. poz. 63,2026-09-01,2026-09-09,https://dziennikmz.mz.gov.pl/GetActPdf.ashx?year=2026&book=0&position=63,63/2026,188,2026-09-22T14:31:52.459791
PL,Poland,MZ,Nutramigen PURAMINO,Dieta eliminacyjna mlekozastępcza,proszek do przygotowania roztworu doustnego,,400 g,08712045027554,,,,,at_risk_of_shortage,Wykaz produktów zagrożonych brakiem dostępności (art. 37av Prawo farmaceutyczne); stan na 2026-09-09; Dz. Urz. Min. Zdrow. z 2026 r. poz. 63,2026-09-01,2026-09-09,https://dziennikmz.mz.gov.pl/GetActPdf.ashx?year=2026&book=0&position=63,63/2026,189,2026-09-22T14:31:52.459791
PL,Poland,MZ,Nutramigen PURAMINO JUNIOR,Dieta eliminacyjna mlekozastępcza,proszek,,400 g,08712045037201,,,,,at_risk_of_shortage,Wykaz produktów zagrożonych brakiem dostępności (art. 37av Prawo farmaceutyczne); stan na 2026-09-09; Dz. Urz. Min. Zdrow. z 2026 r. poz. 63,2026-09-01,2026-09-09,https://dziennikmz.mz.gov.pl/GetActPdf.ashx?year=2026&book=0&position=63,63/2026,190,2026-09-22T14:31:52.459791
PL,Poland,MZ,Octagam 10%,Immunoglobulinum humanum normale ad usum intravenosum,roztwór do infuzji,100 mg/ml,1 butelka 50 ml,05909990763870,,,,,at_risk_of_shortage,Wykaz produktów zagrożonych brakiem dostępności (art. 37av Prawo farmaceutyczne); stan na 2026-09-09; Dz. Urz. Min. Zdrow. z 2026 r. poz. 63,2026-09-01,2026-09-09,https://dziennikmz.mz.gov.pl/GetActPdf.ashx?year=2026&book=0&position=63,63/2026,191,2026-09-22T14:31:52.459791
PL,Poland,MZ,Octagam 10%,Immunoglobulinum humanum normale ad usum intravenosum,roztwór do infuzji,100 mg/ml,1 butelka 100 ml,05909990763887,,,,,at_risk_of_shortage,Wykaz produktów zagrożonych brakiem dostępności (art. 37av Prawo farmaceutyczne); stan na 2026-09-09; Dz. Urz. Min. Zdrow. z 2026 r. poz. 63,2026-09-01,2026-09-09,https://dziennikmz.mz.gov.pl/GetActPdf.ashx?year=2026&book=0&position=63,63/2026,191,2026-09-22T14:31:52.459791
PL,Poland,MZ,"Omnic Ocas 0,4",Tamsulosini hydrochloridum,tabletki powlekane o przedłużonym uwalnianiu,"0,4 mg",30 tabl.,05909990219070,,,,,at_risk_of_shortage,Wykaz produktów zagrożonych brakiem dostępności (art. 37av Prawo farmaceutyczne); stan na 2026-09-09; Dz. Urz. Min. Zdrow. z 2026 r. poz. 63,2026-09-01,2026-09-09,https://dziennikmz.mz.gov.pl/GetActPdf.ashx?year=2026&book=0&position=63,63/2026,192,2026-09-22T14:31:52.459791
