country_code,country_name,source,medicine_name,active_substance,strength,package_size,product_no,atc_code,authorisation_number,marketing_auth_holder,shortage_start,estimated_end,actual_end,status,reason,impact,scraped_at
BE,Belgium,FAMHP,Wilfactin 1 000 IE/10 ml inj. opl. (pdr. + oplosm.) i.v. flac. 1000 IE + 10 ml,Human Factor von Willebrand ,,,2339612,B02BD10 Von Willebrand Factor,BE278327,LFB BIOMEDICAMENTS S.A.,2026-02-09,2026-05-04,,unavailable,Vertraging in de productie,Onder evaluatie,2026-03-12T15:52:43.506580
BE,Belgium,FAMHP,Citalopram Sandoz 20 mg filmomh. tabl. 250,Citalopram,,,3263415,N06AB04 Citalopram,BE363054,Sandoz SA-NV,2026-02-09,2026-03-27,,unavailable,Andere reden,Minstens drie alternatieve verpakkingen beschikbaar,2026-03-12T15:52:43.506580
BE,Belgium,FAMHP,Dabigatran Etexilate Viatris 110 mg harde caps. 180,Dabigatran Etexilate ,,,4789525,B01AE07 Dabigatran Etexilate,BE662514,Viatris GX BV-SRL,2026-02-09,2026-05-18,,unavailable,Werkzaam bestanddeel niet beschikbaar,Minstens drie alternatieve verpakkingen beschikbaar,2026-03-12T15:52:43.506580
BE,Belgium,FAMHP,Duloxetine EG 30 mg harde maagsapresist. caps. 28,Duloxetine,,,3337334,N06AX21 Duloxetine,BE475182,EG SA-NV,2026-02-07,2026-06-01,,unavailable,Andere reden,Minstens drie alternatieve verpakkingen beschikbaar,2026-03-12T15:52:43.506580
BE,Belgium,FAMHP,Rivaroxaban Viatris 10 mg filmomh. tabl. 98,Rivaroxaban,,,4791414,B01AF01 Rivaroxaban,EU/1/21/1588/024,Viatris Ltd.,2026-02-06,2026-06-08,,unavailable,Vertraging in de productie,Minstens drie alternatieve verpakkingen beschikbaar,2026-03-12T15:52:43.506580
BE,Belgium,FAMHP,Escitalopram Sandoz 5 mg filmomh. tabl. 56,Escitalopram,,,3046158,N06AB10 Escitalopram,BE423062,Sandoz SA-NV,2026-02-06,2026-04-24,,unavailable,Toegenomen vraag,Minstens drie alternatieve verpakkingen beschikbaar,2026-03-12T15:52:43.506580
BE,Belgium,FAMHP,Solian 400 mg (Orifarm) filmomh. tabl. 60,Amisulpride ,,,4791661,N05AL05 Amisulpride,2444PI0095F003,Orifarm a.s.,2026-02-06,2026-04-30,,unavailable,Andere reden,Minstens drie alternatieve verpakkingen beschikbaar,2026-03-12T15:52:43.506580
BE,Belgium,FAMHP,Duloxetine Teva 30 mg harde maagsapresist. caps. 100,Duloxetine,,,4169736,N06AX21 Duloxetine,BE545093,Teva B.V.,2026-02-05,2026-07-20,,unavailable,Vertraging in de productie,Minstens drie alternatieve verpakkingen beschikbaar,2026-03-12T15:52:43.506580
BE,Belgium,FAMHP,Actrapid 100 IE/ml inj. opl. i.v./s.c. flac. 10 ml,"Insulin Human, Biosynthetic, Conversion",,,0245399,A10AB01 Insulin (Human),EU/1/02/230/003,Novo Nordisk a.s.,2026-02-04,2026-04-09,,unavailable,Toegenomen vraag,Eén of twee alternatieve verpakkingen beschikbaar,2026-03-12T15:52:43.506580
BE,Belgium,FAMHP,Omeprazol Sandoz 20 mg harde caps. 14,Omeprazole,,,1724772,A02BC01 Omeprazole,BE297324,Sandoz SA-NV,2026-02-04,2026-04-03,,unavailable,Toegenomen vraag,Minstens drie alternatieve verpakkingen beschikbaar,2026-03-12T15:52:43.506580
BE,Belgium,FAMHP,Pluset inj. opl. (pdr. + oplosm.) i.m. flac. 1 (500 IU - 500 IU),"Porcine follicle stimulant hormone, Porcine luteinizing hormone",,,2582427,"QG03GA99 Gonadotropins, combinations",BE-V319724,Laboratorios Calier S.A.,2026-02-04,2026-04-01,,unavailable,Vertraging in de productie,-,2026-03-12T15:52:43.506580
BE,Belgium,FAMHP,Co-Ramipril Sandoz 5 mg - 25 mg tabl. 100,"Ramipril, Hydrochlorothiazide",,,2318525,C09BA05 Ramipril and Diuretics,BE280384,Sandoz SA-NV,2026-02-03,2026-03-27,,unavailable,Toegenomen vraag,Eén of twee alternatieve verpakkingen beschikbaar,2026-03-12T15:52:43.506580
BE,Belgium,FAMHP,Memantine Sandoz 20 mg filmomh. tabl. 98,Memantine,,,3059987,N06DX01 Memantine,BE439171,Sandoz SA-NV,2026-02-03,2026-04-17,,unavailable,Vertraging in de productie,Eén of twee alternatieve verpakkingen beschikbaar,2026-03-12T15:52:43.506580
BE,Belgium,FAMHP,Venlafaxin Retard Sandoz 150 mg harde caps. verl. afgifte 56,Venlafaxine,,,4263240,N06AX16 Venlafaxine,BE541146,Sandoz SA-NV,2026-02-03,2026-06-15,,unavailable,Vertraging in de productie,Minstens drie alternatieve verpakkingen beschikbaar,2026-03-12T15:52:43.506580
BE,Belgium,FAMHP,Esketamine Kalceks 25 mg/ml inj./inf. opl. i.m./i.v. amp. 10 x 2 ml,Esketamine,,,4770459,N01AX14 Esketamine,BE580053,Kalceks a.s.,2026-02-03,2026-04-15,,unavailable,Vertraging in de productie,Eén of twee alternatieve verpakkingen beschikbaar,2026-03-12T15:52:43.506580
BE,Belgium,FAMHP,Cefa-Safe 300 mg i.mamm. susp. voorgev. spuit 144 x 10 ml,Cefapirin,,,4481800,QJ51DB08 Cefapirin,BE-V596595,Intervet International B.V.,2026-02-02,2026-06-30,,unavailable,Andere reden,-,2026-03-12T15:52:43.506580
BE,Belgium,FAMHP,Nobilis ND Clone 30 oculonas. susp./susp. voor drinkwater (lyof.) 12 x 1000 doses,"Newcastle Disease Virus, Live, Strain Clone 30",,,4481644,QI01AD06 Newcastle Disease Virus / Paramyxovirus,BE-V590933,Intervet International B.V.,2026-02-02,2026-06-30,,unavailable,Andere reden,-,2026-03-12T15:52:43.506580
BE,Belgium,FAMHP,Nobilis Gumboro D78 oculonas. susp./susp. voor drinkwater (lyof.) 12 x 2500 doses,"Infectious Bursal Disease Virus, Inactivated, Strain D78",,,4493128,QI01AA01 Avian Infectious Bursal (Gumboro) Disease Virus,BE-V590826,Intervet International B.V.,2026-02-02,2026-12-31,,unavailable,Andere reden,-,2026-03-12T15:52:43.506580
BE,Belgium,FAMHP,Ezetimibe/Simvastatine Teva 10 mg - 10 mg tabl. 100,"Ezetimibe, Simvastatin",,,4279915,C10BA02 Simvastatin and Ezetimibe,BE525893,Teva GmbH,2026-02-02,2026-05-26,,unavailable,Vertraging in de productie,Minstens drie alternatieve verpakkingen beschikbaar,2026-03-12T15:52:43.506580
BE,Belgium,FAMHP,Helen 0.03 mg - 2 mg filmomh. tabl. 13 x 21,"Chlormadinone Acetate, Ethinylestradiol",,,2918472,"G03AA Progestogens and Estrogens, Fixed Combinations",BE400547,Ceres Pharma SA-NV,2026-02-02,2026-03-18,,unavailable,Vertraging in de productie,Minstens drie alternatieve verpakkingen beschikbaar,2026-03-12T15:52:43.506580
BE,Belgium,FAMHP,Olanzapine Sandoz 5 mg orodisp. tabl. 98,Olanzapine,,,2970069,N05AH03 Olanzapine,BE392874,Sandoz SA-NV,2026-02-02,2026-06-12,,unavailable,Toegenomen vraag,Minstens drie alternatieve verpakkingen beschikbaar,2026-03-12T15:52:43.506580
BE,Belgium,FAMHP,Avinew Fizz bruistabl. 10 (2000 doses),"Newcastle disease virus, VG/GA-AVINEW (live) ",,,4773610,QI01AD06 Newcastle Disease Virus / Paramyxovirus,BE-V661888,Boehringer Ingelheim Animal Health Belgium SA-NV,2026-02-02,2026-04-21,,unavailable,Andere reden,-,2026-03-12T15:52:43.506580
BE,Belgium,FAMHP,Kayexalate Sodium 14.99 g or./rect. susp. (pdr.) 450 g,Sodium Polystyrene Sulfonate,,,0052514,V03AE01 Polystyrene Sulfonate,BE043994,Sanofi Belgium SA-NV,2026-02-02,2026-04-13,,unavailable,Vertraging in de productie,Invoer door de firma mogelijk (geneesmiddel binnenkort beschikbaar),2026-03-12T15:52:43.506580
BE,Belgium,FAMHP,Dostinex 0.5 mg tabl. 2,Cabergoline,,,1023050,G02CB03 Cabergoline,BE159817,Pfizer SA-NV,2026-02-02,2026-04-30,,unavailable,Vertraging in de productie,Minstens drie alternatieve verpakkingen beschikbaar,2026-03-12T15:52:43.506580
BE,Belgium,FAMHP,Tilcotil 20 mg filmomh. tabl. 30,Tenoxicam,,,0054502,M01AC02 Tenoxicam,BE138555,Viatris Healthcare SA-NV,2026-02-02,2026-05-08,,unavailable,Vertraging in de productie,Aanpassing van de behandeling mogelijk,2026-03-12T15:52:43.506580
BE,Belgium,FAMHP,Hibidil 50 mg/100 ml cut. opl. amp. 240 x 15 ml,Chlorhexidine Digluconate,,,0291971,D08AC02 Chlorhexidine,BE118045,Mölnlycke Health Care AB SE AB,2026-02-01,2026-07-31,,unavailable,Andere reden,Aanpassing van de behandeling mogelijk,2026-03-12T15:52:43.506580
BE,Belgium,FAMHP,Ixchiq inj. opl. (pdr. + oplosm.) i.m. flac. + voorgev. spuit 1 dosis + 0.5 ml,"Chikungunya Virus, Strain delta5nsP3, Live, Attenuated ",,,4886487,,EU/1/24/1828/001,Valneva Austria GmbH,2026-02-01,2026-06-30,,unavailable,Andere reden,Invoer door de firma mogelijk,2026-03-12T15:52:43.506580
BE,Belgium,FAMHP,Motilium 10 mg filmomh. tabl. 30,Domperidone ,,,4354072,A03FA03 Domperidone,BE272167,Kenvue Belgium SA-NV,2026-02-01,2026-03-13,,unavailable,Toegenomen vraag,Minstens drie alternatieve verpakkingen beschikbaar,2026-03-12T15:52:43.506580
BE,Belgium,FAMHP,Sinutab Forte 500 mg - 60 mg tabl. 20,"Paracetamol, Pseudoephedrine Hydrochloride",,,1727395,"R01BA52 Pseudoephedrine, Combinations",BE240186,Kenvue Belgium SA-NV,2026-02-01,2026-03-13,,unavailable,Toegenomen vraag,Aanpassing van de behandeling mogelijk (niet-levensnoodzakelijk geneesmiddel),2026-03-12T15:52:43.506580
BE,Belgium,FAMHP,Biofenac 100 mg filmomh. tabl. 20,Aceclofenac,,,1264530,M01AB16 Aceclofenac,BE249584,Almirall S.A.,2026-01-30,2026-03-13,,unavailable,Toegenomen vraag,Aanpassing van de behandeling mogelijk,2026-03-12T15:52:43.506580
BE,Belgium,FAMHP,Inspra 50 mg filmomh. tabl. 90,Eplerenone,,,4131124,C03DA04 Eplerenone,BE270121,Viatris Healthcare SA-NV,2026-01-30,2026-04-02,,unavailable,Andere reden,Minstens drie alternatieve verpakkingen beschikbaar,2026-03-12T15:52:43.506580
BE,Belgium,FAMHP,Suvaxyn MH-One inj. emuls. i.m. 125 doses,"Mycoplasma Hyopneumoniae, Inactivated ",,,2925873,QI09AB13 Mycoplasma,BE-V325656,Zoetis Belgium SA-NV,2026-01-30,2026-04-30,,unavailable,Vertraging in de productie,-,2026-03-12T15:52:43.506580
BE,Belgium,FAMHP,Bisoprolol Viatris  2.5 mg filmomh. tabl. 30,Bisoprolol Fumarate ,,,3172152,C07AB07 Bisoprolol,BE384361,Viatris GX BV-SRL,2026-01-30,2026-05-20,,unavailable,Andere reden,Minstens drie alternatieve verpakkingen beschikbaar,2026-03-12T15:52:43.506580
BE,Belgium,FAMHP,Olanzapine EG 5 mg filmomh. tabl. 98,Olanzapine,,,2805257,N05AH03 Olanzapine,BE362607,EG SA-NV,2026-01-30,2026-05-08,,unavailable,Vertraging in de productie,Minstens drie alternatieve verpakkingen beschikbaar,2026-03-12T15:52:43.508711
BE,Belgium,FAMHP,Quetiapin Sandoz 100 mg filmomh. tabl. 180,Quetiapine,,,2963460,N05AH04 Quetiapine,BE352651,Sandoz SA-NV,2026-01-30,2026-04-03,,unavailable,Toegenomen vraag,Minstens drie alternatieve verpakkingen beschikbaar,2026-03-12T15:52:43.508711
BE,Belgium,FAMHP,Ticagrelor Sandoz 90 mg filmomh. tabl. 168,Ticagrelor,,,4898342,B01AC24 Ticagrelor,BE579706,Sandoz SA-NV,2026-01-30,2026-03-13,,unavailable,Vertraging in de productie,Minstens drie alternatieve verpakkingen beschikbaar,2026-03-12T15:52:43.508711
BE,Belgium,FAMHP,Eydenzelt 40 mg/ml inj. opl. i.vitr. flac. 0.1 ml,Aflibercept ,,,4932976,S01LA05 Aflibercept,EU/1/24/1895/002,Celltrion Healthcare Hungary Kft.,2026-01-30,2026-03-15,,unavailable,Octrooibetwisting,Eén of twee alternatieve verpakkingen beschikbaar,2026-03-12T15:52:43.508711
BE,Belgium,FAMHP,Xenetix 300 300 mg I/ml inj. opl. i.v. flac. 100 ml,Iobitridol,,,1294602,V08AB11 Iobitridol,BE176041,Guerbet ,2026-01-30,2026-03-20,,unavailable,Vertraging in de productie,Eén of twee alternatieve verpakkingen beschikbaar,2026-03-12T15:52:43.508711
BE,Belgium,FAMHP,Rispoval IBR-Marker Vivum inj. susp. (lyof. + oplosm.) i.m. flac. 10 doses + 20 ml,"Bovine Herpes Virus 1 (live), gE negative",,,2224541,QI02AH Live and Inactivated Viral Vaccines,BE-V171516,Zoetis Belgium SA-NV,2026-01-30,2026-06-30,,unavailable,Vertraging in de productie,-,2026-03-12T15:52:43.508711
BE,Belgium,FAMHP,Holoxan 1 g inj. opl. (pdr.) i.v. flac. 10 x 1000 mg,Ifosfamide,,,0098202,L01AA06 Ifosfamide,BE117451,Baxter SA-NV,2026-01-28,2026-12-31,,unavailable,Vertraging in de vrijgave van het eindproduct,Andere maatregelen op basis van aanbevelingen van experten,2026-03-12T15:52:43.508711
BE,Belgium,FAMHP,Quetiapine Viatris 25 mg filmomh. tabl. 250,Quetiapine,,,4182465,N05AH04 Quetiapine,BE394791,Viatris GX BV-SRL,2026-01-28,2026-04-08,,unavailable,Vertraging in de productie,Minstens drie alternatieve verpakkingen beschikbaar,2026-03-12T15:52:43.509263
BE,Belgium,FAMHP,Constella 290 µg harde caps. 28,Linaclotide ,,,3096922,A06AX04 Linaclotide,EU/1/12/801/002,AbbVie Deutschland GmbH & Co. KG,2026-01-27,2026-03-13,,unavailable,Vertraging in de productie,Invoer door de apotheker mogelijk,2026-03-12T15:52:43.509263
BE,Belgium,FAMHP,Levosert 20 µg/24 h i.uter. afleveringssysteem sachet 1,Levonorgestrel,,,3114121,G02BA03 Plastic IUD with Progestogen,BE446586,Ceres Pharma SA-NV,2026-01-27,2026-03-14,,unavailable,Vertraging in de productie,Minstens drie alternatieve verpakkingen beschikbaar,2026-03-12T15:52:43.509263
BE,Belgium,FAMHP,Clopidogrel (HCl) Sandoz 75 mg filmomh. tabl. 28,Clopidogrel,,,2633444,B01AC04 Clopidogrel,BE345152,Sandoz SA-NV,2026-01-27,2026-03-20,,unavailable,Toegenomen vraag,Minstens drie alternatieve verpakkingen beschikbaar,2026-03-12T15:52:43.509263
BE,Belgium,FAMHP,Ketesse 50 mg/2 ml inj./inf. opl. i.m./i.v. amp. 5 x 2 ml,Dexketoprofen,,,4186680,M01AE17 Dexketoprofen,BE254405,Menarini International Operations Luxembourg S.A.,2026-01-27,2026-05-27,,unavailable,Andere reden,Aanpassing van de behandeling mogelijk,2026-03-12T15:52:43.509263
BE,Belgium,FAMHP,Colivet SF 500 500 000 IE/ml inj. opl. i.m. flac. 100 ml,Colistin Sulfate,,,3444395,QJ01XB01 Colistin,BE-V496577,Prodivet Pharmaceuticals SA-NV,2026-01-27,2026-04-03,,unavailable,Vertraging in de productie,-,2026-03-12T15:52:43.509263
BE,Belgium,FAMHP,Duloxetine Krka 60 mg harde maagsapresist. caps. 100,Duloxetine,,,3315405,N06AX21 Duloxetine,BE471644,KRKA d.d. Novo mesto d.d.,2026-01-27,2026-06-26,,unavailable,Vertraging in de productie,Onder evaluatie,2026-03-12T15:52:43.509263
BE,Belgium,FAMHP,"Bendamustine Accord 2.5 mg/ml inf. opl. (pdr., conc.) i.v. flac. 5 x 100 mg",Bendamustine Hydrochloride,,,3397106,L01AA09 Bendamustine,BE484924,Accord Healthcare B.V.,2026-01-26,2026-04-16,,unavailable,Vertraging in de productie,Eén of twee alternatieve verpakkingen beschikbaar,2026-03-12T15:52:43.509263
BE,Belgium,FAMHP,Paracetamol AB 1 000 mg tabl. 100,Paracetamol ,,,4282356,N02BE01 Paracetamol,BE525653,Aurobindo SA-NV,2026-01-26,2026-03-31,,unavailable,Andere reden,Minstens drie alternatieve verpakkingen beschikbaar,2026-03-12T15:52:43.509263
BE,Belgium,FAMHP,Etoricoxib AB 60 mg filmomh. tabl. 28,Etoricoxib,,,4117818,M01AH05 Etoricoxib,BE506782,Aurobindo SA-NV,2026-01-26,2026-04-30,,unavailable,Andere reden,Minstens drie alternatieve verpakkingen beschikbaar,2026-03-12T15:52:43.509774
BE,Belgium,FAMHP,Etoricoxib AB 90 mg filmomh. tabl. 98,Etoricoxib,,,4117859,M01AH05 Etoricoxib,BE506791,Aurobindo SA-NV,2026-01-26,2026-04-30,,unavailable,Andere reden,Minstens drie alternatieve verpakkingen beschikbaar,2026-03-12T15:52:43.509774
BE,Belgium,FAMHP,Etoricoxib AB 90 mg filmomh. tabl. 28,Etoricoxib,,,4117842,M01AH05 Etoricoxib,BE506791,Aurobindo SA-NV,2026-01-26,2026-04-30,,unavailable,Andere reden,Minstens drie alternatieve verpakkingen beschikbaar,2026-03-12T15:52:43.509774
BE,Belgium,FAMHP,Olmesartan AB 10 mg filmomh. tabl. 98,Olmesartan Medoxomil,,,4497400,C09CA08 Olmesartan Medoxomil,BE595431,Aurobindo SA-NV,2026-01-26,2026-03-31,,unavailable,Andere reden,Minstens drie alternatieve verpakkingen beschikbaar,2026-03-12T15:52:43.509774
BE,Belgium,FAMHP,Sumatriptan Viatris  50 mg filmomh. tabl. 24,Sumatriptan,,,2308195,N02CC01 Sumatriptan,BE281732,Viatris GX BV-SRL,2026-01-26,2026-03-18,,unavailable,Andere reden,Minstens drie alternatieve verpakkingen beschikbaar,2026-03-12T15:52:43.509774
BE,Belgium,FAMHP,Gabapentine Sandoz 400 mg harde caps. 100,Gabapentin,,,2215705,N03AX12 Gabapentin,BE340654,Sandoz SA-NV,2026-01-26,2026-04-03,,unavailable,Toegenomen vraag,Eén of twee alternatieve verpakkingen beschikbaar,2026-03-12T15:52:43.509774
BE,Belgium,FAMHP,Seroquel XR 400 mg (Orifarm) tabl. verl. afgifte 100,Quetiapine ,,,4996518,N05AH04 Quetiapine,2444PI0199F003,Orifarm a.s.,2026-01-26,2026-03-31,,unavailable,Andere reden,Minstens drie alternatieve verpakkingen beschikbaar,2026-03-12T15:52:43.509774
BE,Belgium,FAMHP,Metformine Viatris 500 mg filmomh. tabl. 60,Metformin,,,1539238,A10BA02 Metformin,BE360787,Viatris GX BV-SRL,2026-01-23,2026-04-20,,unavailable,Vertraging in de productie,Minstens drie alternatieve verpakkingen beschikbaar,2026-03-12T15:52:43.509774
BE,Belgium,FAMHP,Duloxetine EG 60 mg harde maagsapresist. caps. 98,Duloxetine,,,3337359,N06AX21 Duloxetine,BE475191,EG SA-NV,2026-01-23,2026-05-04,,unavailable,Andere reden,Onder evaluatie,2026-03-12T15:52:43.509774
BE,Belgium,FAMHP,Aceclofenac EG 100 mg filmomh. tabl. 20,Aceclofenac,,,3277605,M01AB16 Aceclofenac,BE468266,EG SA-NV,2026-01-23,2026-04-06,,unavailable,Vertraging in de productie,Aanpassing van de behandeling mogelijk,2026-03-12T15:52:43.510330
BE,Belgium,FAMHP,Valproate Desitin  100 mg/ml inj. opl. i.v. amp. 5 x 10 ml,Sodium Valproate,,,2363588,N03AG01 Valproic Acid,BE229153,Desitin Arzneimittel GmbH,2026-01-22,2026-12-31,,unavailable,Vertraging in de productie,Eén of twee alternatieve verpakkingen beschikbaar,2026-03-12T15:52:43.510330
BE,Belgium,FAMHP,Alprazolam Sandoz 1 mg tabl. 20,Alprazolam,,,3550605,N05BA12 Alprazolam,BE242821,Sandoz SA-NV,2026-01-21,2026-03-20,,unavailable,Andere reden,Minstens drie alternatieve verpakkingen beschikbaar,2026-03-12T15:52:43.510330
BE,Belgium,FAMHP,Bisoprolol Sandoz 2.5 mg filmomh. tabl. 30,Bisoprolol Fumarate,,,2585552,C07AB07 Bisoprolol,BE327354,Sandoz SA-NV,2026-01-21,2026-05-22,,unavailable,Toegenomen vraag,Minstens drie alternatieve verpakkingen beschikbaar,2026-03-12T15:52:43.510330
BE,Belgium,FAMHP,Zolmitriptan Instant EG 2.5 mg orodisp. tabl. 24 x 1,Zolmitriptan,,,2888949,N02CC03 Zolmitriptan,BE372355,EG SA-NV,2026-01-21,2026-06-02,,unavailable,Vertraging in de productie,Aanpassing van de behandeling mogelijk,2026-03-12T15:52:43.510330
BE,Belgium,FAMHP,Aceclofenac EG 100 mg filmomh. tabl. 60,Aceclofenac,,,3277613,M01AB16 Aceclofenac,BE468266,EG SA-NV,2026-01-21,2026-04-06,,unavailable,Vertraging in de productie,Aanpassing van de behandeling mogelijk,2026-03-12T15:52:43.510330
BE,Belgium,FAMHP,Diazepam Eurogenerics 5 mg tabl. 60,Diazepam,,,4433835,N05BA01 Diazepam,BE590151,EG SA-NV,2026-01-21,2026-03-15,,unavailable,Vertraging in de productie,Minstens drie alternatieve verpakkingen beschikbaar,2026-03-12T15:52:43.510330
BE,Belgium,FAMHP,Zolsketil Pegylated Liposomal 2 mg/ml inf. disp. (conc.) i.v. flac. 10 ml,Doxorubicin Hydrochloride,,,4578753,L01DB01 Doxorubicin,EU/1/22/1629/001,Accord Healthcare S.L.U.,2026-01-20,2026-03-31,,unavailable,Vertraging in de productie,Eén of twee alternatieve verpakkingen beschikbaar,2026-03-12T15:52:43.510330
BE,Belgium,FAMHP,Rosuvastatine Viatris 20 mg filmomh. tabl. 28,Rosuvastatin,,,3641057,C10AA07 Rosuvastatin,BE509271,Viatris GX BV-SRL,2026-01-20,2026-06-29,,unavailable,Andere reden,Minstens drie alternatieve verpakkingen beschikbaar,2026-03-12T15:52:43.510330
BE,Belgium,FAMHP,Escitalopram Viatris 20 mg filmomh. tabl. 100,Escitalopram,,,3705787,N06AB10 Escitalopram,BE489937,Viatris GX BV-SRL,2026-01-19,2026-06-01,,unavailable,Andere reden,Minstens drie alternatieve verpakkingen beschikbaar,2026-03-12T15:52:43.510330
BE,Belgium,FAMHP,Synulox LC i.mamm. susp. voorgev. spuit 12 x 3 g,"Clavulanic Acid , Prednisolone , Amoxicillin ",,,3769486,QJ51RV01 Antibacterials and Corticosteroids,BE-V512755,Zoetis Belgium SA-NV,2026-01-17,2026-06-01,,unavailable,Vertraging in de productie,-,2026-03-12T15:52:43.510330
BE,Belgium,FAMHP,Rosuvastatine Viatris 10 mg filmomh. tabl. 28,Rosuvastatin,,,3641032,C10AA07 Rosuvastatin,BE509253,Viatris GX BV-SRL,2026-01-16,2026-06-29,,unavailable,Andere reden,Minstens drie alternatieve verpakkingen beschikbaar,2026-03-12T15:52:43.510872
BE,Belgium,FAMHP,Pravastatine Viatris  20 mg tabl. 28,Pravastatin Sodium,,,2440535,C10AA03 Pravastatin,BE373222,Viatris GX BV-SRL,2026-01-16,2026-08-26,,unavailable,Andere reden,Minstens drie alternatieve verpakkingen beschikbaar,2026-03-12T15:52:43.510872
BE,Belgium,FAMHP,Timolatears 0.05 mg/ml - 5 mg/ml oogdruppels opl. druppelfl. 3 x 2.5 ml,"Timolol, Latanoprost",,,2999803,"S01ED51 Timolol, Combinations",BE422274,Substipharm ,2026-01-16,2026-04-15,,unavailable,Vertraging in de productie,Minstens drie alternatieve verpakkingen beschikbaar,2026-03-12T15:52:43.510872
BE,Belgium,FAMHP,Monofree Tropicamide 0.5 % oogdruppels opl. druppelfl. 20 x 0.4 ml UD,Tropicamide,,,1459957,S01FA06 Tropicamide,BE008005,Laboratoires Théa ,2026-01-16,2026-04-14,,unavailable,Vertraging in de productie,Invoer door de apotheker mogelijk,2026-03-12T15:52:43.510872
BE,Belgium,FAMHP,Megace 160 mg tabl. 30,Megestrol Acetate,,,1182591,L02AB01 Megestrol,BE139115,Bausch Health Ireland Ltd.,2026-01-15,2026-05-31,,unavailable,Vertraging in de productie,Invoer door de apotheker mogelijk,2026-03-12T15:52:43.510872
BE,Belgium,FAMHP,Olanzapine Sandoz 5 mg filmomh. tabl. 100,Olanzapine,,,3269255,N05AH03 Olanzapine,BE319584,Sandoz SA-NV,2026-01-15,2026-03-20,,unavailable,Toegenomen vraag,Minstens drie alternatieve verpakkingen beschikbaar,2026-03-12T15:52:43.510872
BE,Belgium,FAMHP,Ezetimibe/Simvastatine EG  10 mg - 40 mg tabl. 100,"Simvastatin, Ezetimibe",,,4486122,C10BA02 Simvastatin and Ezetimibe,BE505857,EG SA-NV,2026-01-14,2026-04-29,,unavailable,Vertraging in de productie,Minstens drie alternatieve verpakkingen beschikbaar,2026-03-12T15:52:43.510872
BE,Belgium,FAMHP,Ezetimibe/Simvastatine EG  10 mg - 20 mg tabl. 100,"Ezetimibe, Simvastatin",,,4486114,C10BA02 Simvastatin and Ezetimibe,BE505831,EG SA-NV,2026-01-14,2026-04-29,,unavailable,Vertraging in de productie,Minstens drie alternatieve verpakkingen beschikbaar,2026-03-12T15:52:43.510872
BE,Belgium,FAMHP,Vizilatan 50 µg/ml oogdruppels opl. druppelfl. 2.5 ml,Latanoprost,,,4216198,S01EE01 Latanoprost,BE567120,Bausch + Lomb Ireland ,2026-01-14,2026-05-01,,unavailable,Vertraging in de productie,Minstens drie alternatieve verpakkingen beschikbaar,2026-03-12T15:52:43.510872
BE,Belgium,FAMHP,Atomoxetine Arega  100 mg (Arega Pharma) harde caps. 28,Atomoxetine ,,,4702023,N06BA09 Atomoxetine,1972PI0006F004,Arega Pharma SA-NV,2026-01-14,2026-04-15,,unavailable,Vertraging in de productie,Aanpassing van de behandeling mogelijk,2026-03-12T15:52:43.510872
BE,Belgium,FAMHP,Versatis  700 mg (PI Pharma) pleister sachet 30 (700 mg/140 cm²),Lidocaine ,,,4309449,N01BB02 Lidocaine,1637PI0724F016,PI Pharma SA-NV,2026-01-13,2026-05-31,,unavailable,Andere reden,Eén of twee alternatieve verpakkingen beschikbaar,2026-03-12T15:52:43.511422
BE,Belgium,FAMHP,Hospaq 5 mg/ml - 0.5 mg/ml cut. opl. 250 ml,"Chlorhexidine Digluconate, Cetrimide",,,3531555,"D08AC52 Chlorhexidine, Combinations",BE499493,Laboratoria Qualiphar SA-NV,2026-01-13,2026-04-30,,unavailable,Andere reden,Aanpassing van de behandeling mogelijk,2026-03-12T15:52:43.511422
BE,Belgium,FAMHP,Tamsulosine Teva 0.4 mg (Impexeco) harde caps. geregul. afgifte 30,Tamsulosin Hydrochloride,,,3326055,G04CA02 Tamsulosin,1549PI0240F004,Impexeco SA-NV,2026-01-13,2026-06-30,,unavailable,Andere reden,Minstens drie alternatieve verpakkingen beschikbaar,2026-03-12T15:52:43.511422
BE,Belgium,FAMHP,Stilnoct 10 mg (PI Pharma) filmomh. tabl. 28,Zolpidem Hemitartrate,,,3021607,N05CF02 Zolpidem,1637PI0356F003,PI Pharma SA-NV,2026-01-13,2026-04-30,,unavailable,Andere reden,Minstens drie alternatieve verpakkingen beschikbaar,2026-03-12T15:52:43.511422
BE,Belgium,FAMHP,Omic Ocas 0.4 mg (PI Pharma) tabl. verl. afgifte 90,Tamsulosin Hydrochloride,,,2675304,G04CA02 Tamsulosin,1637PI0106F003,PI Pharma SA-NV,2026-01-13,2026-05-31,,unavailable,Andere reden,Minstens drie alternatieve verpakkingen beschikbaar,2026-03-12T15:52:43.511422
BE,Belgium,FAMHP,Sevikar-HCT 40 mg - 10 mg - 25 mg filmomh. tabl. 98,"Olmesartan Medoxomil, Amlodipine, Hydrochlorothiazide",,,2816700,"C09DX03 Olmesartan Medoxomil, Amlodipine and Hydrochlorothiazide",BE387502,Daiichi Sankyo Belgium SA-NV,2026-01-13,2026-03-31,,unavailable,Vertraging in de productie,Minstens drie alternatieve verpakkingen beschikbaar,2026-03-12T15:52:43.511422
