country_code,country_name,source,report_no,progress_stage,company_serial,company_name,company_name_en,company_license_no,company_address,dept_receipt_no,product_serial,product_name,product_name_en,standard_code,expected_shortage_date,shortage_reason,last_supply_date,supply_type,inventory_date,inventory_quantity,patient_impact,normalization_plan,expected_normalization_date,report_date,process_date,public_disclosure,business_no,medicine_name,active_substance,strength,package_size,atc_code,status,shortage_start,estimated_end,scraped_at
KR,South Korea,MFDS,2020000035,처리완료,20160560,한국화이자제약(주),-,87,서울특별시중구퇴계로110(회현동3가)[영업소],202000135461,201206317,라파뮨정0.5밀리그램(시롤리무스),-,8806489025112,20200522,코로나-19로인한전세계위기상황으로인하여해외제조원의원활한생산이차질을빗고있으며|대륙간이동을해야하는복잡한공급체계로인해라파뮨정0.5밀리그램의수급이늦어지고있습니다.현재가장빠르게공급받을수있는다음재고가존재하나|국내에허가된원료의약품의재시험기간(18개월)을초과한원료의약품을사용하여제조된것이문제가되어한국으로선적을하지못하고있습니다.이에폐사는공급정상화를위해제조원과긴밀히연락하여재시험기간을24개월로연장하여빠른시일내에수입하기위해최대한노력하고있습니다.,20200519,공급,20200515,81,라파뮨정은신장이식환자에서의장기거부반응예방과림프관평활근종증환자의치료에쓰이는약제로서|필요로하는환자들에게대체약으로처방해야해불편함이따를것으로예상됩니다.,폐사는공급정상화를위해제조원과긴밀히연락하여최대한노력하고있습니다.현재로서가능한가장빠른다음입고시점은2020년6월5일로예상되며이에따라2020년7월6일부터공급이다시가능할것으로사료됩니다.,20200706,20200521,-,동의함,2078100406,라파뮨정0.5밀리그램(시롤리무스),,,,,처리완료,2020-05-22,2020-07-06,2026-03-13T15:42:49.322155
KR,South Korea,MFDS,2020000003,삭제,20180526,한국희귀필수의약품센터,-,712,서울특별시중구무교로612층(을지로1가|금세기빌딩),202000017667,200109179,5-에이치티피캅셀(5-하이드록시트립토판(옥시트립탄)),-,8806640000118,20200120,제조사에원료의약품수급이지연되어생산이연기되었습니다.(유첨된파일의5-HTP관련서신_4참고),20191107,공급,20200120,0,온라인으로검색을해보면5-HTP가주성분인식품을해외구매대행을통해구할수있다는광고글을찾을수있으나현재식품의약품안전처에서는인터넷구매대행수입금지성분으로지정하고있습니다.따라서국내에정식으로허가된건강기능식품은없어서조속한공급재개가필요할것으로사료됩니다.,서신_4를보시면공급처에서1월15일생산을재개하여2월2주차면생산이완료된다고언급하고있습니다.따라서생산일정과배송기간을고려하여4월1일에공급재개하는계획을세웠습니다.,20200401,20200120,-,동의함,2208203719,5-에이치티피캅셀(5-하이드록시트립토판(옥시트립탄)),,,,,삭제,2020-01-20,2020-04-01,2026-03-13T15:42:49.322155
KR,South Korea,MFDS,2020000005,처리완료,19550016,(주)다림바이오텍,-,1308,경기도화성시향남읍제약공단3길107,202000018474,200612351,프레다정1mg(에스트라디올반수화물),-,8806646010418,20200201,당사는우수의약품생산을통한지속적인성장과새로운도약을위해원주기업도시에신공장을건설하여대단위GMP승인을준비중에있으며금주내신청서류를제출할계획입니다.공장이전기간동안제품공급에문제없도록비축생산과재고관리를해왔으나예상보다빨리재고가소진되었고기존공장은2019년9월셧다운되어추가생산이불가능합니다..,20200108,공급,20200115,11,별첨,신속한제품공급을위해프레다정1mg을대단위GMP신청품목으로선정하여생산하였으며|대단위GMP승인이예상되는4월말또는5월초에정상공급이가능할것으로판단됩니다.,20200501,20200122,-,동의함,1248177594,프레다정1mg(에스트라디올반수화물),,,,,처리완료,2020-02-01,2020-05-01,2026-03-13T15:42:49.322155
KR,South Korea,MFDS,2020000036,처리완료,20160560,한국화이자제약(주),-,87,서울특별시중구퇴계로110(회현동3가)[영업소],202000137494,201403398,듀아비브정0.45/20밀리그램,-,8806489028311,20200512,품질이슈로인한공급부족,20200512,공급,20200513,0,동일한성분의대체약제는없으나|폐경증상치료제로서G03C프로기노바|G03F크리멘|안젤릭|크리안|디비나|인디비나|G03X리비알등다른대체제가있습니다.폐경후골다공증예방약제로는비비안트|에비스타등대체제가있습니다.,폐사는즉각적인시정및예방조치를취하여빠른공급정상화를위해노력하고있습니다.현재로서가장빠른일정으로2020년10월중공급이다시가능할것으로사료됩니다.,20201019,20200525,-,동의함,2078100406,듀아비브정0.45/20밀리그램,,,,,처리완료,2020-05-12,2020-10-19,2026-03-13T15:42:49.322155
KR,South Korea,MFDS,2020000037,처리완료,20161267,금청약품(주),-,155,경기도군포시공단로2945층(금정동|한림테크노빌딩),202000144577,200606843,파이브로베인주3%(테트라데실황산나트륨),-,8806849000223,20200602,제조사의제품포장지연으로인하여수입이지연됨.,20191213,수입,20200602,22,하지의정맥류치료어려움.,제조사와협의하여공급정상화를위해최대한노력할것입니다.,20200715,20200602,-,동의함,1358150936,파이브로베인주3%(테트라데실황산나트륨),,,,,처리완료,2020-06-02,2020-07-15,2026-03-13T15:42:49.322155
KR,South Korea,MFDS,2020000038,처리완료,20160560,한국화이자제약(주),-,87,서울특별시중구퇴계로110(회현동3가)[영업소],202000151786,200409929,알닥톤필름코팅정25밀리그람(스피로노락톤),-,8806489006111,20200608,원료의약품의수급지연및제조원의생산력감소로인해공급일정지연,20200608,-,20200608,0,약학정보원에서확인한바로알닥톤과동일성분/동일용량인제품은구주스피로닥톤(구주제약)제품이생산및유통이되고있는것으로파악됩니다.,자사는공급정상화를위해제조원과긴밀히연락하여최대한노력하고있습니다.현재로서는가능한가장빠른다음입고시점은2020년7월로예상되며2020년7월중순부터공급이다시가능할것으로사료됩니다.,20200717,20200609,-,동의함,2078100406,알닥톤필름코팅정25밀리그람(스피로노락톤),,,,,처리완료,2020-06-08,2020-07-17,2026-03-13T15:42:49.322155
KR,South Korea,MFDS,2020000040,처리완료,20160560,한국화이자제약(주),-,87,서울특별시중구퇴계로110(회현동3가)[영업소],202000154352,200705481,카버젝트주사20마이크로그람(알프로스타딜),-,8806489010217,20200610,아사의사정으로공급이지연되고있습니다.,20200609,공급,20200610,0,동일성분및제형의타사제품이공급중이므로큰문제는없을것으로사료됩니다.,7월중공급재개예정으로공급안정화를위하여노력하고있습니다.,20200717,20200611,-,동의함,2078100406,카버젝트주사20마이크로그람(알프로스타딜),,,,,처리완료,2020-06-10,2020-07-17,2026-03-13T15:42:49.322155
KR,South Korea,MFDS,2020000067,처리완료,20160806,한국다케다제약(주),-,108,서울특별시송파구올림픽로30037층(신천동|롯데월드타워),202000214908,200711303,루프린디피에스주3.75밀리그램(류프로렐린아세트산염),-,8806963003919,20200901,루프린디피에스주3.75밀리그램의공급량은다케다제약의표준(standard)에따라전반적인준수를강화하기위해시작된생산중단과최근실사에따른후속조치의일부등여러가지이유로감소했습니다.이러한개선사항은현재규정준수에대한지속적인보증을강화하기위해수행되었습니다.,20200831,공급,20200814,286,루프린디피에스주3.75밀리그램(류프로렐린아세트산염)은동일성분및용량을함유한자사제품루프린주3.75mg(류프로렐린아세트산염)또는타사동일성분제품으로대체가능하므로환자치료에미치는영향은크지않을것으로예상됩니다.,다케다제약은환자의요구에최선을다하고있으며루프린디피에스주3.75밀리그램(류프로렐린아세트산염)의재공급위해최선을다하고있습니다.환자안전과공급무결성은다케다제약의최우선과제이며환자에게미칠수있는영향을최소화하기위해관련보건당국과긴밀히협력하고있습니다.다케다제약은지속적으로공급상황을모니터링할것이며|공급상황을업데이트하여환자치료및안전을확보하기위한적절한비상계획을세울수있도록할것입니다.,20230331,20200814,-,동의함,1068668073,루프린디피에스주3.75밀리그램(류프로렐린아세트산염),,,,,처리완료,2020-09-01,2023-03-31,2026-03-13T15:42:49.322155
KR,South Korea,MFDS,2020000071,처리완료,20161439,(주)한국로슈,-,188,서울특별시서초구서초대로41117층(서초동|지티타워(이스트),202000241742,200610658,마도파정125,-,8806450001916,20200915,동일약효의품목의품절로인하여전세계적으로마도파의공급이원활하지못하여마도파정125mg의공급부족발생.,20200901,공급,20200909,735,현재부족한125mg의처방으로250mg의분할처방및확산정의대체처방이발생할수있음.,10월중순경소량입고후한독으로출고예정이며이후공급가능물량확보는11월초에가능한상황으로현재공급부족상황이11월초에정상화될것으로예상.,20201102,20200914,-,동의함,2208101640,마도파정125,,,,,처리완료,2020-09-15,2020-11-02,2026-03-13T15:42:49.322155
KR,South Korea,MFDS,2020000074,처리완료,20161652,(주)글락소스미스클라인,-,231,서울특별시용산구한강대로92,202000267465,201601746,누칼라주(메폴리주맙|유전자재조합),-,8806500031115,20201013,1.당사제품누칼라㈜(“해당제품”)의배치2E9A(429개)(“해당배치”)에아래와같은표기오류가있음을발견하였습니다.또한|해당오류로인하여현재해당배치의출하가중단되어있는상태입니다.제조일자:2020-06-16유효기간:24개월정확한사용기한:2022-06-15해당배치에표시된사용기한:2022-06-16,20201013,공급,20201012,2,3.해당제품은중증천식환자들중에서삼제흡입제요법이나highdose의경구용스테로이드치료에도조절되지않는중증천식환자들이사용하는약제로희귀의약품으로허가된제품입니다.만약해당제품이현재예상대로2개월가량품절이발생하는경우에는해당제품을사용하는환자들이적절한시기에치료를놓치게되어경우에따라서사망에이를수도있습니다.4.추가로해당제품은고가의비급여약물입니다.따라서|처방을받는환자에게이러한비용적인부담을줄이기위하여당사는해당제품을처방받은환자에게특정기간(4주)안에1개의제품을무상으로추가공급하고있습니다.만일|해당배치의물량의공급이어려워지게되면환자들에게추가적인부담이있을것으로사료됩니다.,5.해당제품의평균사용량을고려하였을때해당배치의물량은정확한사용기한내에소진될것으로예상하고있습니다.6.또한|안정성데이터를기반으로사용기한대비추가하루동안제품의품질및환자의안전에미칠수있는영향은극히낮은것으로사료됩니다.7.따라서이러한심각한상황을감안하여해당배치를시장에제공할수있도록허가해주신다면당사는관련해서해당제품이정해진기간안에소진될수있도록최선의노력을다하도록하겠습니다.,20201208,20201012,-,동의함,1068156683,누칼라주(메폴리주맙|유전자재조합),,,,,처리완료,2020-10-13,2020-12-08,2026-03-13T15:42:49.322155
