country_code,country_name,source,source_detail,medicine_name,active_substance,strength,dosage_form,package_size,product_no,atc_code,marketing_auth_holder,shortage_start,estimated_end,estimated_end_text,actual_end,status,severity,reason,last_updated,url,scraped_at
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),Midazolam (Epistatus® ) 7.5mg/0.75ml oromucosal solution pre-filled oral syringes sugar free,,,,,MSN/2026/023,,,2026-05-05,,,,shortage,Tier 2 - medium impact,,2026-05-05,https://cpe.org.uk/our-news/medicine-supply-notification-midazolam-epistatus-7-5mg-0-75ml-oromucosal-solution-pre-filled-oral-syringes-sugar-free/,2026-09-22T14:33:40.942406
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),Ramipril 1.25mg capsules,,,capsules,,MSN/2026/022,,,2026-04-23,,the end of May 2026,,shortage,Tier 2 - medium impact,,2026-04-23,https://cpe.org.uk/our-news/medicine-supply-notification-ramipril-1-25mg-capsules/,2026-09-22T14:33:40.943140
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),Levemir® (insulin detemir) FlexPen® 100units/ml solution for injection 3ml pre-filled pens and Levemir® Penfill 100units/ml solution for injection 3ml cartridges,,,solution for injection,,MSN/2025/036,,,2025-06-16,,,,shortage,Tier 2 - medium impact,,2025-08-14,https://cpe.org.uk/our-news/medicine-supply-notification-levemir-insulin-detemir-flexpen-100units-ml-solution-for-injection-3ml-pre-filled-pens-and-levemir-penfill-100units-ml-solution-for-injection-3ml-cart/,2026-09-22T14:33:40.944142
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),Chlordiazepoxide 5mg and 10mg capsules,,,capsules,,MSN/2026/021,,,2026-03-30,,,,shortage,Tier 2 - medium impact,,2026-03-30,https://cpe.org.uk/our-news/medicine-supply-notification-chlordiazepoxide-5mg-and-10mg-capsules/,2026-09-22T14:33:40.944797
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),Cefixime (Suprax® ) 200mg tablets,,,tablets,,MSN/2026/020,,,2026-03-30,,,,shortage,Tier 2 - medium impact,,2026-03-30,https://cpe.org.uk/our-news/medicine-supply-notification-cefixime-suprax-200mg-tablets/,2026-09-22T14:33:40.945973
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),Propranolol 80mg and 160mg modified release capsules,,,capsules,,MSN/2025/059,,,2025-11-10,,July 2026,,shortage,Tier 2 - medium impact,,2026-03-05,https://cpe.org.uk/our-news/medicine-supply-notification-propranolol-80mg-and-160mg-modified-release-capsules/,2026-09-22T14:33:41.046151
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),Co-trimoxazole 40mg/200mg/5ml oral suspension sugar free and Co-trimoxazole 80mg/400mg/5ml oral suspension,,,oral suspension,,MSN/2026/016,,,2026-02-25,,June 2026,,shortage,Tier 2 - medium impact,,2026-02-25,https://cpe.org.uk/our-news/medicine-supply-notification-co-trimoxazole-40mg-200mg-5ml-oral-suspension-sugar-free-and-co-trimoxazole-80mg-400mg-5ml-oral-suspension/,2026-09-22T14:33:41.047178
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),Sodium valproate (Epilim Chronosphere® ) 100mg modified-release granules sachets sugar free,,,sachets,,MSN/2026/012,,,2026-02-17,,,,shortage,Tier 2 - medium impact,,2026-02-17,https://cpe.org.uk/our-news/medicine-supply-notification-sodium-valproate-epilim-chronosphere-100mg-modified-release-granules-sachets-sugar-free/,2026-09-22T14:33:41.047801
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),Propafenone (Arythmol® ) 150mg tablets,,,tablets,,MSN/2026/011,,,2026-02-17,,early April 2026,,shortage,Tier 2 - medium impact,,2026-02-17,https://cpe.org.uk/our-news/medicine-supply-notification-propafenone-arythmol-150mg-tablets/,2026-09-22T14:33:41.048622
GB,United Kingdom,MHRA,CPE (DHSC Medicine Supply Notification),Phenobarbital 30mg and 60mg tablets,,,tablets,,MSN/2026/010,,,2026-02-16,,mid/late March 2026,,shortage,Tier 2 - medium impact,,2026-02-16,https://cpe.org.uk/our-news/medicine-supply-notification-phenobarbital-30mg-and-60mg-tablets/,2026-09-22T14:33:41.049115
