country_code,country_name,source,medicine_name,active_substance,strength,package_size,product_no,atc_code,marketing_auth_holder,shortage_start,estimated_end,status,dosage_form,reason,last_updated,affected_establishments,affected_regions,source_url,scraped_at
PE,Peru,DIGEMID,VACUNA ANTIAMARILICA 1000 DIT/0.5 mL 10 DOSIS INYECTABLE,VACUNA ANTIAMARILICA,1000 DIT/0.5 mL 10 DOSIS,,06377,,,,,shortage,INYECTABLE,,2026-08-31,877,31,https://www.digemid.minsa.gob.pe/webDigemid/disponibilidad-de-productos-farmaceuticos/2026/disponibilidad-de-productos-farmaceuticos-agosto-2026/,2026-09-22T14:26:34.751997
PE,Peru,DIGEMID,DILUYENTE PARA VACUNA ANTIAMARILICA (AMA) 10 DOSIS INYECTABLE,DILUYENTE PARA VACUNA ANTIAMARILICA (AMA),10 DOSIS,,29020,,,,,shortage,INYECTABLE,,2026-08-31,787,30,https://www.digemid.minsa.gob.pe/webDigemid/disponibilidad-de-productos-farmaceuticos/2026/disponibilidad-de-productos-farmaceuticos-agosto-2026/,2026-09-22T14:26:34.751997
PE,Peru,DIGEMID,VACUNA CONTRA LA HEPATITIS A 720 UI/0.5 mL 1 DOSIS INYECTABLE,VACUNA CONTRA LA HEPATITIS A,720 UI/0.5 mL 1 DOSIS,,06385,,,,,shortage,INYECTABLE,,2026-08-31,722,31,https://www.digemid.minsa.gob.pe/webDigemid/disponibilidad-de-productos-farmaceuticos/2026/disponibilidad-de-productos-farmaceuticos-agosto-2026/,2026-09-22T14:26:34.751997
PE,Peru,DIGEMID,AMPICILINA SODICA 1 g INYECTABLE,AMPICILINA SODICA,1 g,,00830,,,,,shortage,INYECTABLE,,2026-08-31,701,27,https://www.digemid.minsa.gob.pe/webDigemid/disponibilidad-de-productos-farmaceuticos/2026/disponibilidad-de-productos-farmaceuticos-agosto-2026/,2026-09-22T14:26:34.751997
PE,Peru,DIGEMID,CAPTOPRIL 25 mg TABLETA,CAPTOPRIL,25 mg,,01522,,,,,shortage,TABLETA,,2026-08-31,663,26,https://www.digemid.minsa.gob.pe/webDigemid/disponibilidad-de-productos-farmaceuticos/2026/disponibilidad-de-productos-farmaceuticos-agosto-2026/,2026-09-22T14:26:34.751997
PE,Peru,DIGEMID,VACUNA ANTIRRABICA HUMANA INACTIVADA (PREPARADO DE CULTIVO CELULAR WISTAR PM/W138) + DILUYENTE 2.5 UI 1 DOSIS INYECTABLE,VACUNA ANTIRRABICA HUMANA INACTIVADA (PREPARADO DE CULTIVO CELULAR WISTAR PM/W138) + DILUYENTE,2.5 UI 1 DOSIS,,24090,,,,,shortage,INYECTABLE,,2026-08-31,652,31,https://www.digemid.minsa.gob.pe/webDigemid/disponibilidad-de-productos-farmaceuticos/2026/disponibilidad-de-productos-farmaceuticos-agosto-2026/,2026-09-22T14:26:34.751997
PE,Peru,DIGEMID,"VACUNA ANTIPAROTIDITIS, RUBEOLA Y SARAMPION 700 DCI/0.5 mL 1 DOSIS INYECTABLE","VACUNA ANTIPAROTIDITIS, RUBEOLA Y SARAMPION",700 DCI/0.5 mL 1 DOSIS,,06437,,,,,shortage,INYECTABLE,,2026-08-31,646,31,https://www.digemid.minsa.gob.pe/webDigemid/disponibilidad-de-productos-farmaceuticos/2026/disponibilidad-de-productos-farmaceuticos-agosto-2026/,2026-09-22T14:26:34.751997
PE,Peru,DIGEMID,VACUNA CONTRA EL ROTAVIRUS PLV (SUSPENSION ORAL) 1 DOSIS SUSPENSION,VACUNA CONTRA EL ROTAVIRUS PLV,1 DOSIS,,18331,,,,,shortage,SUSPENSION,,2026-08-31,642,29,https://www.digemid.minsa.gob.pe/webDigemid/disponibilidad-de-productos-farmaceuticos/2026/disponibilidad-de-productos-farmaceuticos-agosto-2026/,2026-09-22T14:26:34.751997
PE,Peru,DIGEMID,RETINOL(COMO PALMITATO) 200000 UI TABLETA,RETINOL(COMO PALMITATO),200000 UI,,08153,,,,,shortage,TABLETA,,2026-08-31,639,29,https://www.digemid.minsa.gob.pe/webDigemid/disponibilidad-de-productos-farmaceuticos/2026/disponibilidad-de-productos-farmaceuticos-agosto-2026/,2026-09-22T14:26:34.751997
PE,Peru,DIGEMID,DILUYENTE PARA VACUNA ANTITUBERCULOSA (BCG) 10 DOSIS INYECTABLE,DILUYENTE PARA VACUNA ANTITUBERCULOSA (BCG),10 DOSIS,,13024,,,,,shortage,INYECTABLE,,2026-08-31,636,27,https://www.digemid.minsa.gob.pe/webDigemid/disponibilidad-de-productos-farmaceuticos/2026/disponibilidad-de-productos-farmaceuticos-agosto-2026/,2026-09-22T14:26:34.751997
PE,Peru,DIGEMID,ATROPINA SULFATO 1 mg/mL 1 mL INYECTABLE,ATROPINA SULFATO,1 mg/mL 1 mL,,00910,,,,,shortage,INYECTABLE,,2026-08-31,613,28,https://www.digemid.minsa.gob.pe/webDigemid/disponibilidad-de-productos-farmaceuticos/2026/disponibilidad-de-productos-farmaceuticos-agosto-2026/,2026-09-22T14:26:34.751997
PE,Peru,DIGEMID,EPINEFRINA (COMO CLORHIDRATO O TARTRATO) 1 mg/mL 1 mL INYECTABLE,EPINEFRINA (COMO CLORHIDRATO O TARTRATO),1 mg/mL 1 mL,,03097,,,,,shortage,INYECTABLE,,2026-08-31,606,31,https://www.digemid.minsa.gob.pe/webDigemid/disponibilidad-de-productos-farmaceuticos/2026/disponibilidad-de-productos-farmaceuticos-agosto-2026/,2026-09-22T14:26:34.751997
PE,Peru,DIGEMID,ESCOPOLAMINA N-BUTILBROMURO 20 mg/mL 1 mL INYECTABLE,ESCOPOLAMINA N-BUTILBROMURO,20 mg/mL 1 mL,,03213,,,,,shortage,INYECTABLE,,2026-08-31,597,31,https://www.digemid.minsa.gob.pe/webDigemid/disponibilidad-de-productos-farmaceuticos/2026/disponibilidad-de-productos-farmaceuticos-agosto-2026/,2026-09-22T14:26:34.751997
PE,Peru,DIGEMID,"DILUYENTE PARA VACUNA ANTIPAROTIDITIS, RUBEOLA Y SARAMPION (SPR) 1 DOSIS INYECTABLE","DILUYENTE PARA VACUNA ANTIPAROTIDITIS, RUBEOLA Y SARAMPION (SPR)",1 DOSIS,,25983,,,,,shortage,INYECTABLE,,2026-08-31,589,28,https://www.digemid.minsa.gob.pe/webDigemid/disponibilidad-de-productos-farmaceuticos/2026/disponibilidad-de-productos-farmaceuticos-agosto-2026/,2026-09-22T14:26:34.751997
PE,Peru,DIGEMID,ALUMINIO HIDROXIDO + MAGNESIO HIDROXIDO 400 + 400 mg/5 mL 150 mL SUSPENSION,ALUMINIO HIDROXIDO + MAGNESIO HIDROXIDO,400 + 400 mg/5 mL 150 mL,,18091,,,,,shortage,SUSPENSION,,2026-08-31,582,27,https://www.digemid.minsa.gob.pe/webDigemid/disponibilidad-de-productos-farmaceuticos/2026/disponibilidad-de-productos-farmaceuticos-agosto-2026/,2026-09-22T14:26:34.751997
PE,Peru,DIGEMID,ISONIAZIDA + RIFAMPICINA 75 mg + 150 mg TABLETA,ISONIAZIDA + RIFAMPICINA,75 mg + 150 mg,,28409,,,,,shortage,TABLETA,,2026-08-31,574,32,https://www.digemid.minsa.gob.pe/webDigemid/disponibilidad-de-productos-farmaceuticos/2026/disponibilidad-de-productos-farmaceuticos-agosto-2026/,2026-09-22T14:26:34.751997
PE,Peru,DIGEMID,VACUNA ANTIPOLIOMIELITICA 80 Lf/0.5 mL 1 DOSIS INYECTABLE,VACUNA ANTIPOLIOMIELITICA,80 Lf/0.5 mL 1 DOSIS,,06396,,,,,shortage,INYECTABLE,,2026-08-31,569,32,https://www.digemid.minsa.gob.pe/webDigemid/disponibilidad-de-productos-farmaceuticos/2026/disponibilidad-de-productos-farmaceuticos-agosto-2026/,2026-09-22T14:26:34.751997
PE,Peru,DIGEMID,ETAMBUTOL + ISONIAZIDA + PIRAZINAMIDA + RIFAMPICINA 275 mg + 75 mg + 400 mg + 150 mg TABLETA,ETAMBUTOL + ISONIAZIDA + PIRAZINAMIDA + RIFAMPICINA,275 mg + 75 mg + 400 mg + 150 mg,,28408,,,,,shortage,TABLETA,,2026-08-31,568,33,https://www.digemid.minsa.gob.pe/webDigemid/disponibilidad-de-productos-farmaceuticos/2026/disponibilidad-de-productos-farmaceuticos-agosto-2026/,2026-09-22T14:26:34.751997
PE,Peru,DIGEMID,VACUNA CONTRA LA HEPATITIS B PEDIATRICO 10 ug/0.5 mL 1 DOSIS INYECTABLE,VACUNA CONTRA LA HEPATITIS B PEDIATRICO,10 ug/0.5 mL 1 DOSIS,,06386,,,,,shortage,INYECTABLE,,2026-08-31,556,31,https://www.digemid.minsa.gob.pe/webDigemid/disponibilidad-de-productos-farmaceuticos/2026/disponibilidad-de-productos-farmaceuticos-agosto-2026/,2026-09-22T14:26:34.751997
PE,Peru,DIGEMID,TETRACICLINA CLORHIDRATO (UNGÜENTO OFTALMICO) 1 g/100 g (1 %) 6 g UNGÜENTO,TETRACICLINA CLORHIDRATO,1 g/100 g (1 %) 6 g,,06111,,,,,shortage,UNGUENTO,,2026-08-31,556,30,https://www.digemid.minsa.gob.pe/webDigemid/disponibilidad-de-productos-farmaceuticos/2026/disponibilidad-de-productos-farmaceuticos-agosto-2026/,2026-09-22T14:26:34.751997
PE,Peru,DIGEMID,HIERRO POLIMALTOSA 50 mg/mL 20 mL SOLUCION,HIERRO POLIMALTOSA,50 mg/mL 20 mL,,28551,,,,,shortage,SOLUCION,,2026-08-31,550,22,https://www.digemid.minsa.gob.pe/webDigemid/disponibilidad-de-productos-farmaceuticos/2026/disponibilidad-de-productos-farmaceuticos-agosto-2026/,2026-09-22T14:26:34.751997
PE,Peru,DIGEMID,RETINOL (COMO PALMITATO) 100000 UI TABLETA,RETINOL (COMO PALMITATO),100000 UI,,18132,,,,,shortage,TABLETA,,2026-08-31,537,31,https://www.digemid.minsa.gob.pe/webDigemid/disponibilidad-de-productos-farmaceuticos/2026/disponibilidad-de-productos-farmaceuticos-agosto-2026/,2026-09-22T14:26:34.751997
PE,Peru,DIGEMID,VACUNA ANTIVARICELA 1350 UFP/0.5 mL 0.7 mL INYECTABLE,VACUNA ANTIVARICELA,1350 UFP/0.5 mL 0.7 mL,,32251,,,,,shortage,INYECTABLE,,2026-08-31,526,31,https://www.digemid.minsa.gob.pe/webDigemid/disponibilidad-de-productos-farmaceuticos/2026/disponibilidad-de-productos-farmaceuticos-agosto-2026/,2026-09-22T14:26:34.751997
PE,Peru,DIGEMID,FERROSO SULFATO 25 mg de Fe/mL 30 mL SOLUCION,FERROSO SULFATO,25 mg de Fe/mL 30 mL,,03536,,,,,shortage,SOLUCION,,2026-08-31,502,28,https://www.digemid.minsa.gob.pe/webDigemid/disponibilidad-de-productos-farmaceuticos/2026/disponibilidad-de-productos-farmaceuticos-agosto-2026/,2026-09-22T14:26:34.751997
PE,Peru,DIGEMID,DILUYENTE PARA VACUNA ANTIVARICELA 1350 UFP/0.5 mL INY 0.7 mL INYECTABLE,DILUYENTE PARA VACUNA ANTIVARICELA,1350 UFP/0.5 mL INY 0.7 mL,,38353,,,,,shortage,INYECTABLE,,2026-08-31,499,31,https://www.digemid.minsa.gob.pe/webDigemid/disponibilidad-de-productos-farmaceuticos/2026/disponibilidad-de-productos-farmaceuticos-agosto-2026/,2026-09-22T14:26:34.751997
PE,Peru,DIGEMID,"VACUNA CONTRA DIFTERIA, TETANOS Y TOS FERINA ACELULAR ADSORBIDA (DPTa) 2 Lf + 5 Lf + 2.5 ug 1 DOSIS INYECTABLE","VACUNA CONTRA DIFTERIA, TETANOS Y TOS FERINA ACELULAR ADSORBIDA (DPTa)",2 Lf + 5 Lf + 2.5 ug 1 DOSIS,,56023,,,,,shortage,INYECTABLE,,2026-08-31,489,29,https://www.digemid.minsa.gob.pe/webDigemid/disponibilidad-de-productos-farmaceuticos/2026/disponibilidad-de-productos-farmaceuticos-agosto-2026/,2026-09-22T14:26:34.751997
PE,Peru,DIGEMID,DEXTROSA 5 g/100 mL (5 %) 1 L INYECTABLE,DEXTROSA,5 g/100 mL (5 %) 1 L,,03789,,,,,shortage,INYECTABLE,,2026-08-31,474,31,https://www.digemid.minsa.gob.pe/webDigemid/disponibilidad-de-productos-farmaceuticos/2026/disponibilidad-de-productos-farmaceuticos-agosto-2026/,2026-09-22T14:26:34.751997
PE,Peru,DIGEMID,ATROPINA SULFATO 500 µg/mL (0.5 mg/mL) 1 mL INYECTABLE,ATROPINA SULFATO,500 µg/mL (0.5 mg/mL) 1 mL,,00909,,,,,shortage,INYECTABLE,,2026-08-31,469,26,https://www.digemid.minsa.gob.pe/webDigemid/disponibilidad-de-productos-farmaceuticos/2026/disponibilidad-de-productos-farmaceuticos-agosto-2026/,2026-09-22T14:26:34.751997
PE,Peru,DIGEMID,FERROSO SULFATO 300 mg (Equiv. 60 mg Fe) TABLETA,FERROSO SULFATO,300 mg (Equiv. 60 mg Fe),,03552,,,,,shortage,TABLETA,,2026-08-31,450,28,https://www.digemid.minsa.gob.pe/webDigemid/disponibilidad-de-productos-farmaceuticos/2026/disponibilidad-de-productos-farmaceuticos-agosto-2026/,2026-09-22T14:26:34.751997
PE,Peru,DIGEMID,FUROSEMIDA 10 mg/mL 2 mL INYECTABLE,FUROSEMIDA,10 mg/mL 2 mL,,03710,,,,,shortage,INYECTABLE,,2026-08-31,448,29,https://www.digemid.minsa.gob.pe/webDigemid/disponibilidad-de-productos-farmaceuticos/2026/disponibilidad-de-productos-farmaceuticos-agosto-2026/,2026-09-22T14:26:34.751997
PE,Peru,DIGEMID,GENTAMICINA (COMO SULFATO) 40 mg/mL 2 mL INYECTABLE,GENTAMICINA (COMO SULFATO),40 mg/mL 2 mL,,03751,,,,,shortage,INYECTABLE,,2026-08-31,446,29,https://www.digemid.minsa.gob.pe/webDigemid/disponibilidad-de-productos-farmaceuticos/2026/disponibilidad-de-productos-farmaceuticos-agosto-2026/,2026-09-22T14:26:34.751997
PE,Peru,DIGEMID,"VACUNA DPT, HIB Y VHB (PENTAVALENTE) 1 DOSIS INYECTABLE","VACUNA DPT, HIB Y VHB (PENTAVALENTE)",1 DOSIS,,17734,,,,,shortage,INYECTABLE,,2026-08-31,445,31,https://www.digemid.minsa.gob.pe/webDigemid/disponibilidad-de-productos-farmaceuticos/2026/disponibilidad-de-productos-farmaceuticos-agosto-2026/,2026-09-22T14:26:34.751997
PE,Peru,DIGEMID,BENZATINA BENCILPENICILINA CON DILUYENTE 1200000 UI INYECTABLE,BENZATINA BENCILPENICILINA CON DILUYENTE,1200000 UI,,18153,,,,,shortage,INYECTABLE,,2026-08-31,439,22,https://www.digemid.minsa.gob.pe/webDigemid/disponibilidad-de-productos-farmaceuticos/2026/disponibilidad-de-productos-farmaceuticos-agosto-2026/,2026-09-22T14:26:34.751997
PE,Peru,DIGEMID,CEFTRIAXONA SODICA (COMO SAL SODICA) CON DILUYENTE 1 g INYECTABLE,CEFTRIAXONA SODICA (COMO SAL SODICA) CON DILUYENTE,1 g,,18158,,,,,shortage,INYECTABLE,,2026-08-31,428,28,https://www.digemid.minsa.gob.pe/webDigemid/disponibilidad-de-productos-farmaceuticos/2026/disponibilidad-de-productos-farmaceuticos-agosto-2026/,2026-09-22T14:26:34.751997
PE,Peru,DIGEMID,ISONIAZIDA 100 mg TABLETA,ISONIAZIDA,100 mg,,04168,,,,,shortage,TABLETA,,2026-08-31,427,32,https://www.digemid.minsa.gob.pe/webDigemid/disponibilidad-de-productos-farmaceuticos/2026/disponibilidad-de-productos-farmaceuticos-agosto-2026/,2026-09-22T14:26:34.751997
PE,Peru,DIGEMID,VACUNA ANTITUBERCULOSA (BCG) 20 DOSIS INYECTABLE,VACUNA ANTITUBERCULOSA (BCG),20 DOSIS,,54003,,,,,shortage,INYECTABLE,,2026-08-31,424,31,https://www.digemid.minsa.gob.pe/webDigemid/disponibilidad-de-productos-farmaceuticos/2026/disponibilidad-de-productos-farmaceuticos-agosto-2026/,2026-09-22T14:26:34.751997
PE,Peru,DIGEMID,GENTAMICINA (COMO SULFATO) 80 mg/mL 2 mL INYECTABLE,GENTAMICINA (COMO SULFATO),80 mg/mL 2 mL,,03747,,,,,shortage,INYECTABLE,,2026-08-31,420,29,https://www.digemid.minsa.gob.pe/webDigemid/disponibilidad-de-productos-farmaceuticos/2026/disponibilidad-de-productos-farmaceuticos-agosto-2026/,2026-09-22T14:26:34.751997
PE,Peru,DIGEMID,RIFAMPICINA 300 mg TABLETA,RIFAMPICINA,300 mg,,05688,,,,,shortage,TABLETA,,2026-08-31,412,31,https://www.digemid.minsa.gob.pe/webDigemid/disponibilidad-de-productos-farmaceuticos/2026/disponibilidad-de-productos-farmaceuticos-agosto-2026/,2026-09-22T14:26:34.751997
PE,Peru,DIGEMID,DICLOXACILINA (COMO SAL SODICA) 250 mg/5 mL 60 mL SUSPENSION,DICLOXACILINA (COMO SAL SODICA),250 mg/5 mL 60 mL,,02830,,,,,shortage,SUSPENSION,,2026-08-31,406,28,https://www.digemid.minsa.gob.pe/webDigemid/disponibilidad-de-productos-farmaceuticos/2026/disponibilidad-de-productos-farmaceuticos-agosto-2026/,2026-09-22T14:26:34.751997
PE,Peru,DIGEMID,PEROXIDO DE HIDROGENO (AGUA OXIGENADA 10 V) 3 % 1 L SOLUCION,PEROXIDO DE HIDROGENO (AGUA OXIGENADA 10 V),3 % 1 L,,16862,,,,,shortage,SOLUCION,,2026-08-31,405,28,https://www.digemid.minsa.gob.pe/webDigemid/disponibilidad-de-productos-farmaceuticos/2026/disponibilidad-de-productos-farmaceuticos-agosto-2026/,2026-09-22T14:26:34.751997
PE,Peru,DIGEMID,ALUMINIO HIDROXIDO + MAGNESIO HIDROXIDO 400 + 400 mg/5 mL 120 mL SUSPENSION,ALUMINIO HIDROXIDO + MAGNESIO HIDROXIDO,400 + 400 mg/5 mL 120 mL,,31976,,,,,shortage,SUSPENSION,,2026-08-31,402,20,https://www.digemid.minsa.gob.pe/webDigemid/disponibilidad-de-productos-farmaceuticos/2026/disponibilidad-de-productos-farmaceuticos-agosto-2026/,2026-09-22T14:26:34.751997
PE,Peru,DIGEMID,MEBENDAZOL 500 mg TABLETA,MEBENDAZOL,500 mg,,04586,,,,,shortage,TABLETA,,2026-08-31,400,24,https://www.digemid.minsa.gob.pe/webDigemid/disponibilidad-de-productos-farmaceuticos/2026/disponibilidad-de-productos-farmaceuticos-agosto-2026/,2026-09-22T14:26:34.751997
PE,Peru,DIGEMID,BENZATINA BENCILPENICILINA 1200000 UI INYECTABLE,BENZATINA BENCILPENICILINA,1200000 UI,,01043,,,,,shortage,INYECTABLE,,2026-08-31,396,28,https://www.digemid.minsa.gob.pe/webDigemid/disponibilidad-de-productos-farmaceuticos/2026/disponibilidad-de-productos-farmaceuticos-agosto-2026/,2026-09-22T14:26:34.751997
PE,Peru,DIGEMID,BENCILPENICILINA SODICA 1000000 UI INYECTABLE,BENCILPENICILINA SODICA,1000000 UI,,01032,,,,,shortage,INYECTABLE,,2026-08-31,389,26,https://www.digemid.minsa.gob.pe/webDigemid/disponibilidad-de-productos-farmaceuticos/2026/disponibilidad-de-productos-farmaceuticos-agosto-2026/,2026-09-22T14:26:34.751997
PE,Peru,DIGEMID,VACUNA ANTITUBERCULOSA (BCG) 3200000 U/0.1 mL 10 DOSIS INYECTABLE,VACUNA ANTITUBERCULOSA (BCG),3200000 U/0.1 mL 10 DOSIS,,06420,,,,,shortage,INYECTABLE,,2026-08-31,376,30,https://www.digemid.minsa.gob.pe/webDigemid/disponibilidad-de-productos-farmaceuticos/2026/disponibilidad-de-productos-farmaceuticos-agosto-2026/,2026-09-22T14:26:34.751997
PE,Peru,DIGEMID,MEBENDAZOL 100 mg TABLETA,MEBENDAZOL,100 mg,,04585,,,,,shortage,TABLETA,,2026-08-31,369,27,https://www.digemid.minsa.gob.pe/webDigemid/disponibilidad-de-productos-farmaceuticos/2026/disponibilidad-de-productos-farmaceuticos-agosto-2026/,2026-09-22T14:26:34.751997
PE,Peru,DIGEMID,BENCILPENICILINA PROCAINICA 1000000 UI INYECTABLE,BENCILPENICILINA PROCAINICA,1000000 UI,,01029,,,,,shortage,INYECTABLE,,2026-08-31,350,27,https://www.digemid.minsa.gob.pe/webDigemid/disponibilidad-de-productos-farmaceuticos/2026/disponibilidad-de-productos-farmaceuticos-agosto-2026/,2026-09-22T14:26:34.751997
PE,Peru,DIGEMID,VACUNA CONTRA EL SARAMPION Y LA RUBEOLA (SR) 10 DOSIS INYECTABLE,VACUNA CONTRA EL SARAMPION Y LA RUBEOLA (SR),10 DOSIS,,08187,,,,,shortage,INYECTABLE,,2026-08-31,350,15,https://www.digemid.minsa.gob.pe/webDigemid/disponibilidad-de-productos-farmaceuticos/2026/disponibilidad-de-productos-farmaceuticos-agosto-2026/,2026-09-22T14:26:34.751997
PE,Peru,DIGEMID,ETINILESTRADIOL + LEVONORGESTREL (BLISTER) 30 µg + 150 µg 21 tab + 7 tab SIN EFEC TABLETA,ETINILESTRADIOL + LEVONORGESTREL (BLISTER),30 µg + 150 µg 21 tab + 7 tab SIN EFEC,,18102,,,,,shortage,TABLETA,,2026-08-31,339,26,https://www.digemid.minsa.gob.pe/webDigemid/disponibilidad-de-productos-farmaceuticos/2026/disponibilidad-de-productos-farmaceuticos-agosto-2026/,2026-09-22T14:26:34.751997
