country_code,country_name,source,medicine_name,active_substance,strength,package_size,product_no,shortage_start,estimated_end,last_updated,status,scraped_at,atc_code,prk
FR,France,ANSM,"Téralithe LP 400 mg, comprimé sécable à libération prolongée",lithium (carbonate de),,,,,,2026-09-21,supply tension,2026-09-21T13:18:24.759415,D11AX04,
FR,France,ANSM,"Miochole 20 mg, poudre et solvant pour solution intraoculaire",chlorure d'acétylcholine,,,,,,2026-09-21,shortage,2026-09-21T13:18:24.759455,,
FR,France,ANSM,"Palipéridone BGR, suspension injectable à libération prolongée en seringue préremplie",palipéridone,,,,,,2026-09-18,supply tension,2026-09-21T13:18:24.759474,N05AX13,
FR,France,ANSM,"Duloxétine 30 mg et 60 mg, gélules gastro-résistantes",duloxétine (chlorhydrate de),,,,,,2026-09-18,supply tension,2026-09-21T13:18:24.759490,N06AX21,79057
FR,France,ANSM,"Palipéridone Biogaran, suspension injectable à libération prolongée en seringue préremplie - [palipéridone]",,,,,,,2026-09-18,discontinued,2026-09-21T13:18:24.759506,,
FR,France,ANSM,"Xeplion, suspension injectable à libération prolongée",palipéridone,,,,,,2026-09-18,supply tension,2026-09-21T13:18:24.759520,N05AX13,96954
FR,France,ANSM,"Palipéridone Teva, suspension injectable à libération prolongée",palipéridone,,,,,,2026-09-18,supply tension,2026-09-21T13:18:24.759533,N05AX13,
FR,France,ANSM,"Furosémide Zentiva 500 mg, comprimé sécable",furosémide,,,,,2026-05-21,2026-09-18,resolved,2026-09-21T13:18:24.759551,C03CA01,33936
FR,France,ANSM,"Bendamustine Hikma 2,5 mg/ml, poudre pour solution à diluer pour perfusion",bendamustine (chlorhydrate de) monohydraté,,,,,2026-08-31,2026-09-18,resolved,2026-09-21T13:18:24.759569,L01AA09,
FR,France,ANSM,"Levmentin 1 g/200 mg, poudre pour solution injectable/pour perfusion (IV)","amoxicilline sodique, potassium (clavulanate de)",,,,,2026-09-18,2026-09-18,resolved,2026-09-21T13:18:24.759587,,
FR,France,ANSM,"Diprostene, suspension injectable en seringue pré-remplie","bétaméthasone (dipropionate de), bétaméthasone (phosphate sodique de)",,,,,,2026-09-18,supply tension,2026-09-21T13:18:24.759601,,
FR,France,ANSM,"Dépakote 500 mg, comprimé gastro-résistant",valproate semisodique,,,,,,2026-09-18,supply tension,2026-09-21T13:18:24.759614,N03AG01,4812
FR,France,ANSM,"Solumedrol 120 mg/2 mL, lyophilisat et solution pour usage parentéral",méthylprednisolone (hémisuccinate de),,,,,,2026-09-17,supply tension,2026-09-21T13:18:24.759627,H02AB04,
FR,France,ANSM,"Atgam 50 mg/mL, solution à diluer pour perfusion",immunoglobuline équine anti-lymphocyte T humain,,,,,,2026-09-17,supply tension,2026-09-21T13:18:24.759640,L04AA03,216704
FR,France,ANSM,"Yellox 0,9 mg/ml, collyre en solution",bromfénac sodique sesquihydraté,,,,,,2026-09-17,supply tension,2026-09-21T13:18:24.759653,S01BC11,219010
FR,France,ANSM,"Negaban 1 g, poudre pour solution injectable/pour perfusion",témocilline disodique,,,,,,2026-09-16,shortage,2026-09-21T13:18:24.759666,J01CA06,
FR,France,ANSM,"Fluorouracile Accord 50 mg/ml, solution à diluer pour perfusion, flacon de 100 ml",fluorouracile,,,,,,2026-09-16,supply tension,2026-09-21T13:18:24.759679,L01BC02,33138
FR,France,ANSM,"Depo Prodasone 500 mg, suspension injectable",médroxyprogestérone,,,,,,2026-09-16,supply tension,2026-09-21T13:18:24.759692,G03AC06,67121
FR,France,ANSM,"Cufence 200 mg, gélule",trientine (dichlorhydrate de),,,,,2026-06-10,2026-09-16,resolved,2026-09-21T13:18:24.759708,A16AX12,207535
FR,France,ANSM,"Fluorouracile Pfizer 50 mg/ml, solution à diluer pour perfusion - flacon de 100 ml",fluorouracile,,,,,,2026-09-16,supply tension,2026-09-21T13:18:24.759721,L01BC02,33138
FR,France,ANSM,"Trisenox 2 mg/mL, solution à diluer pour perfusion",arsenic (trioxyde d'),,,,,2026-09-16,2026-09-16,resolved,2026-09-21T13:18:24.759738,,
FR,France,ANSM,"Kytril 3 mg/3 ml, solution injectable (1 ampoule(s) en verre de 3 ml)",granisétron (chlorhydrate de),,,,,,2026-09-15,supply tension,2026-09-21T13:18:24.759751,A04AA02,33413
FR,France,ANSM,"Mydriaticum 2 mg/0,4 ml, collyre en récipient unidose",tropicamide,,,,,,2026-09-15,supply tension,2026-09-21T13:18:24.759763,S01FA06,219088
FR,France,ANSM,"Alepsal, comprimé",caféine / phénobarbital,,,,,2026-09-15,2026-09-15,resolved,2026-09-21T13:18:24.759780,,
FR,France,ANSM,"Gardénal 50 mg, comprimé",phénobarbital,,,,,2026-09-15,2026-09-15,resolved,2026-09-21T13:18:24.759796,N03AA02,37672
FR,France,ANSM,"Emylif 50 mg, film orodispersible",riluzole,,,,,,2026-09-14,supply tension,2026-09-21T13:18:24.759809,N07XX02,225126
