country_code,country_name,source,medicine_name,active_substance,strength,package_size,product_no,enr,atc_code,shortage_start,estimated_end,status,reason,meldungsart,mah,scraped_at,prk
DE,Germany,BfArM,Gentamicin-POS,Gentamicinsulfat,,,2498613,2102411,S01AA11,2026-06-30,2026-10-31,shortage,Produktionsproblem,Änderungsmeldung,URSAPHARM Arzneimittel GmbH,2026-09-23T20:53:05.491775,
DE,Germany,BfArM,Teicoplanin Eberth 400 mg Pulver zur Herstellung einer Injektions-/Infusionslösung oder einer Lösung zum Einnehmen,Teicoplanin,,,17582880,2203601,J01XA02,2024-12-18,2027-03-31,shortage,Sonstige,Änderungsmeldung,Dr. Friedrich Eberth Arzneimittel GmbH,2026-09-23T20:53:05.491863,33588
DE,Germany,BfArM,Teicoplanin Eberth 200 mg Pulver zur Herstellung einer Injektions-/Infusionslösung oder einer Lösung zum Einnehmen,Teicoplanin,,,17582874,2203600,J01XA02,2024-12-18,2027-03-31,shortage,Sonstige,Änderungsmeldung,Dr. Friedrich Eberth Arzneimittel GmbH,2026-09-23T20:53:05.491921,31895
DE,Germany,BfArM,Fosfomycin Eberth 4 g Pulver zur Herstellung einer Infusionslösung,Fosfomycin-Natrium (Ph.Eur.),,,18167568,2203903,J01XX01,2024-11-05,2027-03-31,shortage,Produktionsproblem,Änderungsmeldung,Dr. Friedrich Eberth Arzneimittel GmbH,2026-09-23T20:53:05.491970,128384
DE,Germany,BfArM,Fosfomycin Eberth 2 g Pulver zur Herstellung einer Infusionslösung,Fosfomycin-Natrium (Ph.Eur.),,,18167551,2203902,J01XX01,2024-11-05,2027-03-31,shortage,Produktionsproblem,Änderungsmeldung,Dr. Friedrich Eberth Arzneimittel GmbH,2026-09-23T20:53:05.492015,
DE,Germany,BfArM,Berirab,Tollwut-Immunglobulin vom Menschen,,,4616146,2602314,J06BB05,2026-09-18,2026-10-31,shortage,Sonstige,Erstmeldung,CSL Behring GmbH,2026-09-23T20:53:05.492063,
DE,Germany,BfArM,Berirab,Tollwut-Immunglobulin vom Menschen,,,4616146,2602314,J06BB05,2026-09-18,2026-10-31,shortage,Sonstige,Erstmeldung,CSL Behring GmbH,2026-09-23T20:53:05.492111,
DE,Germany,BfArM,Levomepromazin-neuraxpharm 25 mg/ml Injektionslösung,Levomepromazinhydrochlorid,,,7464056,0139608,N05AA02,2026-09-25,2026-11-30,shortage,Sonstige,Erstmeldung,neuraxpharm Arzneimittel GmbH,2026-09-23T20:53:05.492155,2097
DE,Germany,BfArM,Fusicutan Creme,Fusidinsäure (Ph.Eur.),,,4980946,2158523,D06AX01,2026-09-18,2026-11-01,shortage,Sonstige,Erstmeldung,Dermapharm Aktiengesellschaft,2026-09-23T20:53:05.492199,16705
DE,Germany,BfArM,Doxyderma 50 mg,Doxycyclin-Monohydrat,,,4972444,2111619,D10BX,2026-09-17,2026-11-22,shortage,Sonstige,Erstmeldung,Dermapharm Aktiengesellschaft,2026-09-23T20:53:05.492243,
DE,Germany,BfArM,Vagantin RIEMSER,Methantheliniumbromid,,,10985801,2188346,D11AA,2025-12-01,2026-12-31,shortage,Produktionsproblem,Änderungsmeldung,Dermapharm Aktiengesellschaft,2026-09-23T20:53:05.492286,
DE,Germany,BfArM,Vagantin RIEMSER,Methantheliniumbromid,,,10985818,2188346,D11AA,2025-12-01,2026-12-31,shortage,Produktionsproblem,Änderungsmeldung,Dermapharm Aktiengesellschaft,2026-09-23T20:53:05.492328,
DE,Germany,BfArM,Vagantin RIEMSER,Methantheliniumbromid,,,10985824,2188346,D11AA,2025-12-01,2026-12-31,shortage,Produktionsproblem,Änderungsmeldung,Dermapharm Aktiengesellschaft,2026-09-23T20:53:05.492370,
DE,Germany,BfArM,"Urapidil AL 90 mg Hartkapseln, retardiert",Urapidil,,,14214377,2198962,C02CA06,2026-09-16,2026-10-01,shortage,Sonstige,Erstmeldung,ALIUD PHARMA GmbH,2026-09-23T20:53:05.492415,
DE,Germany,BfArM,"Urapidil AL 90 mg Hartkapseln, retardiert",Urapidil,,,14214383,2198962,C02CA06,2026-09-16,2026-10-01,shortage,Sonstige,Erstmeldung,ALIUD PHARMA GmbH,2026-09-23T20:53:05.492455,
