country_code,country_name,source,medicine_name,active_substance,strength,package_size,product_no,shortage_start,estimated_end,status,reason,notes,scraped_at,atc_code,prk
ES,Spain,AEMPS,"PRAVASTATINA VIATRIS 20 MG COMPRIMIDOS EFG, 28 comprimidos",PRAVASTATINA SODICA,,,678586,2026-04-24,2027-03-23,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-09-23T20:59:43.031746,C10AA04,31089
ES,Spain,AEMPS,ATAMAX 25 MG CAPSULAS DURAS EFG 28 cápsulas,ATOMOXETINA HIDROCLORURO,,,718816,2026-04-23,2026-09-30,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración. Está disponible Atomoxetina Tarbis 25 mg 28 caps,2026-09-23T20:59:43.031754,N06BA09,76724
ES,Spain,AEMPS,"IOMERON 300 MG IODO/ML SOLUCIÓN INYECTABLE ,1 frasco de 500 ml",IOMEPROL,,,607455,2026-04-23,2026-12-31,shortage,9,El titular de autorización de comercialización está realizando una distribución controlada al existir unidades limitadas.,2026-09-23T20:59:43.031763,V08AB10,52124
ES,Spain,AEMPS,"IOMERON 350 MG IODO/ML SOLUCIÓN INYECTABLE ,1 frasco de 500 ml",IOMEPROL,,,607456,2026-04-23,2026-12-31,shortage,9,El titular de autorización de comercialización está realizando una distribución controlada al existir unidades limitadas.,2026-09-23T20:59:43.031772,V08AB10,65595
ES,Spain,AEMPS,"IOMERON 400 MG IODO/ML SOLUCIÓN INYECTABLE ,1 frasco de 500 ml",IOMEPROL,,,607458,2026-04-23,2026-12-31,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-09-23T20:59:43.031782,V08AB10,
ES,Spain,AEMPS,"ACIDO VALPROICO AUROVITAS 500 MG COMPRIMIDOS DE LIBERACION PROLONGADA EFG, 100 comprimidos","VALPROATO SODIO, VALPROICO ACIDO",,,726898,2026-04-22,2026-12-31,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-09-23T20:59:43.031791,,
ES,Spain,AEMPS,"CARDIOXANE 500 mg POLVO PARA SOLUCION PARA PERFUSION, 1 vial",DEXRAZOXANO,,,654125,2026-04-22,,shortage,"Problemas de suministro (sin alternativa, medicamento extranjero)",Se puede solicitar como medicamento extranjero.,2026-09-23T20:59:43.031799,V03AF02,77526
ES,Spain,AEMPS,"ATOMOXETINA TARBIS 60 MG CÁPSULAS DURAS EFG, 28 cápsulas",ATOMOXETINA HIDROCLORURO,,,764206,2026-04-21,2026-09-30,shortage,"Problemas de suministro (sin alternativa, medicamento extranjero)",Se puede solicitar como medicamento extranjero.,2026-09-23T20:59:43.031809,N06BA09,76740
ES,Spain,AEMPS,"DONEPEZILO FLAS VIATRIS PHARMACEUTICALS 10 MG COMPRIMIDOS BUCODISPERSABLES EFG, 28 comprimidos",DONEPEZILO HIDROCLORURO,,,681265,2026-04-21,2026-12-21,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-09-23T20:59:43.031822,N06DA02,106550
ES,Spain,AEMPS,"ITRACONAZOL SANDOZ 100 mg CAPSULAS DURAS EFG , 14 cápsulas",ITRACONAZOL,,,695438,2026-04-21,,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-09-23T20:59:43.031828,J02AC02,32336
ES,Spain,AEMPS,"LOPESTOP 2 MG CAPSULAS DURAS , 20 cápsulas",LOPERAMIDA HIDROCLORURO,,,972166,2026-04-21,2026-09-30,shortage,11,Existen tratamientos alternativos no sujetos a prescripción.,2026-09-23T20:59:43.031840,A07DA03,3212
