country_code,country_name,source,medicine_name,atc_code,active_substance,dosage_form,strength,marketing_auth_holder,status,detail_url,scraped_at,prk
EE,Estonia,RAVIMIAMET,CINACALCET ACCORDPHARMA,H05BX01,tsinakaltseet,õhukese polümeerikattega tablett,60mg,Accord Healthcare S.L.U.,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=f4c02660-1ca1-420d-83c2-c09ad789522e,2026-09-21T16:19:38.878548,77119
EE,Estonia,RAVIMIAMET,CINACALCET ACCORDPHARMA,H05BX01,tsinakaltseet,õhukese polümeerikattega tablett,90mg,Accord Healthcare S.L.U.,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=213c09f5-65f1-4de1-aafd-b8beae1800ee,2026-09-21T16:19:38.878566,77127
EE,Estonia,RAVIMIAMET,CINACALCET ACCORDPHARMA,H05BX01,tsinakaltseet,õhukese polümeerikattega tablett,30mg,Accord Healthcare S.L.U.,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=2f153c81-400e-41f3-8151-bee1f23a9978,2026-09-21T16:19:38.878585,77100
EE,Estonia,RAVIMIAMET,CLARITHROMYCIN GRINDEKS,J01FA09,klaritromütsiin,õhukese polümeerikattega tablett,250mg,Grindeks AS,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=ad95026e-dae7-4cd3-b6be-518ec26121d1,2026-09-21T16:19:38.878603,
EE,Estonia,RAVIMIAMET,CLARITHROMYCIN GRINDEKS,J01FA09,klaritromütsiin,õhukese polümeerikattega tablett,500mg,Grindeks AS,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=62504b64-229f-4d91-b976-cb1de31d247f,2026-09-21T16:19:38.878621,39977
EE,Estonia,RAVIMIAMET,DAKTARIN,A01AB09,mikonasool,suukaudne geel,20mg 1g,Ideal Trade Links UAB,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=7b46fd0f-00e2-4151-8569-0a1c9a71cd9e,2026-09-21T16:19:38.878640,4650
EE,Estonia,RAVIMIAMET,DAKTARIN,A01AB09,mikonasool,suukaudne geel,20mg 1g,Lex Ano UAB,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=f1f2723f-bb54-4874-9cb5-72e32e6a8240,2026-09-21T16:19:38.878658,4650
EE,Estonia,RAVIMIAMET,DEFERASIROX ACCORD,V03AC03,deferasiroks,õhukese polümeerikattega tablett,360mg,Accord Healthcare S.L.U.,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=8cea34dc-c80b-4454-98a4-a71a23a307ac,2026-09-21T16:19:38.878677,137200
EE,Estonia,RAVIMIAMET,"DIPHERELINE 11,25 MG",L02AE04,triptoreliin,toimeainet prolongeeritult vabastava süstesuspensiooni pulber ja lahusti,"11,25mg",First Pharma OÜ,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=4f7a6088-c4e3-4355-83e7-13e3efa9c645,2026-09-21T16:19:38.878697,77615
EE,Estonia,RAVIMIAMET,DOPMIN,C01CA04,dopamiin,infusioonilahuse kontsentraat,40mg 1ml,Orion Corporation,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=aa29b202-0290-43bb-8152-1dc4f19d7a14,2026-09-21T16:19:38.878715,17744
