country_code,country_name,source,medicine_name,active_substance,strength,package_size,product_no,shortage_start,estimated_end,status,reason,notes,scraped_at,atc_code,prk
ES,Spain,AEMPS,"LIXIANA 60 MG COMPRIMIDOS RECUBIERTOS CON PELICULA, 28 comprimidos",EDOXABAN TOSILATO,,,707044,2026-09-18,,shortage,9,El titular de autorización de comercialización está realizando una distribución controlada al existir unidades limitadas.,2026-09-21T15:06:00.701769,,
ES,Spain,AEMPS,"NINTEDANIB EUGIA 150 MG CÁPSULAS BLANDAS EFG, 60 cápsulas",NINTEDANIB ESILATO,,,766525,2026-09-18,2026-10-15,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-09-21T15:06:00.701815,,
ES,Spain,AEMPS,"SOLINITRINA FUERTE 5 MG/ML CONCENTRADO PARA SOLUCIÓN PARA PERFUSIÓN, 12 ampollas de 10 ml",NITROGLICERINA,,,971044,2026-09-18,2026-12-11,shortage,12,El Titular de Autorización de Comercialización está realizando una distribución controlada a hospitales,2026-09-21T15:06:00.701842,C01DA02,
ES,Spain,AEMPS,"UROMITEXAN 100 MG/ML SOLUCION INYECTABLE Y PARA PERFUSION, 10 ampollas de 10 ml",MESNA,,,724985,2026-09-18,2026-09-28,shortage,10,La AEMPS ha autorizado unidades por comercialización excepcional. en un idioma distinto al castellano,2026-09-21T15:06:00.701864,R05CB05,41866
ES,Spain,AEMPS,"DYNASTAT 40 mg POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE, 5 viales + 5 ampollas de disolvente",PARECOXIB,,,721415,2026-09-17,2026-11-20,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-09-21T15:06:00.701884,M01AH04,65676
ES,Spain,AEMPS,"FENZIL 5 MG/160 MG COMPRIMIDOS RECUBIERTOS CON PELICULA, 30 comprimidos","ROSUVASTATINA  CALCICA, FENOFIBRATO MICRONIZADO",,,768679,2026-09-17,2026-11-01,shortage,Cese de comercialización temporal,Existe/n otro/s medicamento/s con los mismos principios activos y para la misma vía de administración.,2026-09-21T15:06:00.701903,,
ES,Spain,AEMPS,"LENALIDOMIDA TEVA 20 MG CAPSULAS DURAS EFG, 21 cápsulas",LENALIDOMIDA HIDROCLORURO HIDRATO,,,725478,2026-09-17,2026-09-30,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-09-21T15:06:00.701925,L04AX03,
ES,Spain,AEMPS,"PACLITAXEL AUROVITAS 6 mg/ml CONCENTRADO PARA SOLUCION PARA PERFUSION EFG , 1 vial de 50 ml",PACLITAXEL,,,663744,2026-09-17,2026-11-03,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-09-21T15:06:00.701942,L01CD01,56596
ES,Spain,AEMPS,"BENDAMUSTINA GLENMARK 2,5 MG/ML POLVO PARA CONCENTRADO PARA SOLUCION PARA PERFUSION EFG, 5 viales de 100 mg",BENDAMUSTINA HIDROCLORURO,,,722068,2026-09-16,2026-11-30,shortage,Problemas de suministro (con alternativa),Existe/n otro/s medicamento/s con el mismo principio activo y para la misma vía de administración.,2026-09-21T15:06:00.701960,L01BC03,
ES,Spain,AEMPS,"BENLYSTA 200 MG SOLUCION INYECTABLE EN PLUMA PRECARGADA, 4 plumas precargadas de 1 ml",BELIMUMAB,,,719886,2026-09-16,2026-10-05,shortage,9,El titular de autorización de comercialización está realizando una distribución controlada al existir unidades limitadas.,2026-09-21T15:06:00.701977,L04AG04,149462
