country_code,country_name,source,medicine_name,active_substance,strength,package_size,product_no,shortage_start,estimated_end,status,decision_reference,scraped_at,atc_code,prk
NL,Netherlands,IGJ,Doxycycline Addimed,Doxycycline Addimed,"Oplossing voor injectie,  100 mg/5 ml",,RVG 133868/06396,2025-10-01,2026-08-14,shortage,Besluit met kenmerk 2026-3184249/IT2110126,2026-09-21T13:27:28.996652,,
NL,Netherlands,IGJ,Fluoresceinedinatrium,Fluoresceinedinatrium,"Injectievloeistof, 100 mg/ml",,RVG 51727,2026-04-02,2026-05-10,shortage,Besluit met kenmerk 2026-3167759/IT211281,2026-09-21T13:27:28.996696,,
NL,Netherlands,IGJ,Gonasi,Gonasi,"Poeder en oplosmiddel voor oplossing voor injectie, 5000 IE",,RVG 125838,2026-05-22,2026-08-21,shortage,Besluit met kenmerk 2026-3177342/IT2112844,2026-09-21T13:27:28.996738,,
NL,Netherlands,IGJ,Hyaluronidase BModesta,Hyaluronidase BModesta,"Poeder voor injectievloeistof, 150 I.E.",,RVG 124976/15180,2026-05-05,2026-07-15,shortage,Besluit met kenmerk 2026-3172322/IT2112482,2026-09-21T13:27:28.996778,,
NL,Netherlands,IGJ,Isotretinoïne,Isotretinoïne,"Capsules, 10 en 20 mg",,RVG 27577RVG 27578RVG 27573RVG 27574RVG 124602RVG 124603RVG 119052RVG 119053,2026-06-04,2026-09-25,shortage,Besluit met kenmerk 2026- 3193629/IT2112980,2026-09-21T13:27:28.996829,,
NL,Netherlands,IGJ,Kenacort-A 40,Kenacort-A,"Suspensie voor injectie, 40 mg/ml",,RVG 112133/05341,2025-10-16,2026-02-23,shortage,Besluit met kenmerk 2025-3148786/IT2110343,2026-09-21T13:27:28.996869,,
NL,Netherlands,IGJ,Labetalol HCl Mylan,Labetalol HCl Mylan,"Tabletten, 200 mg en 400 mg",,RVG 11107 en RVG 11108,2025-09-23,2026-07-14,shortage,Besluit met kenmerk 2026-3176306/IT2092558,2026-09-21T13:27:28.996912,,
NL,Netherlands,IGJ,Levobupivacaïne Fresenius Kabi,Levobupivacaïne Fresenius Kabi,"Oplossing voor injectie/infusie, 1,25 mg/ml en 7,5 mg/ml",,RVG 113447RVG 113450,2026-02-27,2026-04-10,shortage,Besluit met kenmerk 2026-3160007/IT2111907,2026-09-21T13:27:28.996956,,
NL,Netherlands,IGJ,Levobupivacaïne Fresenius Kabi,Levobupivacaïne Fresenius Kabi,"Oplossing voor injectie/infusie, 2,5 mg/ml en  5 mg/ml",,RVG 113448RVG 113449,2026-02-27,2026-05-08,shortage,Besluit met kenmerk 2026-3168367/IT2111907,2026-09-21T13:27:28.996996,,
NL,Netherlands,IGJ,Levosimendan Kalceks,Levosimendan Kalceks,"Concentraat voor oplossing voor infusie, 2,5 mg/ml",,RVG 127812,2025-09-09,2026-06-24,shortage,Besluit met kenmerk 2026-3165734/IT2097108,2026-09-21T13:27:28.997033,,
