country_code,country_name,source,medicine_name,active_substance,strength,dosage_form,package_size,package_description,atc_code,marketing_auth_holder,reporter,status,reason,parallel_export_ban,legal_basis,healthcare_notice,basg_note,shortage_start,estimated_end,scraped_at
AT,Austria,BASG,"Ganirelix Gedeon Richter 0,25 mg/0,5 ml Injektionslösung in einer Fertigspritze",GANIRELIX,"0,25 mg/0,5 ml",Injektionslösung in einer Fertigspritze,5 Stück,"5 Stück: Das Arzneimittel ist in eine Glasspritze mit einer eingeklebten Edelstahlnadel abgefüllt, die mit einem  Kolbenstopfen verschlossen und mit einer Kolbenstange versehen ist. Die Injektionsna",H01CC01,"Richter Gedeon Plc., Gyomroi Ut 19-21, 1103 Budapest X, Ungarn","Richter Gedeon Plc., Gyomroi Ut 19-21, 1103 Budapest X, Ungarn",verfügbar,Kapazitätsengpässe bei der Herstellung,Nein,§1 (1) Verordnung über die Sicherstellung der Arzneimittelversorgung,Geplant,,,,2026-03-13T22:11:16.202749
AT,Austria,BASG,Topiramat STADA 100 mg Filmtabletten,TOPIRAMAT,100 mg,Filmtablette,60 Stück,60 Stück (AL/AL-Blister),N03AX11,"STADA Arzneimittel Gesellschaft m.b.H., Muthgasse 36/2, 1190 Wien, Österreich","STADA Arzneimittel Gesellschaft m.b.H., Muthgasse 36/2, 1190 Wien, Österreich",Nicht verfügbar,Erhöhter Mehrbedarf,Nein,§1 (1) Verordnung über die Sicherstellung der Arzneimittelversorgung,Nein,,,,2026-03-13T22:11:16.202749
AT,Austria,BASG,Venlafab 50 mg - Tabletten,VENLAFAXIN HYDROCHLORID,50 mg,Tablette,60 Stück,60 Tabletten in Alu/Alu-Blister,N06AX16,"G.L. Pharma GmbH, Schloßplatz 1, 8502 Lannach, Österreich","G.L. Pharma GmbH, Schloßplatz 1, 8502 Lannach, Österreich",Nicht verfügbar,Regulatorische Änderungen,Ja,§1 (1) Verordnung über die Sicherstellung der Arzneimittelversorgung,Nein,,,,2026-03-13T22:11:16.202749
AT,Austria,BASG,Venlafab 50 mg - Tabletten,VENLAFAXIN HYDROCHLORID,50 mg,Tablette,30 Stück,30 Tabletten in Alu/Alu-Blister,N06AX16,"G.L. Pharma GmbH, Schloßplatz 1, 8502 Lannach, Österreich","G.L. Pharma GmbH, Schloßplatz 1, 8502 Lannach, Österreich",Nicht verfügbar,Regulatorische Änderungen,Ja,§1 (1) Verordnung über die Sicherstellung der Arzneimittelversorgung,Nein,,,,2026-03-13T22:11:16.202749
AT,Austria,BASG,"Eucillin ""B"" - Salbe","DEQUALINIUM CHLORID, BACITRACIN, DIPHENYLPYRALIN HYDROCHLORID",,Salbe,15 g,,D06AX05,"Sigmapharm Arzneimittel GmbH, Leystraße 129, 1200 Wien, Österreich","Sigmapharm Arzneimittel GmbH, Leystraße 129, 1200 Wien, Österreich",Nicht verfügbar,Produktionstransfer zu einem alternativen Hersteller,Ja,§1 (1) Verordnung über die Sicherstellung der Arzneimittelversorgung,Nein,,,,2026-03-13T22:11:16.202749
AT,Austria,BASG,Bupropion +pharma 150 mg Tabletten mit veränderter Wirkstofffreisetzung,BUPROPION HYDROCHLORID,150 mg,Tablette mit veränderter Wirkstofffreisetzung,7 Stück,"Plastic HDPE, Child-resistant closure",N06AX12,"+pharma Arzneimittel gmbh, Hafnerstraße 211, 8054 Graz, Österreich","+pharma Arzneimittel gmbh, Hafnerstraße 211, 8054 Graz, Österreich",Nicht verfügbar,Erhöhter Mehrbedarf,Ja,§1 (1) Verordnung über die Sicherstellung der Arzneimittelversorgung,Nein,,,,2026-03-13T22:11:16.202749
AT,Austria,BASG,Bupropion +pharma 150 mg Tabletten mit veränderter Wirkstofffreisetzung,BUPROPION HYDROCHLORID,150 mg,Tablette mit veränderter Wirkstofffreisetzung,30 Stück,"Plastic HDPE, Child-resistant closure",N06AX12,"+pharma Arzneimittel gmbh, Hafnerstraße 211, 8054 Graz, Österreich","+pharma Arzneimittel gmbh, Hafnerstraße 211, 8054 Graz, Österreich",verfügbar,Erhöhter Mehrbedarf,Ja,§1 (1) Verordnung über die Sicherstellung der Arzneimittelversorgung,Nein,,,,2026-03-13T22:11:16.202749
AT,Austria,BASG,"Dipidolor 7,5 mg/ml Injektionslösung",PIRITRAMID,"7,5 mg/ml",Injektionslösung,10 Stück,10 Ampullen zu je 2 ml Injektionslösung,N02AC03,"Piramal Critical Care B.V., Rouboslaan 32, 2252 TR Voorschoten, Niederlande","Piramal Critical Care B.V., Rouboslaan 32, 2252 TR Voorschoten, Niederlande",Nicht verfügbar,Änderung der Packungsgröße,Ja,§1 (1) Verordnung über die Sicherstellung der Arzneimittelversorgung,Ja,,,,2026-03-13T22:11:16.202749
AT,Austria,BASG,"Dipidolor 7,5 mg/ml Injektionslösung",PIRITRAMID,"7,5 mg/ml",Injektionslösung,5 Stück,5 Ampullen zu je 2 ml Injektionslösung,N02AC03,"Piramal Critical Care B.V., Rouboslaan 32, 2252 TR Voorschoten, Niederlande","Piramal Critical Care B.V., Rouboslaan 32, 2252 TR Voorschoten, Niederlande",Nicht verfügbar,Änderung der Packungsgröße,Ja,§1 (1) Verordnung über die Sicherstellung der Arzneimittelversorgung,Ja,,,,2026-03-13T22:11:16.202749
AT,Austria,BASG,ParkAkut 500 mg Filmtabletten,MEFENAMINSÄURE,500 mg,Filmtablette,60 Stück,60 Aluminium/PVC-PVdC – Blisterpackungen,M01AG01,"Genericon Pharma Ges.m.b.H., Hafnerstraße 211, 8054 Graz, Österreich","Genericon Pharma Ges.m.b.H., Hafnerstraße 211, 8054 Graz, Österreich",Nicht verfügbar,Regulatorische Änderungen,Nein,§1 (1) Verordnung über die Sicherstellung der Arzneimittelversorgung,Nein,,,,2026-03-13T22:11:16.202749
