country_code,country_name,source,source_detail,medicine_name,active_substance,strength,dosage_form,package_size,product_no,atc_code,marketing_auth_holder,shortage_start,estimated_end,estimated_end_text,actual_end,status,severity,reason,last_updated,url,scraped_at,prk
GB,United Kingdom,MHRA,NHSBSA (Serious Shortage Protocol),Salazopyrin 500mg EN tablets,,,tablets,,SSP008,,,2020-10-20,2021-03-08,2021-03-08,,resolved,,,,https://www.nhsbsa.nhs.uk/pharmacies-gp-practices-and-appliance-contractors/serious-shortage-protocols-ssps,2026-09-23T10:38:18.838276,
GB,United Kingdom,MHRA,NHSBSA (Serious Shortage Protocol),Fluoxetine 30mg capsules,Fluoxetine,,capsules,,SSP007,N06AB03,,2020-10-20,2021-07-28,2021-07-28,,resolved,,,,https://www.nhsbsa.nhs.uk/pharmacies-gp-practices-and-appliance-contractors/serious-shortage-protocols-ssps,2026-09-23T10:38:18.838294,
GB,United Kingdom,MHRA,NHSBSA (Serious Shortage Protocol),Fluoxetine 40mg capsules,Fluoxetine,,capsules,,SSP06,N06AB03,,2020-05-20,2020-10-02,2020-10-02,,resolved,,,,https://www.nhsbsa.nhs.uk/pharmacies-gp-practices-and-appliance-contractors/serious-shortage-protocols-ssps,2026-09-23T10:38:18.838312,
GB,United Kingdom,MHRA,NHSBSA (Serious Shortage Protocol),Fluoxetine 10mg tablets,Fluoxetine,,tablets,,SSP005,N06AB03,,2020-03-12,2023-03-31,2023-03-31,,resolved,,,,https://www.nhsbsa.nhs.uk/pharmacies-gp-practices-and-appliance-contractors/serious-shortage-protocols-ssps,2026-09-23T10:38:18.838329,
GB,United Kingdom,MHRA,NHSBSA (Serious Shortage Protocol),Haloperidol (Serenace) 500 microgram (mcg) capsules,Haloperidol,,capsules,,SSP04,N05AD01,,2019-12-23,2020-03-23,2020-03-23,,resolved,,,,https://www.nhsbsa.nhs.uk/pharmacies-gp-practices-and-appliance-contractors/serious-shortage-protocols-ssps,2026-09-23T10:38:18.838347,
GB,United Kingdom,MHRA,NHSBSA (Serious Shortage Protocol),Fluoxetine 40mg capsules,Fluoxetine,,capsules,,SSP03,N06AB03,,2019-10-03,2019-11-20,2019-11-20,,resolved,,,,https://www.nhsbsa.nhs.uk/pharmacies-gp-practices-and-appliance-contractors/serious-shortage-protocols-ssps,2026-09-23T10:38:18.838367,
GB,United Kingdom,MHRA,NHSBSA (Serious Shortage Protocol),Fluoxetine 30mg capsules,Fluoxetine,,capsules,,SSP02,N06AB03,,2019-10-03,2019-12-18,2019-12-18,,resolved,,,,https://www.nhsbsa.nhs.uk/pharmacies-gp-practices-and-appliance-contractors/serious-shortage-protocols-ssps,2026-09-23T10:38:18.838387,
GB,United Kingdom,MHRA,NHSBSA (Serious Shortage Protocol),Fluoxetine 10mg capsules,Fluoxetine,,capsules,,SSP01,N06AB03,,2019-10-03,2019-10-25,2019-10-25,,resolved,,,,https://www.nhsbsa.nhs.uk/pharmacies-gp-practices-and-appliance-contractors/serious-shortage-protocols-ssps,2026-09-23T10:38:18.838411,
GB,United Kingdom,MHRA,MHRA CAS (National Patient Safety Alert - DHSC),"dinoprostone 3mg vaginal tablets and 1mg/2.5ml, 2mg/2.5ml vaginal gel",dinoprostone,,vaginal gel,,NatPSA/2026/003/DHSC,G02AD02,,2026-04-08,,,,shortage,,,,https://www.cas.mhra.gov.uk/ViewandAcknowledgment/ViewAlert.aspx?AlertID=103276,2026-09-23T10:38:19.198119,
GB,United Kingdom,MHRA,MHRA CAS (National Patient Safety Alert - DHSC),"Steriflex No. 109 (1L) and No. 171 (2L): Potassium Chloride 0.15%, Sodium Chloride 0.45%, Glucose 2.5% Bags",,,,,NatPSA/2026/001/DHSC,,,2026-01-14,,,,shortage,,,,https://www.cas.mhra.gov.uk/ViewandAcknowledgment/ViewAlert.aspx?AlertID=103273,2026-09-23T10:38:19.198585,
