country_code,country_name,source,medicine_name,active_substance,strength,dosage_form,marketing_auth_holder,mah_country,notification_date,shortage_start,estimated_end,status,notification_type,reason,scraped_at,atc_code,prk
RO,Romania,ANMDMR,NODRIGA 20 mg,DASATINIBUM,20mg,COMPR. FILM.,ALKALOID-INT D.O.O.,SLOVENIA,2026-07-24,2026-07-24,,temporary_discontinuation,"Discontinuitate temporara din
Martie 2027",Motive comerciale,2026-09-23T21:00:14.615802,L01EA02,
RO,Romania,ANMDMR,CELEBREX 100 mg,CELECOXIBUM,100mg,CAPS.,UPJOHN EESV,OLANDA,2026-07-24,2026-07-24,,temporary_discontinuation,"Discontinuitate temporara din
August 2026",Motive de fabricatie,2026-09-23T21:00:14.615811,M01AH01,58998
RO,Romania,ANMDMR,SUGAMMADEX KALCEKS 100 mg/ml,SUGAMMADEXUM,100mg/ml,SOL INJ.,AS KALCEKS,LETONIA,2026-07-28,2026-07-28,,temporary_discontinuation,"Discontinuitate temporara din
Decembrie 2026",Motive de fabricatie,2026-09-23T21:00:14.615819,V03AB35,
RO,Romania,ANMDMR,PALIPERIDONA TEVA 75 mg,PALIPERIDONUM,75mg,SUSP. INJ. CU ELIB. PREL.,TEVA PHARMACEUTICALS S.R.L.,ROMANIA,2026-07-28,2026-07-28,,temporary_discontinuation,Discontinuitate temporara,Motive de fabricatie,2026-09-23T21:00:14.615828,N05AX13,96970
RO,Romania,ANMDMR,DOCETAXEL TEVA 20 mg/ml,DOCETAXELUM,20mg/ml,CONC. PT. SOL. PERF.,TEVA B.V.,OLANDA,2026-07-28,2026-07-28,,temporary_discontinuation,Discontinuitate temporara,Motive de fabricatie,2026-09-23T21:00:14.615837,L01CD02,92886
RO,Romania,ANMDMR,DONECEPT 5 mg,DONEPEZILUM,5mg,COMPR. FILM.,TEVA B.V.,OLANDA,2026-07-28,2026-07-28,,temporary_discontinuation,"Discontinuitate temporara din
August 2026",Motive de fabricatie,2026-09-23T21:00:14.615845,N06DA02,106550
RO,Romania,ANMDMR,CECLOR 250 mg/5 ml,CEFACLORUM,250mg/5ml,GRAN. PT. SUSP. ORALA,TEVA B.V.,OLANDA,2026-07-28,2026-07-28,,temporary_discontinuation,"Discontinuitate temporara din
August 2026",Motive de fabricatie,2026-09-23T21:00:14.615854,J01DC04,47422
RO,Romania,ANMDMR,LACOSAMIDA TEVA 50 mg,LACOSAMIDUM,50mg,COMPR. FILM.,TEVA PHARMACEUTICALS S.R.L.,ROMANIA,2026-07-28,2026-07-28,,temporary_discontinuation,"Discontinuitate temporara din
Septembrie 2026",Motive de fabricatie,2026-09-23T21:00:14.615863,N03AX18,89036
RO,Romania,ANMDMR,"ENTECAVIR TEVA 0,5 mg",ENTECAVIRUM,"0,5mg",COMPR. FILM.,TEVA PHARMACEUTICALS S.R.L.,ROMANIA,2026-07-28,2026-07-28,,temporary_discontinuation,"Discontinuitate temporara din
Septembrie 2026",Motive de fabricatie,2026-09-23T21:00:14.615871,J05AF10,81388
RO,Romania,ANMDMR,LAMIVUDINA TEVA PHARMA B.V. 300 mg,LAMIVUDINUM,300 mg,COMPR. FILM.,TEVA B.V.,OLANDA,2026-07-28,2026-07-28,,permanent_discontinuation,"Discontinuitate permanenta din
Iunie 2027",Motive comerciale,2026-09-23T21:00:14.615878,J05AF05,59218
RO,Romania,ANMDMR,KALETRA 80mg/ml+20mg/ml,LOPINAVIRUM+RITONAVIRUM,80mg/ml+20mg/ml,SOL. ORALA,ABBVIE DEUTSCHLAND GMBH & CO. KG,GERMANIA,2026-07-28,2026-07-28,,permanent_discontinuation,"Discontinuitate permanenta din
Iulie 2027",Motive comerciale,2026-09-23T21:00:14.615884,,
RO,Romania,ANMDMR,NORVIR 100 mg,RITONAVIRUM,100mg,COMPR. FILM.,ABBVIE DEUTSCHLAND GMBH & CO. KG,GERMANIA,2026-07-28,2026-07-28,,permanent_discontinuation,"Discontinuitate permanenta din
Iulie 2027",Motive comerciale,2026-09-23T21:00:14.615890,J05AE03,94064
RO,Romania,ANMDMR,NGENLA 60 mg,SOMATROGONUM,"60 mg/1,2 ml","SOL. INJ. IN STILOU INJECTOR
(PEN) PREUMPLUT",PFIZER EUROPE MA EEIG,BELGIA,2026-07-29,2026-07-29,,temporary_discontinuation,Discontinuitate temporara,Motive comerciale,2026-09-23T21:00:14.615899,H01AC08,220329
RO,Romania,ANMDMR,OXALIPLATIN ACCORD 5 mg/ml,OXALIPLATINUM,5mg/ml,CONC. PT. SOL. PERF.,ACCORD HEALTHCARE POLSKA SP. Z.O.O.,POLONIA,2026-07-30,2026-07-30,,temporary_discontinuation,"Discontinuitate temporara din
Octombrie 2026",Motive de fabricatie,2026-09-23T21:00:14.615906,L01XA03,79766
RO,Romania,ANMDMR,AZACTAM 1000 mg,AZTREONAM,1000mg,PULB. PT. SOL. INJ.,LABORATOIRES DELBERT SAS,FRANTA,2026-07-31,2026-07-31,,temporary_discontinuation,Discontinuitate temporara,Motive de fabricatie,2026-09-23T21:00:14.615913,J01DF01,22969
RO,Romania,ANMDMR,COLEBIL,COMBINATII,,DRAJ.,BIOFARM SA,ROMANIA,2026-08-03,2026-08-03,,temporary_discontinuation,Discontinuitate temporara,Motive de fabricatie,2026-09-23T21:00:14.615923,,
RO,Romania,ANMDMR,PANZCEBIL,PANCREATINUM IN COMBINATII,,DRAJ. GASTROREZ.,BIOFARM S.A.,ROMANIA,2026-08-03,2026-08-03,,temporary_discontinuation,Discontinuitate temporara,Motive de fabricatie,2026-09-23T21:00:14.615930,,
