country_code,country_name,source,medicine_name,active_substance,strength,package_size,product_no,atc_code,authorisation_number,marketing_auth_holder,shortage_start,estimated_end,actual_end,status,reason,impact,scraped_at,prk
BE,Belgium,FAMHP,Atomoxetine Arega  40 mg (Arega Pharma) harde caps. 28,Atomoxetine ,,,4701991,N06BA09,1972PI0003F004,Arega Pharma SA-NV,2025-07-03,2026-10-12,,unavailable,Vertraging in de productie,Invoer door de apotheker mogelijk,2026-09-23T11:15:11.439974,76732
BE,Belgium,FAMHP,Meloxoral 1.5 mg/ml or. susp. 50 ml,Meloxicam,,,2951531,QM01AC06,EU/2/10/111/002,Dechra Regulatory B.V.,2025-07-01,2027-03-31,,unavailable,Vertraging in de productie,-,2026-09-23T11:15:11.439980,
BE,Belgium,FAMHP,Felodipine EG Retard 5 mg tabl. verl. afgifte 100,Felodipine,,,3907920,C08CA02,BE238061,EG SA-NV,2025-06-12,2026-09-28,,unavailable,Vertraging in de productie,Aanpassing van de behandeling mogelijk,2026-09-23T11:15:11.439985,
BE,Belgium,FAMHP,Alendronate Viatris 70 mg tabl. 12,Alendronic Acid,,,2456572,M05BA04,BE284042,Viatris GX BV-SRL,2025-06-11,2026-11-23,,unavailable,Vertraging in de productie,Minstens drie alternatieve verpakkingen beschikbaar,2026-09-23T11:15:11.439991,122416
BE,Belgium,FAMHP,Moxifloxacine Teva 400 mg filmomh. tabl. 14,Moxifloxacin,,,3094034,J01MA14,BE429466,Teva GmbH,2025-06-04,2027-04-12,,unavailable,Vertraging in de productie,Minstens drie alternatieve verpakkingen beschikbaar,2026-09-23T11:15:11.439997,67628
BE,Belgium,FAMHP,Zelitrex 500 mg filmomh. tabl. 42,Valaciclovir,,,1253848,J05AB11,BE181036,GlaxoSmithKline Pharmaceuticals SA-NV,2025-05-26,2026-12-31,,unavailable,Andere reden,Eén of twee alternatieve verpakkingen beschikbaar,2026-09-23T11:15:11.440003,42080
BE,Belgium,FAMHP,Zolmitriptan ODIS Viatris 2.5 mg orodisp. tabl. 12,Zolmitriptan,,,2893717,N02CC03,BE393845,Viatris GX BV-SRL,2025-05-19,2027-03-10,,unavailable,Vertraging in de productie,Aanpassing van de behandeling mogelijk,2026-09-23T11:15:11.440009,55727
BE,Belgium,FAMHP,Sertraline Viatris 50 mg filmomh. tabl. 60,Sertraline,,,2216158,N06AB06,BE270952,Viatris GX BV-SRL,2025-04-30,2027-04-07,,unavailable,Vertraging in de productie,Minstens drie alternatieve verpakkingen beschikbaar,2026-09-23T11:15:11.440015,39403
BE,Belgium,FAMHP,"Nexviadyme 100 mg inf. opl. (pdr., conc.) i.v. flac. 5 x 100 mg",Avalglucosidase Alfa,,,4612651,A16AB22,EU/1/21/1579/002,Sanofi B.V.,2025-04-09,2027-12-31,,unavailable,Andere reden,Eén of twee alternatieve verpakkingen beschikbaar,2026-09-23T11:15:11.440021,230979
BE,Belgium,FAMHP,Venlafaxin Retard Sandoz 75 mg harde caps. verl. afgifte 56,Venlafaxine,,,4263216,N06AX16,BE541120,Sandoz SA-NV,2025-04-04,2026-12-17,,unavailable,Vertraging in de productie,Minstens drie alternatieve verpakkingen beschikbaar,2026-09-23T11:15:11.440026,47511
BE,Belgium,FAMHP,Colobreathe 1 662 500 IE (Abacus Medicine) inhalatiepdr. (harde caps.) 56,Colistimethate Sodium,,,4183547,J01XB01,EU/1/11/747/003,Abacus Medicine a.s.,2025-04-01,2027-08-30,,unavailable,Andere reden,Eén of twee alternatieve verpakkingen beschikbaar,2026-09-23T11:15:11.440033,101834
BE,Belgium,FAMHP,Hepacaf 5 000 IE inf. opl. (pdr. + oplosm.) i.v. 5000 IE + 100 ml,Human Hepatitis B Immunoglobulin,,,1770353,J06BB04,BE237361,LFB BIOMEDICAMENTS S.A.,2025-04-01,2027-02-28,,unavailable,Vertraging in de productie,Invoer door de apotheker mogelijk,2026-09-23T11:15:11.440039,103381
BE,Belgium,FAMHP,Erazaban 10 % crème 2 g,Docosanol,,,2711380,D06BB11,BE324676,Phoenix Healthcare ,2025-04-01,2027-03-31,,unavailable,Andere reden,Aanpassing van de behandeling mogelijk,2026-09-23T11:15:11.440045,
BE,Belgium,FAMHP,Crysalis 50 µg/g - 0.5 mg/g zalf 60 g,"Betamethasone, Calcipotriol",,,4614335,D05AX52,BE499244,Laboratoires Medgen ,2025-03-31,2027-03-31,,unavailable,Vertraging in de productie,Eén of twee alternatieve verpakkingen beschikbaar,2026-09-23T11:15:11.440051,69167
BE,Belgium,FAMHP,Mitomycin Accord Healthcare 10 mg inj./inf. opl. (pdr.)/i.vesic. opl. (pdr.) i.v. flac. 5 x 10 mg,Mitomycin ,,,3430279,L01DC03,BE489973,Accord Healthcare B.V.,2025-03-28,2026-10-31,,unavailable,Vertraging in de productie,Eén of twee alternatieve verpakkingen beschikbaar,2026-09-23T11:15:11.440057,200212
BE,Belgium,FAMHP,"Nexviadyme 100 mg inf. opl. (pdr., conc.) i.v. flac. 10 x 100 mg",Avalglucosidase Alfa,,,4612669,A16AB22,EU/1/21/1579/003,Sanofi B.V.,2025-03-24,2027-12-31,,unavailable,Andere reden,Eén of twee alternatieve verpakkingen beschikbaar,2026-09-23T11:15:11.440063,230979
