country_code,country_name,source,medicine_name,active_substance,strength,package_size,atc_code,product_no,shortage_start,estimated_end,status,scraped_at
LV,Latvia,ZVA,Alfuzosin-Teva 10 mg prolonged release tablets,Alfuzosini hydrochloridum,10 mg,30 pcs,G04CA01,07-0219-02,2025-03-01,,shortage - end date unknown,2026-03-12T15:53:44.467735
LV,Latvia,ZVA,Alimta,Pemetrexedum,100 mg,1 pc,L01BA04,EU/1/04/290/002,2022-01-01,,shortage - end date unknown,2026-03-12T15:53:44.467735
LV,Latvia,ZVA,Alimta,Pemetrexedum,500 mg,1 pc,L01BA04,EU/1/04/290/001,2022-01-01,,shortage - end date unknown,2026-03-12T15:53:44.468759
LV,Latvia,ZVA,Allochol film-coated tablets,"Carbo activatus, Urticae folium, Chole medicatum, Allii sativi bulbi pulvis siccus",1 UD,50 pcs,,00-0309-01,2020-08-13,,shortage - end date unknown,2026-03-12T15:53:44.468759
LV,Latvia,ZVA,Allopurinol Sandoz 100 mg tablets,Allopurinolum,100 mg,50 pcs,M04AA01,16-0126-09,2026-01-29,2026-03-31,shortage,2026-03-12T15:53:44.468759
LV,Latvia,ZVA,Alluzience 200 Speywood units/ml solution for injection,Toxinum A Clostridii botulini haemagglutininum multiplex,125 Speywood units,1 pc,,21-0121-01,2023-10-04,,shortage - end date unknown,2026-03-12T15:53:44.468759
LV,Latvia,ZVA,Almagel A 436 mg/150 mg/218 mg/10 ml suspension for oral use,"Aluminii hydroxidum, Magnesii hydroxidum, Benzocainum",170 ml,1 pc,,I000125-01,2020-04-09,,shortage - end date unknown,2026-03-12T15:53:44.468759
LV,Latvia,ZVA,Alpicort 0.4 g/100 ml/0.2 g/100 ml cutaneous solution,"Acidum salicylicum, Prednisolonum",100 ml,1 pc,H02AB06,I001302-01,2025-11-10,,shortage - end date unknown,2026-03-12T15:53:44.468759
LV,Latvia,ZVA,Alprazolam Orion 0.5 mg tablets,Alprazolamum,"0,5 mg",30 pcs,N05BA12,11-0076-02,2017-01-01,,shortage - end date unknown,2026-03-12T15:53:44.468759
LV,Latvia,ZVA,"Alprazolam-Grindeks 0,5 mg tabletes",Alprazolamum,"0,5 mg",30 pcs,N05BA12,00-1033-01,2025-11-06,,shortage - end date unknown,2026-03-12T15:53:44.468759
LV,Latvia,ZVA,"Alvesco 160 micrograms pressurised inhalation, solution",Ciclesonidum,160 µg,60 pcs,,05-0019-03,2023-11-23,,shortage - end date unknown,2026-03-12T15:53:44.469727
